DateTime,AddedIPs,RemovedIPs
1434713436,4888,0
1434735032,566,0
1434756716,1070,9068
1434778276,3107,0
1434799836,2602,0
1434821445,3117,0
1434843126,551,8075
1434864643,4886,0
1434886237,1810,0
1434907851,1822,0
1434929550,803,6659
1434951090,1564,0
1434972645,2844,0
1434994226,4644,0
1435015988,1559,5233
1435037463,822,0
1435059032,1313,0
1435080666,551,0
1435102365,2338,9849
1435123864,1044,0
1435145445,833,0
1435167060,3628,0
1435188770,2079,10392
1435210253,1047,0
1435231847,2578,0
1435253432,1060,0
1435275178,1299,5492
1435296664,2323,0
1435318240,4377,0
1435339822,1060,0
1435361522,1295,10609
1435383059,1817,0
1435404640,2081,0
1435426254,2100,0
1435447978,798,5854
1435469471,5063,0
1435491063,3106,0
1435512626,1540,0
1435534309,801,8601
1435555852,1582,0
1435577444,1317,0
1435599034,1057,0
1435620748,1309,8041
1435642250,792,0
1435663828,1037,0
1435685453,2605,0
1435707126,2312,7895
1435728623,1300,1799
1435750363,1082,0
1435771828,2104,0
1435793602,3478,0
1435815021,924,11123
1435836630,2439,0
1435858227,2343,0
1435879827,2618,0
1435901425,1567,146
1435923028,531,0
1435944623,3609,0
1435966224,2341,0
1435987831,2321,239
1436009425,2338,0
1436031023,1830,0
1436052622,2597,0
1436074227,5145,2559
1436095826,1051,0
1436117423,2165,0
1436139024,1556,0
1436160629,1589,7591
1436182223,2588,0
1436203833,1316,58
1436225429,1877,0
1436247024,2319,8409
1436268627,2080,0
1436290222,41,0
1436311828,2071,0
1436333428,283,7611
1436355029,4639,0
1436376622,1577,0
1436398226,3366,0
1436419831,539,3499
1436441424,2332,0
1436463023,2885,0
1436484639,5141,0
1436506229,2063,8318
1436527824,1733,0
1436549423,1055,0
1436571024,2314,0
1436612425,6175,8801
1436634023,3629,0
1436655665,1837,0
1436677225,1309,7736
1436698887,3358,0
1436720423,2086,0
1436742069,2329,0
1436763629,3091,9345
1436785229,536,0
1436806827,2884,0
1436828459,2354,0
1436850027,3368,4760
1436871627,813,0
1436893224,3104,0
1436914877,2437,0
1436936427,2601,7772
1436958026,1580,0
1436979625,2995,0
1437001272,551,0
1437022825,2601,7093
1437044428,2593,0
1437066024,2576,0
1437087680,2359,0
1437109227,40,7861
1437130825,287,0
1437152424,1819,0
1437174071,1049,0
1437195624,2066,6268
1437217227,1823,0
1437238823,1571,0
1437260467,1311,0
1437282026,1813,9113
1437303628,2068,0
1437325223,1828,0
1437346849,2296,0
1437368423,542,4796
1437390025,795,0
1437411626,1316,0
1437433267,531,0
1437454824,1834,6592
1437476427,2068,0
1437498022,2577,0
1437519762,1562,0
1437541229,2085,7563
1437562913,3862,0
1437584474,1322,0
1437660054,2144,9115
1437681738,818,0
1437703225,1671,0
1437724822,801,8059
1437746425,50,0
1437768022,2602,0
1437789626,816,0
1437811221,1565,10131
1437832824,1822,0
1437854422,302,0
1438394419,888,67659
1438416016,2010,0
1438437620,3022,0
1438459217,3028,0
1438480817,1617,11874
1438502416,1558,0
1438524018,1327,0
1438545617,1601,0
1438567219,301,6294
1438588817,1560,0
1438610420,1568,0
1438632017,809,0
1438653617,2866,9556
1438675216,1573,0
1438696819,1062,0
1438718416,2587,0
1438740019,561,11274
1438761616,1303,0
1438783217,1307,0
1438804816,1870,0
1438947016,9218,11716
1438968617,1086,0
1438990216,2098,6780
1439011816,1565,0
1439033417,5143,0
1439055016,1328,0
1439076617,805,6778
1439098217,994,0
1439119816,1039,0
1439141416,2324,0
1439163016,2618,7067
1439184617,1562,0
1439206216,1553,0
1439227817,1044,0
1439249429,1058,10688
1439271017,813,0
1439292616,3093,0
1439314216,1824,0
1439335816,1075,6978
1439357416,1442,0
1439379016,1082,0
1439400616,2092,0
1439422219,1624,4404
1439443816,2265,0
1439465416,548,0
1439487016,1848,0
1439508617,1581,5800
1439530215,534,0
1439551817,2353,9
1439573416,2098,0
1439595015,39,8145
1439616615,43,0
1439638215,52,0
1439659815,55,0
1439681415,37,0
1439703016,41,0
1439724615,45,0
1439746215,46,0
1439767815,21,0
1439789416,45,0
1439811015,47,0
1439832614,71,0
1439854219,43,0
1439875815,53,0
1439897416,43,0
1439919016,2340,0
1439940616,1314,0
1439962215,3858,0
1439983817,565,0
1440005416,1832,0
1440027016,1555,0
1440048618,1822,0
1440070216,1556,0
1440091816,2838,0
1440113417,543,9
1440135017,2008,0
1440156618,1311,0
1440178217,1065,0
1440199817,1563,8317
1440221417,2581,0
1440243017,1056,0
1440264616,1833,0
1440286216,534,4544
1440307816,1572,0
1440329417,1302,0
1440351018,1580,0
1440372617,1307,6680
1440394216,1318,0
1440415817,1625,0
1440437417,1335,0
1440459017,1815,4438
1440480617,804,0
1440502217,1568,0
1440523816,1068,0
1440545417,1805,5263
