DateTime,Entries,UniqueIPs
1433692825,180982,180982
1433714444,176509,176509
1433736031,179348,179348
1433757640,181932,181932
1433779229,182486,182486
1433800881,178836,178836
1433822422,180914,180914
1433844042,182730,182730
1433865631,184826,184826
1433887294,180612,180612
1433908858,181943,181943
1433930440,185045,185045
1433952061,187115,187115
1433973677,182721,182721
1433995230,184538,184538
1434016841,188722,188722
1434038440,192275,192275
1434060114,187341,187341
1434081638,189146,189146
1434103289,189179,189179
1434124820,189217,189217
1434148510,183998,183998
1434171721,184034,184034
1434193497,184073,184073
1434214833,184104,184104
1434238359,176181,176181
1434259866,176470,176470
1434281433,176502,176502
1434281433,176502,176502
1434281433,176502,176502
1434281433,176502,176502
1434281433,176502,176502
1434281433,176502,176502
1434303039,176551,176551
1434303039,176551,176551
1434324732,173116,173116
1434346231,173146,173146
1434367828,174704,174704
1434389444,176774,176774
1434411112,175615,175615
1434432641,176172,176172
1434454254,178750,178750
1434475845,181896,181896
1434497530,177435,177435
1434519042,179510,179510
1434540638,180557,180557
1434562270,185225,185225
1434583965,180468,180468
1434605461,183831,183831
1434627040,185423,185423
1434627040,185423,185423
1434648635,185752,185752
1434670321,179507,179507
1434691854,180577,180577
1434691854,180577,180577
1434713436,185465,185465
1434735032,186031,186031
1434756716,178033,178033
1434778276,181140,181140
1434799836,183742,183742
1434821445,186859,186859
1434843126,179335,179335
1434864643,184221,184221
1434886237,186031,186031
1434907851,187853,187853
1434929550,181997,181997
1434951090,183561,183561
1434972645,186405,186405
1434994226,191049,191049
1435015988,187375,187375
1435037463,188197,188197
1435059032,189510,189510
1435080666,190061,190061
1435102365,182550,182550
1435123864,183594,183594
1435145445,184427,184427
1435167060,188055,188055
1435188770,179742,179742
1435210253,180789,180789
1435231847,183367,183367
1435253432,184427,184427
1435275178,180234,180234
1435296664,182557,182557
1435318240,186934,186934
1435339822,187994,187994
1435361522,178680,178680
1435383059,180497,180497
1435404640,182578,182578
1435426254,184678,184678
1435447978,179622,179622
1435469471,184685,184685
1435491063,187791,187791
1435512626,189331,189331
1435534309,181531,181531
1435555852,183113,183113
1435577444,184430,184430
1435599034,185487,185487
1435620748,178755,178755
1435642250,179547,179547
1435663828,180584,180584
1435685453,183189,183189
1435707126,177606,177606
1435728623,177107,177107
1435750363,178189,178189
1435771828,180293,180293
1435793602,183771,183771
1435815021,173572,173572
1435836630,176011,176011
1435858227,178354,178354
1435879827,180972,180972
1435901425,182393,182393
1435923028,182924,182924
1435944623,186533,186533
1435966224,188874,188874
1435987831,190956,190956
1436009425,193294,193294
1436031023,195124,195124
1436052622,197721,197721
1436074227,200307,200307
1436095826,201358,201358
1436117423,203523,203523
1436139024,205079,205079
1436160629,199077,199077
1436182223,201665,201665
1436203833,202923,202923
1436225429,204800,204800
1436247024,198710,198710
1436268627,200790,200790
1436290222,200831,200831
1436311828,202902,202902
1436333428,195574,195574
1436355029,200213,200213
1436376622,201790,201790
1436398226,205156,205156
1436419831,202196,202196
1436441424,204528,204528
1436463023,207413,207413
1436484639,212554,212554
1436506229,206299,206299
1436527824,208032,208032
1436549423,209087,209087
1436571024,211401,211401
1436612425,208775,208775
1436634023,212404,212404
1436655665,214241,214241
1436677225,207814,207814
1436698887,211172,211172
1436720423,213258,213258
1436742069,215587,215587
1436763629,209333,209333
1436785229,209869,209869
1436806827,212753,212753
1436828459,215107,215107
1436850027,213715,213715
1436871627,214528,214528
1436893224,217632,217632
1436914877,220069,220069
1436936427,214898,214898
1436958026,216478,216478
1436979625,219473,219473
1437001272,220024,220024
1437022825,215532,215532
1437044428,218125,218125
1437066024,220701,220701
1437087680,223060,223060
1437109227,215239,215239
1437130825,215526,215526
1437152424,217345,217345
1437174071,218394,218394
1437195624,214192,214192
1437217227,216015,216015
1437238823,217586,217586
1437260467,218897,218897
1437282026,211597,211597
1437303628,213665,213665
1437325223,215493,215493
1437346849,217789,217789
1437368423,213535,213535
1437390025,214330,214330
1437411626,215646,215646
1437433267,216177,216177
1437454824,211419,211419
1437476427,213487,213487
1437498022,216064,216064
1437519762,217626,217626
1437541229,212148,212148
1437562913,216010,216010
1437584474,217332,217332
1437660054,210361,210361
1437681738,211179,211179
1437703225,212850,212850
1437724822,205592,205592
1437746425,205642,205642
1437768022,208244,208244
1437789626,209060,209060
1437811221,200494,200494
1437832824,202316,202316
1437854422,202618,202618
1438394419,135847,135847
1438416016,137857,137857
1438437620,140879,140879
1438459217,143907,143907
1438480817,133650,133650
1438502416,135208,135208
1438524018,136535,136535
1438545617,138136,138136
1438567219,132143,132143
1438588817,133703,133703
1438610420,135271,135271
1438632017,136080,136080
1438653617,129390,129390
1438675216,130963,130963
1438696819,132025,132025
