DateTime,Entries,UniqueIPs
1438282943,3,3
1438282943,3,3
1438284742,2,2
1438288339,3,3
1438304553,2,2
1438313535,3,3
1438329752,2,2
1438331547,3,3
1438365756,2,2
1438367550,3,3
1438374748,2,2
1438383757,3,3
1438412541,2,2
1438414337,3,3
1438419739,2,2
1438421542,3,3
1438441345,2,2
1438452141,3,3
1438459357,2,2
1438468336,3,3
1438500726,2,2
1438502542,3,3
1438509739,2,2
1438511530,3,3
1438535804,2,2
1438539404,3,3
1438557398,2,2
1438562797,3,3
1438580847,2,2
1438582612,3,3
1438602402,2,2
1438604204,3,3
1438636611,2,2
1438640246,3,3
1438652822,2,2
1438658202,3,3
1438681623,2,2
1438683407,3,3
1438696030,2,2
1438697810,3,3
1438706801,2,2
1438712238,3,3
1438728399,2,2
1438735599,3,3
1438740998,2,2
1438742797,3,3
1438751801,2,2
1438753651,3,3
1438767999,2,2
1438782415,3,3
1438804000,2,2
1438805798,3,3
1438948038,4,4
1438949830,3,3
1438955287,4,4
1438980398,3,3
1438982196,4,4
1438992999,3,3
1438994804,4,4
1439001995,3,3
1439009217,4,4
1439016452,3,3
1439018238,4,4
1439032602,3,3
1439041603,4,4
1439048799,3,3
1439052402,4,4
1439059600,3,3
1439070432,4,4
1439091993,3,3
1439097394,4,4
1439104602,3,3
1439108204,4,4
1439119020,4,4
1439137936,3,3
1439145146,4,4
1439152336,3,3
1439154143,4,4
1439179409,3,3
1439181138,4,4
1439192806,4,4
1439194624,4,4
1439194624,4,4
1439194624,4,4
1439196431,3,3
1439196431,3,3
1439200000,3,3
1439210844,4,4
1439238733,4,4
1439247756,5,5
1439254943,4,4
1439269376,3,3
1439296345,4,4
1439355776,3,3
1439366555,4,4
1439379148,3,3
1439382755,4,4
1439395352,3,3
1439406148,4,4
1439442174,3,3
1439445811,4,4
1439460139,3,3
1439463745,4,4
1439472737,3,3
1439476354,4,4
1439519546,3,3
1439524944,4,4
1439546558,3,3
1439551949,4,4
1439562755,3,3
1439578952,4,4
1439595150,3,3
1439600554,4,4
1439632912,3,3
1439634713,4,4
1439648268,4,4
1439673418,3,3
1439678847,4,4
1439706746,3,3
1439708553,4,4
1439733744,3,3
1439739096,4,4
1439762578,3,3
1439771540,4,4
1439778752,3,3
1439780550,4,4
1439785953,3,3
1439791316,4,4
1439805737,3,3
1439816549,4,4
1439825543,3,3
1439827359,4,4
1439841729,3,3
1439852544,4,4
1439870560,3,3
1439872364,4,4
1439881360,3,3
1439883156,4,4
1439924552,3,3
1439926347,4,4
1439962347,3,3
1439967753,4,4
1439973148,3,3
1439974956,4,4
1439992951,3,3
1439994747,4,4
1440001950,3,3
1440007357,4,4
1440012746,3,3
1440014551,4,4
1440063146,3,3
1440064950,4,4
1440111758,3,3
1440117150,4,4
1440151351,3,3
1440154949,4,4
1440161219,3,3
1440172031,4,4
1440181047,3,3
1440182848,4,4
1440207155,3,3
1440214358,4,4
1440246708,3,3
1440250338,4,4
1440259371,3,3
1440262972,4,4
1440270140,3,3
1440280968,4,4
1440295492,3,3
1440297137,4,4
1440324111,3,3
1440328647,4,4
1440345740,3,3
1440349347,4,4
1440360171,3,3
1440363732,4,4
1440376313,3,3
1440378155,4,4
1440392571,3,3
1440397953,4,4
1440405148,3,3
1440408757,4,4
1440419510,3,3
1440423137,4,4
1440455560,3,3
1440459146,4,4
1440464541,3,3
1440469948,4,4
1440477153,3,3
1440478961,4,4
1440489755,3,3
1440496954,4,4
1440532947,3,3
1440534752,4,4
1440610332,3,3
1440612166,4,4
1440642746,3,3
1440644540,4,4
1440660759,3,3
1440662550,4,4
1440669768,4,4
1440738164,3,3
1440741774,4,4
1440748926,3,3
1440754344,4,4
1440795746,3,3
1440797538,4,4
1440802950,3,3
1440808352,4,4
1440853367,3,3
1440858755,4,4
1440864164,3,3
1440865956,4,4
1440874962,3,3
1440876764,4,4
1440898354,3,3
1440900313,4,4
1440907419,3,3
1440910973,4,4
1440927143,3,3
1440932548,4,4
1440943345,3,3
1440946952,4,4
1440961355,3,3
1440963141,4,4
1440986564,3,3
1440990159,4,4
1441022575,3,3
1441027925,4,4
1441047750,3,3
1441049541,4,4
1441062156,3,3
1441065781,4,4
1441107149,3,3
1441108965,4,4
1441128745,3,3
1441130581,4,4
1441184555,3,3
1441186338,4,4
1441209754,3,3
1441211550,4,4
1441220559,3,3
1441224183,4,4
1441271814,3,3
1442242946,2,2
