DateTime,Entries,UniqueIPs
1440067997,248,248
1440069920,250,250
1440071689,249,249
1440075161,249,249
1440077075,250,250
1440078871,248,248
1440080564,249,249
1440081573,248,248
1440086854,247,247
1440088695,246,246
1440094114,246,246
1440095868,247,247
1440104044,247,247
1440109378,248,248
1440114798,248,248
1440116644,261,261
1440117587,260,260
1440119406,260,260
1440121212,258,258
1440123069,240,240
1440124796,243,243
1440130201,242,242
1440132000,243,243
1440139078,242,242
1440142673,243,243
1440149026,241,241
1440150772,242,242
1440159785,242,242
1440165162,243,243
1440170578,242,242
1440172401,243,243
1440176884,242,242
1440178757,241,241
1440179592,242,242
1440181470,243,243
1440186798,242,242
1440188583,243,243
1440189571,242,242
1440192265,241,241
1440194050,242,242
1440199441,243,243
1440200308,243,243
1440202996,267,267
1440206558,265,265
1440208386,245,245
1440210161,247,247
1440211975,243,243
1440213797,243,243
1440228217,242,242
1440229183,242,242
1440232742,243,243
1440237255,244,244
1440245345,243,243
1440247061,241,241
1440250758,242,242
1440256965,243,243
1440258768,243,243
1440260573,245,245
1440262367,245,245
1440264187,244,244
1440265135,244,244
1440270552,243,243
1440272318,244,244
1440273281,243,243
1440275961,244,244
1440276853,243,243
1440279562,242,242
1440280411,244,244
1440286692,245,245
1440288515,249,249
1440290244,268,268
1440293081,267,267
1440294870,245,245
1440296556,244,244
1440297552,245,245
1440301064,244,244
1440305551,244,244
1440307495,245,245
1440309246,246,246
1440310967,246,246
1440312779,245,245
1440315493,244,244
1440317277,243,243
1440319079,245,245
1440322647,244,244
1440324461,244,244
1440328092,245,245
1440331665,244,244
1440333483,246,246
1440335255,247,247
1440336255,246,246
1440337079,247,247
1440338856,245,245
1440341676,247,247
1440345223,246,246
1440348898,247,247
1440350558,245,245
1440355978,244,244
1440359571,245,245
1440361389,246,246
1440363178,247,247
1440365021,247,247
1440368561,248,248
1440373974,248,248
1440375823,261,261
1440377667,262,262
1440379433,261,261
1440381200,249,249
1440384767,246,246
1440388445,248,248
1440393795,247,247
1440395706,248,248
1440399223,248,248
1440401048,249,249
1440402789,248,248
1440404652,249,249
1440405669,250,250
1440407416,250,250
1440409250,251,251
1440411041,250,250
1440416420,251,251
1440418154,251,251
1440419895,251,251
1440420945,252,252
1440424474,253,253
1440426331,252,252
1440428118,251,251
1440431753,252,252
1440433421,251,251
1440435192,251,251
1440440784,252,252
1440446121,253,253
1440454234,252,252
1440456073,251,251
1440459643,253,253
1440461440,254,254
1440463251,280,280
1440465042,278,278
1440466809,276,276
1440468658,256,256
1440470470,257,257
1440473155,258,258
1440476721,257,257
1440479477,258,258
1440483073,257,257
1440484819,256,256
1440488361,259,259
1440489347,258,258
1440491165,258,258
1440494765,257,257
1440496463,255,255
1440498284,256,256
1440501865,258,258
1440507230,255,255
1440509027,256,256
1440520832,255,255
1440522599,254,254
1440524378,255,255
1440527941,256,256
