DateTime,AddedIPs,RemovedIPs
1438301059,1,0
1438306354,0,2
1438387404,1,0
1438392732,0,1
1438473863,1,0
1438479147,0,1
1438561013,1,0
1438566413,0,1
1438647414,1,0
1438652835,0,1
1438733810,1,0
1438739215,0,1
1438948058,1,1
1438993009,1,0
1438998412,0,1
1439079409,1,0
1439084802,0,1
1439164973,1,0
1439170351,0,1
1439251335,1,0
1439256756,0,1
1439337816,1,0
1439343156,0,1
1439424179,1,0
1439429556,0,1
1439510623,1,0
1439515952,0,1
1439597004,1,0
1439602353,0,1
1439648281,0,0
1439684215,1,0
1439689623,0,1
1439769826,1,0
1439775174,0,1
1439856142,1,0
1439861554,0,1
1439942574,1,0
1439947928,0,1
1440028994,2,0
1440034347,0,1
1440115336,1,0
1440120774,0,2
1440161230,0,0
1440201790,1,0
1440207169,0,1
1440289914,1,0
1440295504,0,1
1440374566,1,0
1440379950,0,1
1440460994,1,0
1440466346,0,1
1440547396,1,0
1440552769,0,1
1440633759,1,0
1440639160,0,1
1440669779,0,0
1440720219,1,0
1440725557,0,1
1440806591,1,0
1440811960,0,1
1440892989,1,0
1440898371,0,1
1440979359,1,0
1440986575,0,1
1441065793,1,0
1441071158,0,1
1441152234,1,0
1441157570,0,1
1441238548,1,0
1441243909,0,1
1441324948,1,0
1441330354,0,1
1441411392,1,0
1441416755,0,1
1441498665,1,0
1441504060,0,1
1441584180,1,0
1441589561,0,1
1441670581,1,0
1441675950,0,1
1441756955,1,0
1441762312,0,1
1441843344,1,0
1441848754,0,1
1441929795,1,0
1441935164,0,1
1442016179,1,0
1442021567,0,1
1442102541,1,0
1442107967,0,1
1442188991,1,0
1442194345,0,1
1442275340,1,0
1442280733,0,1
1442361759,1,0
1442367113,0,1
1442448164,1,0
