DateTime,AddedIPs,RemovedIPs
1438286591,0,1
1438290193,1,0
1438311794,0,1
1438320781,1,0
1438326212,0,1
1438329797,1,0
1438335201,0,1
1438340600,1,0
1438364002,0,1
1438369397,1,0
1438378353,0,1
1438382002,1,0
1438396389,0,1
1438443188,1,0
1438461182,0,1
1438462993,1,0
1438475576,0,1
1438477390,1,0
1438482783,0,1
1438555647,1,0
1438562845,0,1
1438568240,1,0
1438590784,0,1
1438603407,1,0
1438617806,0,1
1438633985,1,0
1438641165,0,1
1438650193,1,0
1438659196,0,1
1438664610,1,0
1438669953,0,1
1438677146,1,0
1438684380,0,1
1438686200,1,0
1438691579,0,1
1438702376,1,0
1438709586,0,1
1438711354,1,0
1438725786,0,1
1438727582,1,0
1438736586,0,1
1438754554,1,0
1438763597,0,1
1438768987,1,0
1438776191,0,1
1438804047,1,0
1438948090,0,1
1438980445,1,0
1438987668,0,1
1439002042,1,0
1439011058,0,1
1439027244,1,0
1439039840,0,1
1439050647,1,0
1439057845,0,1
1439061449,1,0
1439072246,0,1
1439079441,1,0
1439086635,0,1
1439088433,1,0
1439097439,0,1
1439110044,1,0
1439117294,0,1
1439161393,1,0
1439168588,0,1
1439172235,1,0
1439177575,0,1
1439188376,1,0
1439195571,0,1
1439210889,1,0
1439216247,0,1
1439296392,1,0
1439307148,0,1
1439309002,1,0
1439314389,0,1
1439334197,1,0
1439345001,0,1
1439357582,1,0
1439364790,0,1
1439447596,1,0
1439461987,0,1
1439481779,1,0
1439505186,0,1
1439526761,1,0
1439544797,0,1
1439584352,1,0
1439589802,0,1
1439600598,1,0
1439615013,0,1
1439618606,1,0
1439623996,0,1
1439646466,1,0
1439648314,0,0
1439653678,0,1
1439655512,1,0
1439660883,0,1
1439671662,1,0
1439677069,0,1
1439686102,1,0
1439691441,0,1
1439696883,1,0
1439708597,0,1
1439710361,1,0
1439717589,0,1
1439721174,1,0
1439726558,0,1
1439735576,1,0
1439742783,0,1
1439766216,1,0
1439773402,0,1
1439782394,1,0
1439791360,0,1
1439800388,1,0
1439809379,0,1
1439845371,1,0
1439852588,0,1
1439854354,1,0
1439870604,0,1
1439874194,1,0
1439893989,0,1
1439899356,1,0
1439908354,0,1
1439926398,1,0
1439947961,0,1
1439958794,1,0
1439965991,0,1
1439969580,1,0
1439975000,0,1
1439983984,1,0
1439992995,0,1
1439996581,1,0
1440001994,0,1
1440003813,1,0
1440011000,0,1
1440016388,1,0
1440021916,0,1
1440027187,1,0
1440037992,0,1
1440045190,1,0
1440050614,0,1
1440059586,1,0
1440064993,0,1
1440072209,1,0
1440082980,0,1
1440088372,1,0
1440093782,0,1
1440099193,1,0
1440106390,0,1
1440108218,1,0
1440117194,0,1
1440120806,1,0
1440127992,0,1
1440147809,1,0
1440161262,0,0
1440167607,0,1
1440171192,1,0
1440178403,0,1
1440187413,1,0
1440196402,0,1
1440225162,1,0
1440235950,0,1
1440237793,1,0
1440250382,0,1
1440264784,1,0
1440277406,0,1
1440288157,1,0
1440293566,0,1
1440304389,1,0
1440311590,0,1
1440329554,1,0
1440343990,0,1
1440365554,1,0
1440371003,0,1
1440383588,1,0
1440390784,0,1
1440399839,1,0
1440406993,0,1
1440433992,1,0
1440442971,0,1
1440522190,1,0
1440531172,0,1
1440569005,1,0
1440576216,0,1
1440588798,1,0
1440595998,0,1
1440613981,1,0
1440621197,0,1
1440623013,1,0
1440631991,0,1
1440635590,1,0
1440642789,0,1
1440646393,1,0
1440657209,0,1
1440667997,1,0
1440669812,0,0
1440675199,0,1
1440680612,1,0
1440694977,0,1
1440707599,1,0
1440714793,0,1
1440725589,1,0
1440730998,0,1
1440743585,1,0
1440748970,0,1
1440761567,1,0
1440768792,0,1
1440772351,1,0
1440779586,0,1
1440795790,1,0
1440801187,0,1
1440806623,1,0
1440813830,0,1
1440826397,1,0
1440848012,0,1
1440860588,1,0
1440866000,0,1
1440867807,1,0
1440875009,0,1
1440903794,1,0
1440911017,0,1
1440921786,1,0
1440930762,0,1
1440934395,1,0
1440941589,0,1
1440990205,1,0
1441001012,0,1
1441008210,1,0
1441015400,0,1
1441037020,1,0
1441042387,0,1
1441065826,1,0
1441081992,0,1
1441096392,1,0
1441107194,0,1
1441144993,1,0
1441150395,0,1
1441153983,1,0
1441170227,0,1
1441175584,1,0
1441181021,0,1
1441184595,1,0
1441189990,0,1
1441233194,1,0
1441258379,0,1
