DateTime,Entries,UniqueIPs
1438282994,3,3
1438282994,3,3
1438286591,2,2
1438290193,3,3
1438311794,2,2
1438320781,3,3
1438326212,2,2
1438329797,3,3
1438335201,2,2
1438340600,3,3
1438364002,2,2
1438369397,3,3
1438378353,2,2
1438382002,3,3
1438396389,2,2
1438443188,3,3
1438461182,2,2
1438462993,3,3
1438475576,2,2
1438477390,3,3
1438482783,2,2
1438555647,3,3
1438562845,2,2
1438568240,3,3
1438590784,2,2
1438603407,3,3
1438617806,2,2
1438633985,3,3
1438641165,2,2
1438650193,3,3
1438659196,2,2
1438664610,3,3
1438669953,2,2
1438677146,3,3
1438684380,2,2
1438686200,3,3
1438691579,2,2
1438702376,3,3
1438709586,2,2
1438711354,3,3
1438725786,2,2
1438727582,3,3
1438736586,2,2
1438754554,3,3
1438763597,2,2
1438768987,3,3
1438776191,2,2
1438804047,3,3
1438948090,2,2
1438980445,3,3
1438987668,2,2
1439002042,3,3
1439011058,2,2
1439027244,3,3
1439039840,2,2
1439050647,3,3
1439057845,2,2
1439061449,3,3
1439072246,2,2
1439079441,3,3
1439086635,2,2
1439088433,3,3
1439097439,2,2
1439110044,3,3
1439117294,2,2
1439119061,2,2
1439161393,3,3
1439168588,2,2
1439172235,3,3
1439177575,2,2
1439188376,3,3
1439192849,3,3
1439192849,3,3
1439195571,2,2
1439195571,2,2
1439195571,2,2
1439195571,2,2
1439200042,2,2
1439210889,3,3
1439216247,2,2
1439238777,2,2
1439296392,3,3
1439307148,2,2
1439309002,3,3
1439314389,2,2
1439334197,3,3
1439345001,2,2
1439357582,3,3
1439364790,2,2
1439447596,3,3
1439461987,2,2
1439481779,3,3
1439505186,2,2
1439526761,3,3
1439544797,2,2
1439584352,3,3
1439589802,2,2
1439600598,3,3
1439615013,2,2
1439618606,3,3
1439623996,2,2
1439646466,3,3
1439648314,3,3
1439653678,2,2
1439655512,3,3
1439660883,2,2
1439671662,3,3
1439677069,2,2
1439686102,3,3
1439691441,2,2
1439696883,3,3
1439708597,2,2
1439710361,3,3
1439717589,2,2
1439721174,3,3
1439726558,2,2
1439735576,3,3
1439742783,2,2
1439766216,3,3
1439773402,2,2
1439782394,3,3
1439791360,2,2
1439800388,3,3
1439809379,2,2
1439845371,3,3
1439852588,2,2
1439854354,3,3
1439870604,2,2
1439874194,3,3
1439893989,2,2
1439899356,3,3
1439908354,2,2
1439926398,3,3
1439947961,2,2
1439958794,3,3
1439965991,2,2
1439969580,3,3
1439975000,2,2
1439983984,3,3
1439992995,2,2
1439996581,3,3
1440001994,2,2
1440003813,3,3
1440011000,2,2
1440016388,3,3
1440021916,2,2
1440027187,3,3
1440037992,2,2
1440045190,3,3
1440050614,2,2
1440059586,3,3
1440064993,2,2
1440072209,3,3
1440082980,2,2
1440088372,3,3
1440093782,2,2
1440099193,3,3
1440106390,2,2
1440108218,3,3
1440117194,2,2
1440120806,3,3
1440127992,2,2
1440147809,3,3
1440161262,3,3
1440167607,2,2
1440171192,3,3
1440178403,2,2
1440187413,3,3
1440196402,2,2
1440225162,3,3
1440235950,2,2
1440237793,3,3
1440250382,2,2
1440264784,3,3
1440277406,2,2
1440288157,3,3
1440293566,2,2
1440304389,3,3
1440311590,2,2
1440329554,3,3
1440343990,2,2
1440365554,3,3
1440371003,2,2
1440383588,3,3
1440390784,2,2
1440399839,3,3
1440406993,2,2
1440433992,3,3
1440442971,2,2
1440522190,3,3
1440531172,2,2
1440569005,3,3
1440576216,2,2
1440588798,3,3
1440595998,2,2
1440613981,3,3
1440621197,2,2
1440623013,3,3
1440631991,2,2
1440635590,3,3
1440642789,2,2
1440646393,3,3
1440657209,2,2
1440667997,3,3
1440669812,3,3
1440675199,2,2
1440680612,3,3
1440694977,2,2
1440707599,3,3
1440714793,2,2
1440725589,3,3
1440730998,2,2
1440743585,3,3
1440748970,2,2
1440761567,3,3
1440768792,2,2
1440772351,3,3
1440779586,2,2
1440795790,3,3
1440801187,2,2
1440806623,3,3
1440813830,2,2
1440826397,3,3
1440848012,2,2
1440860588,3,3
1440866000,2,2
1440867807,3,3
1440875009,2,2
1440903794,3,3
1440911017,2,2
1440921786,3,3
1440930762,2,2
1440934395,3,3
1440941589,2,2
1440990205,3,3
1441001012,2,2
1441008210,3,3
1441015400,2,2
1441037020,3,3
1441042387,2,2
1441065826,3,3
1441081992,2,2
1441096392,3,3
1441107194,2,2
1441144993,3,3
1441150395,2,2
1441153983,3,3
1441170227,2,2
1441175584,3,3
1441181021,2,2
1441184595,3,3
1441189990,2,2
1441233194,3,3
1441258379,2,2
