DateTime,AddedIPs,RemovedIPs
1438300973,1,0
1438560972,1,0
1438634780,1,0
1438676179,0,1
1438733778,2,0
1438998376,0,1
1439028978,2,0
1439079375,1,0
1439081172,2,0
1439088370,0,2
1439097372,2,0
1439102781,0,1
1439132489,1,2
1439141481,2,0
1439146882,0,1
1439157722,1,0
1439163081,0,2
1439188274,2,0
1439196371,0,2
1439234173,2,0
1439240480,0,1
1439256678,0,1
1439258534,1,0
1439263879,0,2
1439272914,2,0
1439278278,0,1
1439280078,0,1
1439301707,1,0
1439307079,0,2
1439361080,2,0
1439366490,0,1
1439382688,1,0
1439389887,1,0
1439395290,0,2
1439429480,0,2
1439449281,2,0
1439454680,0,1
1439460080,1,0
1439461880,0,1
1439472679,0,2
1439478091,1,0
1439483488,0,2
1439533886,2,0
1439548280,1,0
1439551889,2,0
1439557318,0,1
1439566288,1,0
1439571682,0,2
1439649986,0,0
1439757985,2,0
1439765172,0,2
1439775974,0,1
1439898388,0,1
1439901986,1,0
1439905588,1,0
1439980287,0,1
1439987481,1,0
1439996478,0,1
1440070288,1,0
1440088279,0,1
1440115281,2,0
1440160279,0,0
1440288074,1,0
1440374475,1,0
1440421282,1,0
1440428482,0,1
1440633688,1,0
1440669702,0,0
1440806483,1,3
1440811883,0,2
1440838893,2,0
1440856904,1,0
1440860496,0,1
1440874898,1,0
1441392380,1,4
1441411278,1,0
1441497679,1,0
1441503980,0,1
1441641687,0,1
1441666879,1,0
1441724506,0,1
1441902671,1,0
1441908080,0,1
1441920671,1,0
1441965691,0,1
1442107888,0,1
1442194289,0,1
1442275289,1,0
1442314892,1,0
1442323886,0,2
1442329291,2,0
1442342789,0,2
1442344587,2,0
1442408496,0,1
1442412084,1,0
1442413881,1,0
