DateTime,Entries,UniqueIPs
1438282884,9,9
1438282884,9,9
1438300973,10,10
1438560972,11,11
1438634780,12,12
1438676179,11,11
1438733778,13,13
1438998376,12,12
1439028978,14,14
1439079375,15,15
1439081172,17,17
1439088370,15,15
1439097372,17,17
1439102781,16,16
1439132489,15,15
1439141481,17,17
1439146882,16,16
1439157722,17,17
1439163081,15,15
1439188274,17,17
1439192773,17,17
1439194572,17,17
1439194572,17,17
1439194572,17,17
1439196371,15,15
1439196371,15,15
1439199972,15,15
1439234173,17,17
1439238675,17,17
1439240480,16,16
1439256678,15,15
1439258534,16,16
1439263879,14,14
1439272914,16,16
1439278278,15,15
1439280078,14,14
1439301707,15,15
1439307079,13,13
1439361080,15,15
1439366490,14,14
1439382688,15,15
1439389887,16,16
1439395290,14,14
1439429480,12,12
1439449281,14,14
1439454680,13,13
1439460080,14,14
1439461880,13,13
1439472679,11,11
1439478091,12,12
1439483488,10,10
1439533886,12,12
1439548280,13,13
1439551889,15,15
1439557318,14,14
1439566288,15,15
1439571682,13,13
1439649986,13,13
1439757985,15,15
1439765172,13,13
1439775974,12,12
1439898388,11,11
1439901986,12,12
1439905588,13,13
1439980287,12,12
1439987481,13,13
1439996478,12,12
1440070288,13,13
1440088279,12,12
1440115281,14,14
1440160279,14,14
1440288074,15,15
1440374475,16,16
1440421282,17,17
1440428482,16,16
1440633688,17,17
1440669702,17,17
1440806483,15,15
1440811883,13,13
1440838893,15,15
1440856904,16,16
1440860496,15,15
1440874898,16,16
1441392380,13,13
1441411278,14,14
1441497679,15,15
1441503980,14,14
1441641687,13,13
1441666879,14,14
1441724506,13,13
1441902671,14,14
1441908080,13,13
1441920671,14,14
1441965691,13,13
1442107888,12,12
1442194289,11,11
1442275289,12,12
1442314892,13,13
1442323886,11,11
1442329291,13,13
1442342789,11,11
1442344587,13,13
1442408496,12,12
1442412084,13,13
1442413881,14,14
1442448081,15,15
1442476880,14,14
1442480480,13,13
