DateTime,AddedIPs,RemovedIPs
1438394029,0,1
1438474939,2,0
1438480430,0,1
1438560574,1,0
1438653167,0,1
1438734136,1,0
1438948434,1,2
1438998740,0,1
1439165275,2,0
1439170657,0,1
1439257889,0,1
1439425276,1,0
1439598089,3,0
1439603478,0,2
1439648548,0,0
1439799722,2,0
1439805087,0,2
1439862685,0,1
1439889797,2,0
1439895096,0,2
1439927493,2,0
1439932899,0,2
1439974264,2,0
1439979787,0,2
1440006738,1,0
1440030079,1,0
1440035495,0,3
1440159699,0,0
1440202904,2,0
1440289379,3,0
1440461298,1,0
1440466637,0,1
1440548486,4,0
1440634897,1,0
1440640330,0,2
1440669149,0,0
1440726719,0,3
1440893290,3,0
1440899580,0,1
1440985918,0,4
1441072293,0,1
1441153273,1,0
1441331504,0,4
1441367481,1,0
1441590680,0,1
1441843629,4,0
1442281969,0,4
1442449285,2,0
