DateTime,Entries,UniqueIPs
1438283342,5,5
1438283342,5,5
1438394029,4,4
1438474939,6,6
1438480430,5,5
1438560574,6,6
1438653167,5,5
1438734136,6,6
1438948434,5,5
1438998740,4,4
1439119340,4,4
1439165275,6,6
1439170657,5,5
1439193084,5,5
1439193084,5,5
1439194893,5,5
1439194893,5,5
1439194893,5,5
1439196744,5,5
1439199456,5,5
1439238081,5,5
1439257889,4,4
1439425276,5,5
1439598089,8,8
1439603478,6,6
1439648548,6,6
1439799722,8,8
1439805087,6,6
1439862685,5,5
1439889797,7,7
1439895096,5,5
1439927493,7,7
1439932899,5,5
1439974264,7,7
1439979787,5,5
1440006738,6,6
1440030079,7,7
1440035495,4,4
1440159699,4,4
1440202904,6,6
1440289379,9,9
1440461298,10,10
1440466637,9,9
1440548486,13,13
1440634897,14,14
1440640330,12,12
1440669149,12,12
1440726719,9,9
1440893290,12,12
1440899580,11,11
1440985918,7,7
1441072293,6,6
1441153273,7,7
1441331504,3,3
1441367481,4,4
1441590680,3,3
1441843629,7,7
1442281969,3,3
1442449285,5,5
