DateTime,AddedIPs,RemovedIPs
1438301476,11,0
1438306760,0,25
1438321150,1,1
1438326584,1,1
1438388548,12,0
1438392243,0,1
1438394053,0,8
1438406568,0,1
1438408418,1,0
1438427366,0,1
1438429150,1,0
1438466996,0,1
1438470552,1,0
1438474264,17,0
1438479548,0,16
1438515541,0,1
1438519159,1,0
1438560600,18,0
1438562345,1,0
1438565948,0,12
1438572155,1,0
1438590171,0,1
1438591981,1,0
1438595555,0,1
1438597382,1,0
1438600962,0,1
1438606408,1,1
1438608183,1,0
1438636968,0,2
1438638958,1,0
1438647747,17,1
1438653179,0,14
1438658559,1,0
1438707168,0,1
1438708963,1,0
1438734149,24,0
1438739554,0,22
1438948457,25,35
1438976367,0,1
1438992635,12,0
1438994353,1,0
1438997976,1,20
1439000022,1,0
1439002352,0,2
1439005165,0,1
1439008770,1,0
1439014186,0,2
1439019448,2,0
1439023067,1,0
1439025002,0,1
1439026762,1,0
1439028562,0,1
1439032177,1,1
1439035768,1,0
1439037531,0,2
1439039399,1,0
1439041154,0,1
1439042967,2,0
1439044737,0,1
1439055565,1,0
1439057366,0,1
1439062760,0,1
1439064562,0,1
1439068187,1,0
1439069965,1,0
1439079050,16,1
1439080764,1,0
1439082658,0,1
1439084191,0,8
1439085103,0,1
1439086862,1,0
1439090469,1,0
1439092266,0,1
1439095864,0,1
1439103092,1,1
1439106702,1,0
1439108507,0,1
1439110297,1,0
1439112110,1,1
1439113901,1,0
1439115745,0,1
1439119363,0,1
1439132879,1,1
1439138267,2,0
1439139997,0,1
1439143710,0,1
1439150922,1,0
1439154487,1,0
1439156282,0,2
1439158113,1,0
1439159876,0,1
1439161697,1,0
1439167068,17,0
1439170681,0,1
1439172567,0,20
1439174275,1,0
1439177870,1,0
1439179782,0,1
1439181474,1,1
1439183329,0,1
1439185063,1,0
1439188658,1,0
1439190517,0,1
1439193102,1,0
1439194912,0,1
1439201400,1,1
1439204884,0,1
1439208499,1,0
1439210289,0,1
1439212046,1,0
1439213810,1,1
1439226489,1,0
1439228269,0,1
1439231868,0,1
1439238102,1,0
1439239894,0,1
1439241712,1,0
1439243498,0,1
1439245299,1,0
1439252550,12,1
1439257909,0,11
1439299525,1,0
1439339887,11,0
1439345332,0,15
1439426288,23,0
1439431815,0,15
1439512679,10,0
1439518207,0,14
1439598110,17,0
1439603499,0,10
1439648567,0,0
1439684506,20,0
1439689906,0,25
1439770925,15,0
1439772720,1,0
1439774505,1,0
1439776328,0,10
1439779910,0,1
1439839406,0,1
1439848307,1,0
1439857368,16,0
1439859094,1,0
1439862702,0,16
1439888869,1,0
1439897892,0,1
1439915867,1,0
1439924867,0,1
1439938317,1,0
1439943709,20,0
1439949192,0,19
1439950895,0,1
1439952746,1,0
1439965292,0,1
1439970703,1,0
1439977927,0,1
1440006753,1,0
1440015706,0,1
1440021104,1,0
1440030095,19,0
1440032012,0,1
1440035511,0,14
1440058960,0,1
1440069834,1,0
1440078766,0,1
1440086007,1,0
1440116535,13,1
1440121903,0,17
1440129115,1,0
1440159719,0,0
1440170518,0,1
1440181399,1,0
1440190365,0,1
1440199383,1,0
1440202917,20,0
1440208328,0,21
1440211893,0,1
1440237178,1,0
1440246199,0,1
1440256895,1,0
1440269498,0,1
1440271408,1,0
1440276782,0,1
1440280349,1,0
1440289398,20,1
1440294790,0,21
1440376650,12,0
1440382124,0,13
1440463093,25,0
1440467583,0,19
1440548500,11,0
1440553951,0,13
1440634927,12,0
1440640346,0,16
1440669165,1,0
1440721291,16,0
1440726738,0,29
1440807720,29,0
1440813157,0,11
1440894150,10,0
1440899607,0,12
1441391904,36,56
1441412525,14,0
1441417107,1,0
1441417912,0,11
1441442288,0,1
1441450391,1,0
1441471934,0,1
1441499875,16,0
1441505288,0,14
1441511509,1,0
1441520527,0,1
1441522320,0,1
1441527713,1,0
1441531398,1,0
1441539426,0,1
1441545713,0,1
1441554695,1,0
1441574570,0,1
1441578076,1,0
1441581721,1,0
1441585312,9,0
