DateTime,Entries,UniqueIPs
1438283369,114,114
1438283369,114,114
1438301476,125,125
1438306760,100,100
1438321150,100,100
1438326584,100,100
1438388548,112,112
1438392243,111,111
1438394053,103,103
1438406568,102,102
1438408418,103,103
1438427366,102,102
1438429150,103,103
1438466996,102,102
1438470552,103,103
1438474264,120,120
1438479548,104,104
1438515541,103,103
1438519159,104,104
1438560600,122,122
1438562345,123,123
1438565948,111,111
1438572155,112,112
1438590171,111,111
1438591981,112,112
1438595555,111,111
1438597382,112,112
1438600962,111,111
1438606408,111,111
1438608183,112,112
1438636968,110,110
1438638958,111,111
1438647747,127,127
1438653179,113,113
1438658559,114,114
1438707168,113,113
1438708963,114,114
1438734149,138,138
1438739554,116,116
1438948457,106,106
1438976367,105,105
1438992635,117,117
1438994353,118,118
1438997976,99,99
1439000022,100,100
1439002352,98,98
1439005165,97,97
1439008770,98,98
1439014186,96,96
1439019448,98,98
1439023067,99,99
1439025002,98,98
1439026762,99,99
1439028562,98,98
1439032177,98,98
1439035768,99,99
1439037531,97,97
1439039399,98,98
1439041154,97,97
1439042967,99,99
1439044737,98,98
1439055565,99,99
1439057366,98,98
1439062760,97,97
1439064562,96,96
1439068187,97,97
1439069965,98,98
1439079050,113,113
1439080764,114,114
1439082658,113,113
1439084191,105,105
1439085103,104,104
1439086862,105,105
1439090469,106,106
1439092266,105,105
1439095864,104,104
1439103092,104,104
1439106702,105,105
1439108507,104,104
1439110297,105,105
1439112110,105,105
1439113901,106,106
1439115745,105,105
1439119363,104,104
1439132879,104,104
1439138267,106,106
1439139997,105,105
1439143710,104,104
1439150922,105,105
1439154487,106,106
1439156282,104,104
1439158113,105,105
1439159876,104,104
1439161697,105,105
1439167068,122,122
1439170681,121,121
1439172567,101,101
1439174275,102,102
1439177870,103,103
1439179782,102,102
1439181474,102,102
1439183329,101,101
1439185063,102,102
1439188658,103,103
1439190517,102,102
1439193102,103,103
1439193102,103,103
1439194912,102,102
1439194912,102,102
1439194912,102,102
1439196762,102,102
1439199482,102,102
1439201400,102,102
1439204884,101,101
1439208499,102,102
1439210289,101,101
1439212046,102,102
1439213810,102,102
1439226489,103,103
1439228269,102,102
1439231868,101,101
1439238102,102,102
1439239894,101,101
1439241712,102,102
1439243498,101,101
1439245299,102,102
1439252550,113,113
1439257909,102,102
1439299525,103,103
1439339887,114,114
1439345332,99,99
1439426288,122,122
1439431815,107,107
1439512679,117,117
1439518207,103,103
1439598110,120,120
1439603499,110,110
1439648567,110,110
1439684506,130,130
1439689906,105,105
1439770925,120,120
1439772720,121,121
1439774505,122,122
1439776328,112,112
1439779910,111,111
1439839406,110,110
1439848307,111,111
1439857368,127,127
1439859094,128,128
1439862702,112,112
1439888869,113,113
1439897892,112,112
1439915867,113,113
1439924867,112,112
1439938317,113,113
1439943709,133,133
1439949192,114,114
1439950895,113,113
1439952746,114,114
1439965292,113,113
1439970703,114,114
1439977927,113,113
1440006753,114,114
1440015706,113,113
1440021104,114,114
1440030095,133,133
1440032012,132,132
1440035511,118,118
1440058960,117,117
1440069834,118,118
1440078766,117,117
1440086007,118,118
1440116535,130,130
1440121903,113,113
1440129115,114,114
1440159719,114,114
1440170518,113,113
1440181399,114,114
1440190365,113,113
1440199383,114,114
1440202917,134,134
1440208328,113,113
1440211893,112,112
1440237178,113,113
1440246199,112,112
1440256895,113,113
1440269498,112,112
1440271408,113,113
1440276782,112,112
1440280349,113,113
1440289398,132,132
1440294790,111,111
1440376650,123,123
1440382124,110,110
1440463093,135,135
1440467583,116,116
1440548500,127,127
1440553951,114,114
1440634927,126,126
1440640346,110,110
1440669165,111,111
1440669165,111,111
1440721291,127,127
1440726738,98,98
1440807720,127,127
1440813157,116,116
1440894150,126,126
1440899607,114,114
1441391904,94,94
1441412525,108,108
1441417107,109,109
1441417912,98,98
1441442288,97,97
1441450391,98,98
1441471934,97,97
1441499875,113,113
1441505288,99,99
1441511509,100,100
1441520527,99,99
1441522320,98,98
1441527713,99,99
1441531398,100,100
1441539426,99,99
1441545713,98,98
1441554695,99,99
1441574570,98,98
1441578076,99,99
1441581721,100,100
1441585312,109,109
1441590698,98,98
1441592505,97,97
1441596135,98,98
1441597950,97,97
1441601510,98,98
1441606917,97,97
1441620081,98,98
1441621291,97,97
1441625895,98,98
1441627684,97,97
1441645687,97,97
1441647466,96,96
1441652905,97,97
1441669110,96,96
1441671731,113,113
1441673519,113,113
1441675301,114,114
1441677088,102,102
1441678182,101,101
1441679893,100,100
1441681701,98,98
1441683772,99,99
1441686943,100,100
1441687724,101,101
1441689856,100,100
1441692469,101,101
1441694327,102,102
1441696063,100,100
1441697899,101,101
1441700501,101,101
1441705944,100,100
1441707731,99,99
1441711336,100,100
1441718533,99,99
1441720395,98,98
1441722155,99,99
1441725828,98,98
1441727562,99,99
1441729326,100,100
1441731131,101,101
1441732912,100,100
1441734712,101,101
1441738318,102,102
1441740107,101,101
1441741910,100,100
1441747327,99,99
1441752308,100,100
1441753893,102,102
1441755511,101,101
1441756371,100,100
1441758140,117,117
1441759988,117,117
1441761796,118,118
1441763588,108,108
1441765295,108,108
1441770706,108,108
1441772505,109,109
1441777002,108,108
1441781509,108,108
1441785087,108,108
1441786894,108,108
1441788685,109,109
1441794111,108,108
1441795883,107,107
1441797694,109,109
1441801404,109,109
1441808503,108,108
1441810290,108,108
1441812087,109,109
1441815694,108,108
1441819290,109,109
1441821063,110,110
1441822910,109,109
1441826597,108,108
1441828383,110,110
1441831904,109,109
1441835511,108,108
1441839092,109,109
1441844547,134,134
1441846351,135,135
1441849933,126,126
1441855294,125,125
1441857150,126,126
1441860732,125,125
1441866133,125,125
1441867948,126,126
1441869708,126,126
1441873402,125,125
1441874199,126,126
1441876098,125,125
1441878714,126,126
1441882282,127,127
1441885919,126,126
1441887711,127,127
1441889551,127,127
1441891421,126,126
1441894032,126,126
1441895877,127,127
1441897680,125,125
1441899480,125,125
1441903939,126,126
1441905708,126,126
1441911116,126,126
1441912884,125,125
1441914733,126,126
1441918329,127,127
1441920192,126,126
1441921036,125,125
1441923704,125,125
1441925488,126,126
1441927281,127,127
1441930917,134,134
1441934554,132,132
1441936336,115,115
1441941757,116,116
1441950723,115,115
1441964213,116,116
1441972375,115,115
1441975927,115,115
1441977737,117,117
1441993970,116,116
1442017364,129,129
1442022751,113,113
1442049722,114,114
1442066881,113,113
1442073124,114,114
1442082104,113,113
1442103773,139,139
1442109101,113,113
1442173105,115,115
1442179316,113,113
1442190122,127,127
1442195603,117,117
1442219898,118,118
1442221670,119,119
1442225282,117,117
1442257626,119,119
1442263100,117,117
1442276538,140,140
1442281986,128,128
1442321589,130,130
