DateTime,AddedIPs,RemovedIPs
1438484479,2,0
1438491689,0,2
1438493479,2,1
1438498880,1,0
1438500677,0,1
1438502478,1,0
1438507877,0,1
1438509675,1,0
1438518677,0,1
1438524082,1,0
1438525877,0,1
1438527679,0,2
1438529477,2,0
1438535776,0,1
1438537576,1,0
1438539376,1,0
1438548375,0,1
1438550176,0,1
1438553776,1,0
1438555576,1,0
1438562770,0,1
1438566370,1,0
1438569970,0,2
1438571770,2,0
1438578976,0,1
1438584370,1,0
1438589770,0,1
1438591570,0,1
1438595171,0,1
1438596970,1,0
1438602369,1,1
1438604170,2,1
1438609570,1,0
1438611371,0,2
1438623970,0,1
1438627570,1,0
1438632969,0,1
1438634770,1,0
1438665377,0,1
1438668978,1,0
1438679775,0,1
1438694176,1,0
1438695975,0,1
1438697776,1,0
1438704977,1,0
1438708576,0,1
1438710378,0,1
1438712176,3,0
1438719377,0,1
1438721177,1,0
1438733777,0,1
1438742775,1,0
1438748174,0,2
1438751777,1,1
1438753592,2,0
1438766176,0,1
1438767976,0,1
1438769777,2,1
1438771580,1,0
1438776976,0,1
1438782377,1,1
1438787777,0,1
1438789578,2,0
1438794975,0,1
1438800375,0,1
1438802177,1,0
1438803977,1,1
1438805778,1,0
1438947977,2,3
1438949776,1,0
1438951576,0,3
1438955177,1,0
1438958776,1,0
1438992976,0,1
1438994775,1,0
1439007375,0,1
1439009176,1,0
1439016377,0,1
1439018179,1,0
1439019976,0,1
1439025375,1,0
1439034377,0,1
1439039777,1,1
1439041578,1,0
1439046976,0,1
1439050576,1,0
1439052375,0,1
1439057776,1,1
1439061374,1,0
1439066775,0,1
1439070377,1,0
1439073975,0,1
1439081169,1,0
1439088369,0,1
1439090170,1,0
1439097370,0,1
1439102770,0,1
1439106371,1,0
1439108169,1,0
1439117170,0,1
1439121673,1,0
1439132475,0,1
1439134271,1,0
1439136076,0,1
1439145070,1,1
1439146871,1,0
1439152271,0,1
1439154071,1,0
1439157711,0,1
1439159472,1,1
1439161274,1,0
1439164893,0,1
1439168473,1,0
1439179275,0,1
1439181070,1,1
1439194570,1,0
1439196370,0,1
1439201772,2,0
1439203569,1,2
1439205369,0,1
1439208970,2,1
1439210770,1,0
1439214370,0,1
1439221571,0,1
1439230570,1,0
1439260277,0,2
1439274674,0,1
1439280076,1,0
1439283678,0,1
1439285474,1,0
1439287281,0,1
1439296275,1,0
1439299876,1,1
1439301705,1,0
1439305276,0,1
1439307076,1,0
1439312479,0,1
1439330493,2,0
1439334083,0,1
