DateTime,Entries,UniqueIPs
1438550176,12,12
1438553776,13,13
1438555576,14,14
1438562770,13,13
1438566370,14,14
1438569970,12,12
1438571770,14,14
1438578976,13,13
1438584370,14,14
1438589770,13,13
1438591570,12,12
1438595171,11,11
1438596970,12,12
1438602369,12,12
1438604170,13,13
1438609570,14,14
1438611371,12,12
1438623970,11,11
1438627570,12,12
1438632969,11,11
1438634770,12,12
1438665377,11,11
1438668978,12,12
1438679775,11,11
1438694176,12,12
1438695975,11,11
1438697776,12,12
1438704977,13,13
1438708576,12,12
1438710378,11,11
1438712176,14,14
1438719377,13,13
1438721177,14,14
1438733777,13,13
1438742775,14,14
1438748174,12,12
1438751777,12,12
1438753592,14,14
1438766176,13,13
1438767976,12,12
1438769777,13,13
1438771580,14,14
1438776976,13,13
1438782377,13,13
1438787777,12,12
1438789578,14,14
1438794975,13,13
1438800375,12,12
1438802177,13,13
1438803977,13,13
1438805778,14,14
1438947977,13,13
1438949776,14,14
1438951576,11,11
1438955177,12,12
1438958776,13,13
1438992976,12,12
1438994775,13,13
1439007375,12,12
1439009176,13,13
1439016377,12,12
1439018179,13,13
1439019976,12,12
1439025375,13,13
1439034377,12,12
1439039777,12,12
1439041578,13,13
1439046976,12,12
1439050576,13,13
1439052375,12,12
1439057776,12,12
1439061374,13,13
1439066775,12,12
1439070377,13,13
1439073975,12,12
1439081169,13,13
1439088369,12,12
1439090170,13,13
1439097370,12,12
1439102770,11,11
1439106371,12,12
1439108169,13,13
1439117170,12,12
1439121673,13,13
1439132475,12,12
1439134271,13,13
1439136076,12,12
1439145070,12,12
1439146871,13,13
1439152271,12,12
1439154071,13,13
1439157711,12,12
1439159472,12,12
1439161274,13,13
1439164893,12,12
1439168473,13,13
1439179275,12,12
1439181070,12,12
1439192770,12,12
1439194570,13,13
1439194570,13,13
1439194570,13,13
1439196370,12,12
1439196370,12,12
1439199971,12,12
1439201772,14,14
1439203569,13,13
1439205369,12,12
1439208970,13,13
1439210770,14,14
1439214370,13,13
1439221571,12,12
1439230570,13,13
1439238673,13,13
1439260277,11,11
1439274674,10,10
1439280076,11,11
1439283678,10,10
1439285474,11,11
1439287281,10,10
1439296275,11,11
1439299876,11,11
1439301705,12,12
1439305276,11,11
1439307076,12,12
1439312479,11,11
1439330493,13,13
1439334083,12,12
1439335876,13,13
1439353876,12,12
1439357475,13,13
1439364676,12,12
1439368275,12,12
1439370078,13,13
1439379076,12,12
1439380880,13,13
1439382677,13,13
1439384475,12,12
1439386277,13,13
1439395279,11,11
1439398877,12,12
1439404276,10,10
1439406081,11,11
1439411477,13,13
1439420477,12,12
1439422276,13,13
1439433078,12,12
1439442079,11,11
1439445707,12,12
1439449278,13,13
1439458279,12,12
1439461877,11,11
1439463680,12,12
1439472679,13,13
1439479877,12,12
1439481678,13,13
1439487077,11,11
1439494277,10,10
1439497875,11,11
1439512277,10,10
1439514083,11,11
1439519476,10,10
1439521289,9,9
1439523078,10,10
1439524880,11,11
1439532076,10,10
1439533876,10,10
1439537477,11,11
1439542877,10,10
1439546479,9,9
1439548278,11,11
1439550078,12,12
1439551878,13,13
1439555477,12,12
1439557315,12,12
1439573477,12,12
1439575277,11,11
1439578878,12,12
1439580676,13,13
1439586077,12,12
1439595077,11,11
1439600479,12,12
1439604077,13,13
1439614890,12,12
1439622079,13,13
1439623877,12,12
1439625678,13,13
1439632877,12,12
1439634678,13,13
1439636477,12,12
1439649975,13,13
1439662576,12,12
1439669778,13,13
1439675176,12,12
1439678778,11,11
1439680577,13,13
1439705772,12,12
1439709379,13,13
1439718369,12,12
1439730970,11,11
1439736369,12,12
1439738180,13,13
1439768769,13,13
1439774172,13,13
1439783171,12,12
1439786772,13,13
1439793970,12,12
