DateTime,AddedIPs,RemovedIPs
1438093103,268,81
1438180036,210,122
1438266997,485,108
1438353996,234,283
1438440867,236,147
1438527620,102,114
1438614580,96,99
1438701520,167,74
1438788502,336,91
1438948746,386,185
1439036056,302,457
1439123574,96,154
1439210184,95,78
1439297135,305,82
1439384054,189,250
1439470818,108,419
1439557773,335,520
1439644789,156,174
1439731646,101,169
1439818584,94,88
1439905555,192,119
1439992084,145,175
1440079224,125,160
1440166732,101,260
1440254221,89,267
1440341353,109,458
1440428434,118,281
1440515904,287,235
1440603386,288,335
1440690952,324,596
1440778224,188,395
1440865679,74,429
1440953152,89,221
1441041130,92,217
1441128438,79,103
1441215558,76,123
1441302861,107,286
1441390179,213,306
1441477290,98,234
1441564716,92,221
1441652086,278,217
1441739399,292,71
1441826930,234,225
1441914364,154,221
1442003310,106,192
1442090743,83,254
1442178057,90,356
1442265513,104,142
1442352717,159,102
1442440297,139,170
