DateTime,Entries,UniqueIPs
1438006574,10489,10489
1438093103,10676,10676
1438180036,10764,10764
1438266997,11141,11141
1438353996,11092,11092
1438440867,11181,11181
1438527620,11169,11169
1438614580,11166,11166
1438701520,11259,11259
1438788502,11504,11504
1438948746,11705,11705
1439036056,11550,11550
1439123574,11492,11492
1439123574,11492,11492
1439123574,11492,11492
1439123574,11492,11492
1439210184,11509,11509
1439210184,11509,11509
1439297135,11732,11732
1439384054,11671,11671
1439470818,11360,11360
1439557773,11175,11175
1439644789,11157,11157
1439644789,11157,11157
1439731646,11089,11089
1439818584,11095,11095
1439905555,11168,11168
1439992084,11138,11138
1440079224,11103,11103
1440079224,11103,11103
1440166732,10944,10944
1440254221,10766,10766
1440341353,10417,10417
1440428434,10254,10254
1440515904,10306,10306
1440603386,10259,10259
1440603386,10259,10259
1440690952,9987,9987
1440778224,9780,9780
1440865679,9425,9425
1440953152,9293,9293
1441041130,9168,9168
1441128438,9144,9144
1441215558,9097,9097
1441302861,8918,8918
1441390179,8825,8825
1441477290,8689,8689
1441564716,8560,8560
1441652086,8621,8621
1441739399,8842,8842
1441826930,8851,8851
1441914364,8784,8784
1442003310,8698,8698
1442090743,8527,8527
1442178057,8261,8261
1442265513,8223,8223
1442352717,8280,8280
