DateTime,AddedIPs,RemovedIPs
1434840868,2,0
1434927616,0,1
1435014584,0,1
1435101502,1,2
1435188454,2,3
1435275403,1,1
1435362320,0,1
1435449254,1,4
1435536006,1,4
1435622969,1,1
1435709933,2,2
1435796826,2,5
1435883783,1,2
1435970708,0,3
1436057725,0,2
1436144432,1,1
1436231708,1,3
1436318295,2,1
1436405228,5,6
1436492182,6,4
1436613819,12,6
1436700425,59,1
1436787420,96,2
1436874311,64,0
1436961253,154,2
1437048016,129,1
1437134994,136,0
1437221984,79,1
1437308832,152,0
1437395793,120,0
1437482716,118,1
1437569659,159,1
1437660990,89,2
1437748073,97,1
1437835023,72,1
1437921909,74,1
1438008851,87,0
1438095647,74,2
1438182586,11,3
1438269501,2,0
1438356431,2,3
1438617282,1,0
1438704012,1,1
1438790970,3,1
1438948750,8,3
1439036058,5,2
1439123576,0,1
1439210186,3,4
1439297137,1,13
1439384057,1,22
1439470821,2,16
1439557776,2,47
1439644791,3,43
1439731649,4,63
1439818586,4,34
1439905558,6,55
1439992086,1,81
1440079227,1,67
1440166734,4,115
1440254223,11,84
1440341355,8,103
1440428436,11,143
1440515907,8,157
1440603388,6,222
1440690954,1,439
1440778226,7,89
1440865681,6,2
1440953154,6,1
1441041132,4,0
1441128441,4,0
1441215561,3,0
1441302863,2,1
1441390181,4,2
1441477292,4,0
1441564718,3,0
1441652088,1,0
1441739401,8,2
1441826932,4,1
1441914366,4,4
1442003312,4,0
1442090745,6,1
1442178059,4,3
1442265515,3,1
1442352720,3,5
1442440299,5,1
