DateTime,Entries,UniqueIPs
1434479046,83,83
1434487692,82,82
1434580713,83,83
1434580713,83,83
1434667359,82,82
1434667359,82,82
1434840868,84,84
1434927616,83,83
1435014584,82,82
1435101502,81,81
1435188454,80,80
1435275403,80,80
1435362320,79,79
1435449254,76,76
1435536006,73,73
1435622969,73,73
1435709933,73,73
1435796826,70,70
1435883783,69,69
1435970708,66,66
1436057725,64,64
1436144432,64,64
1436231708,62,62
1436318295,63,63
1436405228,62,62
1436492182,64,64
1436613819,70,70
1436700425,128,128
1436787420,222,222
1436874311,286,286
1436961253,438,438
1437048016,566,566
1437134994,702,702
1437221984,780,780
1437308832,932,932
1437395793,1052,1052
1437482716,1169,1169
1437569659,1327,1327
1437660990,1414,1414
1437748073,1510,1510
1437835023,1581,1581
1437921909,1654,1654
1438008851,1741,1741
1438095647,1813,1813
1438182586,1821,1821
1438269501,1823,1823
1438356431,1822,1822
1438617282,1823,1823
1438704012,1823,1823
1438790970,1825,1825
1438948750,1830,1830
1439036058,1833,1833
1439123576,1832,1832
1439123576,1832,1832
1439123576,1832,1832
1439123576,1832,1832
1439210186,1831,1831
1439210186,1831,1831
1439297137,1819,1819
1439384057,1798,1798
1439470821,1784,1784
1439557776,1739,1739
1439644791,1699,1699
1439644791,1699,1699
1439731649,1640,1640
1439818586,1610,1610
1439905558,1561,1561
1439992086,1481,1481
1440079227,1415,1415
1440079227,1415,1415
1440166734,1304,1304
1440254223,1231,1231
1440341355,1136,1136
1440428436,1004,1004
1440515907,855,855
1440603388,639,639
1440603388,639,639
1440690954,201,201
1440778226,119,119
1440865681,123,123
1440953154,128,128
1441041132,132,132
1441128441,136,136
1441215561,139,139
1441302863,140,140
1441390181,142,142
1441477292,146,146
1441564718,149,149
1441652088,150,150
1441739401,156,156
1441826932,159,159
1441914366,159,159
1442003312,163,163
1442090745,168,168
1442178059,169,169
1442265515,171,171
1442352720,169,169
1442440299,173,173
