DateTime,AddedIPs,RemovedIPs
1434753929,1,3
1434840869,1,3
1434927617,1,1
1435014586,1,13
1435101503,1,3
1435188455,2,0
1435275404,0,1
1435362321,2,2
1435449255,0,2
1435622970,2,1
1435709934,0,1
1435796827,0,1
1435883784,1,2
1435970709,2,1
1436057726,1,0
1436144433,1,0
1436231709,0,2
1436318296,1,6
1436405230,2,2
1436492183,1,0
1436613821,1,0
1436700426,4,1
1436787422,1,1
1436874312,1,1
1436961254,1,0
1437048017,1,0
1437134995,1,2
1437221985,3,1
1437308833,0,1
1437395794,3,3
1437482717,3,0
1437748074,3,1
1437835024,5,2
1437921910,4,0
1438095648,0,1
1438182587,6,2
1438269502,0,1
1438356433,2,1
1438443390,1,1
1438530325,3,1
1438617283,3,2
1438704013,0,2
1438790971,0,1
1438948751,3,0
1439036059,2,1
1439123577,1,2
1439210187,2,2
1439384058,0,1
1439470822,0,2
1439557777,0,2
1439644792,1,3
1439731650,2,2
1439818587,1,1
1439905559,2,0
1439992087,0,4
1440079228,2,1
1440166735,5,1
1440341356,3,2
1440428437,1,1
1440515908,1,4
1440603389,0,0
1440690955,0,1
1440778227,1,9
1440865682,3,2
1440953155,0,1
1441041133,3,1
1441128442,0,4
1441215562,1,1
1441302865,3,1
1441390182,0,1
1441477293,2,0
1441564718,2,0
1441739402,4,0
1441826933,2,0
1442003313,2,0
1442090745,0,1
1442265516,1,1
1442352721,1,1
1442440300,2,1
