DateTime,Entries,UniqueIPs
1434479047,76,76
1434580713,76,76
1434580713,76,76
1434667360,76,76
1434667360,76,76
1434753929,74,74
1434840869,72,72
1434927617,72,72
1435014586,60,60
1435101503,58,58
1435188455,60,60
1435275404,59,59
1435362321,59,59
1435449255,57,57
1435622970,58,58
1435709934,57,57
1435796827,56,56
1435883784,55,55
1435970709,56,56
1436057726,57,57
1436144433,58,58
1436231709,56,56
1436318296,51,51
1436405230,51,51
1436492183,52,52
1436613821,53,53
1436700426,56,56
1436787422,56,56
1436874312,56,56
1436961254,57,57
1437048017,58,58
1437134995,57,57
1437221985,59,59
1437308833,58,58
1437395794,58,58
1437482717,61,61
1437748074,63,63
1437835024,66,66
1437921910,70,70
1438095648,69,69
1438182587,73,73
1438269502,72,72
1438356433,73,73
1438443390,73,73
1438530325,75,75
1438617283,76,76
1438704013,74,74
1438790971,73,73
1438948751,76,76
1439036059,77,77
1439123577,76,76
1439123577,76,76
1439123577,76,76
1439123577,76,76
1439210187,76,76
1439210187,76,76
1439384058,75,75
1439470822,73,73
1439557777,71,71
1439644792,69,69
1439644792,69,69
1439731650,69,69
1439818587,69,69
1439905559,71,71
1439992087,67,67
1440079228,68,68
1440079228,68,68
1440166735,72,72
1440341356,73,73
1440428437,73,73
1440515908,70,70
1440603389,70,70
1440690955,69,69
1440778227,61,61
1440865682,62,62
1440953155,61,61
1441041133,63,63
1441128442,59,59
1441215562,59,59
1441302865,61,61
1441390182,60,60
1441477293,62,62
1441564718,64,64
1441739402,68,68
1441826933,70,70
1442003313,72,72
1442090745,71,71
1442265516,71,71
1442352721,71,71
1442440300,72,72
