DateTime,AddedIPs,RemovedIPs
1434753930,15,8
1434840870,3,6
1434927618,4,5
1435014588,6,9
1435101504,10,4
1435188456,5,8
1435275405,28,2
1435362322,38,2
1435449256,25,6
1435536008,9,7
1435622971,7,12
1435709935,16,8
1435796828,4,12
1435883785,24,11
1435970710,16,9
1436057727,23,9
1436144434,8,11
1436231710,12,19
1436318297,5,54
1436405231,9,40
1436492184,9,7
1436613822,57,27
1436700427,12,7
1436787423,2,8
1436874313,8,6
1436961257,11,12
1437048018,10,14
1437134996,10,24
1437221986,15,43
1437308834,15,23
1437395795,36,9
1437482718,24,6
1437569661,11,7
1437660992,24,9
1437748075,43,6
1437835025,12,11
1437921911,11,18
1438008853,5,12
1438095649,7,12
1438182589,32,9
1438269503,15,14
1438356434,13,13
1438443391,16,20
1438530326,11,28
1438617284,6,26
1438704014,13,10
1438790972,17,6
1438948752,20,23
1439036060,8,8
1439123578,1,9
1439210188,13,41
1439297139,7,8
1439384059,13,3
1439470823,12,7
1439557778,9,10
1439644793,9,7
1439731651,17,8
1439818588,13,9
1439905560,16,7
1439992088,10,21
1440079229,21,22
1440166736,9,9
1440254225,19,43
1440341357,26,48
1440428438,14,8
1440515909,18,5
1440603390,14,8
1440690956,22,15
1440778228,34,100
1440865683,9,9
1440953156,10,12
1441041134,10,18
1441128443,11,11
1441215563,13,5
1441302866,12,15
1441390182,24,12
1441477294,27,4
1441564719,20,12
1441652090,16,4
1441739403,17,8
1441826934,16,10
1441914368,22,9
1442003314,23,10
1442090746,9,6
1442178060,7,9
1442265517,24,6
1442352722,30,3
