DateTime,Entries,UniqueIPs
1434479287,570,570
1434481582,572,572
1434483730,573,573
1434488047,572,572
1434580714,600,600
1434580714,600,600
1434667361,585,585
1434667361,585,585
1434753930,592,592
1434840870,589,589
1434927618,588,588
1435014588,585,585
1435101504,591,591
1435188456,588,588
1435275405,614,614
1435362322,650,650
1435449256,669,669
1435536008,671,671
1435622971,666,666
1435709935,674,674
1435796828,666,666
1435883785,679,679
1435970710,686,686
1436057727,700,700
1436144434,697,697
1436231710,690,690
1436318297,641,641
1436405231,610,610
1436492184,612,612
1436613822,642,642
1436700427,647,647
1436787423,641,641
1436874313,643,643
1436961257,642,642
1437048018,638,638
1437134996,624,624
1437221986,596,596
1437308834,588,588
1437395795,615,615
1437482718,633,633
1437569661,637,637
1437660992,652,652
1437748075,689,689
1437835025,690,690
1437921911,683,683
1438008853,676,676
1438095649,671,671
1438182589,694,694
1438269503,695,695
1438356434,695,695
1438443391,691,691
1438530326,674,674
1438617284,654,654
1438704014,657,657
1438790972,668,668
1438948752,665,665
1439036060,665,665
1439123578,657,657
1439123578,657,657
1439123578,657,657
1439123578,657,657
1439210188,629,629
1439210188,629,629
1439297139,628,628
1439384059,638,638
1439470823,643,643
1439557778,642,642
1439644793,644,644
1439644793,644,644
1439731651,653,653
1439818588,657,657
1439905560,666,666
1439992088,655,655
1440079229,654,654
1440079229,654,654
1440166736,654,654
1440254225,630,630
1440341357,608,608
1440428438,614,614
1440515909,627,627
1440603390,633,633
1440603390,633,633
1440690956,640,640
1440778228,574,574
1440865683,574,574
1440953156,572,572
1441041134,564,564
1441128443,564,564
1441215563,572,572
1441302866,569,569
1441390182,581,581
1441477294,604,604
1441564719,612,612
1441652090,624,624
1441739403,633,633
1441826934,639,639
1441914368,652,652
1442003314,665,665
1442090746,668,668
1442178060,666,666
1442265517,684,684
1442352722,711,711
