DateTime,AddedIPs,RemovedIPs
1434753933,300,89
1434840872,159,81
1434927621,60,120
1435014591,146,134
1435101506,290,154
1435188458,190,92
1435275407,83,111
1435362324,65,159
1435449258,60,253
1435536010,82,82
1435622974,98,95
1435709937,77,70
1435796830,228,102
1435883787,136,415
1435970712,97,510
1436057729,63,203
1436144436,63,62
1436231712,40,74
1436318299,68,107
1436405233,299,110
1436492186,214,268
1436613825,85,182
1436700429,67,86
1436787425,183,929
1436874315,520,268
1436961260,319,138
1437048020,250,113
1437134998,129,67
1437221988,42,160
1437308836,53,408
1437395797,77,444
1437482720,105,74
1437569663,61,110
1437660995,112,493
1437748079,374,274
1437835028,133,186
1437921914,83,55
1438008856,120,57
1438095652,183,62
1438182592,211,119
1438269506,418,85
1438356437,212,269
1438443395,220,123
1438530328,88,76
1438617287,84,73
1438704017,183,60
1438790975,299,83
1438948755,342,155
1439036063,287,445
1439123582,96,143
1439210192,75,30
1439297143,292,60
1439384063,175,224
1439470827,95,392
1439557782,322,462
1439644797,145,121
1439731655,79,98
1439818592,75,44
1439905563,168,57
1439992091,134,68
1440079232,99,68
1440166740,82,66
1440254228,59,139
1440341360,72,309
1440428441,91,129
1440515912,260,68
1440603393,267,104
1440690960,301,141
1440778232,146,198
1440865686,57,416
1440953159,73,209
1441041136,76,197
1441128446,64,86
1441215566,60,117
1441302872,89,270
1441390185,185,292
1441477297,65,230
1441564722,68,209
1441652093,260,214
1441739406,263,61
1441826937,211,215
1441914371,125,208
1442003317,79,182
1442090749,69,246
1442178063,78,345
1442265520,76,135
1442352726,128,91
