DateTime,AddedIPs,RemovedIPs
1434840874,1,1
1434927622,0,2
1435014591,2,2
1435101507,1,2
1435188459,3,1
1435275408,1,1
1435362325,2,0
1435536011,3,1
1435622975,1,1
1435709938,2,0
1435796831,1,0
1435883788,1,1
1436144437,1,1
1436231713,1,4
1436318300,3,0
1436405234,3,0
1436492187,1,1
1436613827,2,1
1436700430,2,0
1436874316,1,0
1436961261,1,0
1437221989,0,1
1437395798,1,0
1437482722,2,0
1437569664,0,1
1437660996,0,1
1437748080,0,1
1437835030,0,1
1437921915,1,0
1438095654,0,5
1438182593,0,1
1438269507,2,3
1438356438,0,1
1438443396,1,1
1438530329,1,2
1438617288,3,0
1438790976,0,2
1438948757,1,3
1439036064,1,1
1439210194,3,2
1439297144,6,2
1439470828,0,2
1439557783,2,0
1439644798,1,0
1439818593,1,1
1439992092,0,1
1440079233,2,2
1440166741,1,0
1440254229,1,0
1440341362,1,0
1440428442,2,0
1440515913,0,2
1440603394,1,1
1440778233,1,0
1440865687,0,1
1441041137,0,1
1441128447,0,2
1441215567,0,1
1441302873,2,1
1441390186,1,1
1441477298,1,0
1441564723,1,2
1441652094,1,0
1441739407,3,0
1441826938,1,0
1441914372,3,0
1442090750,1,0
1442178064,1,0
1442352727,0,2
