DateTime,Entries,UniqueIPs
1434479288,22,22
1434580718,22,22
1434667365,23,23
1434667365,23,23
1434840874,23,23
1434927622,21,21
1435014591,21,21
1435101507,20,20
1435188459,22,22
1435275408,22,22
1435362325,24,24
1435536011,26,26
1435622975,26,26
1435709938,28,28
1435796831,29,29
1435883788,29,29
1436144437,29,29
1436231713,26,26
1436318300,29,29
1436405234,32,32
1436492187,32,32
1436613827,33,33
1436700430,35,35
1436874316,36,36
1436961261,37,37
1437221989,36,36
1437395798,37,37
1437482722,39,39
1437569664,38,38
1437660996,37,37
1437748080,36,36
1437835030,35,35
1437921915,36,36
1438095654,31,31
1438182593,30,30
1438269507,29,29
1438356438,28,28
1438443396,28,28
1438530329,27,27
1438617288,30,30
1438790976,28,28
1438948757,26,26
1439036064,26,26
1439123583,26,26
1439123583,26,26
1439123583,26,26
1439210194,27,27
1439210194,27,27
1439297144,31,31
1439470828,29,29
1439557783,31,31
1439644798,32,32
1439644798,32,32
1439818593,32,32
1439992092,31,31
1440079233,31,31
1440079233,31,31
1440166741,32,32
1440254229,33,33
1440341362,34,34
1440428442,36,36
1440515913,34,34
1440603394,34,34
1440603394,34,34
1440778233,35,35
1440865687,34,34
1441041137,33,33
1441128447,31,31
1441215567,30,30
1441302873,31,31
1441390186,31,31
1441477298,32,32
1441564723,31,31
1441652094,32,32
1441739407,35,35
1441826938,36,36
1441914372,39,39
1442090750,40,40
1442178064,41,41
1442352727,39,39
