DateTime,Entries,UniqueIPs
1441692567,1751,1751
1441693658,1749,1749
1441694283,1746,1746
1441695269,1745,1745
1441696219,1743,1743
1441697247,1742,1742
1441698391,1741,1741
1441699227,1738,1738
1441700362,1736,1736
1441702530,1735,1735
1441703374,1734,1734
1441705543,1734,1734
1441707509,1733,1733
1441708647,1733,1733
1441709667,1729,1729
1441710588,1729,1729
1441711661,1727,1727
1441712789,1728,1728
1441713639,1727,1727
1441714731,1728,1728
1441715824,1174,1174
1441716924,1170,1170
1441719945,1171,1171
1441721911,1170,1170
1441724983,1169,1169
1441725740,1170,1170
1441726647,1168,1168
1441727478,1167,1167
1441728130,1168,1168
1441729220,1167,1167
1441732237,1166,1166
1441733277,1165,1165
1441734536,1165,1165
1441736376,1164,1164
1441737436,1165,1165
1441738499,1164,1164
1441740513,1164,1164
1441742452,1161,1161
1441744898,1159,1159
1441747195,1158,1158
1441747874,1157,1157
1441750258,1155,1155
1441752875,1156,1156
1441753766,1157,1157
1441754866,1158,1158
1441756909,1157,1157
1441757933,1156,1156
1441759068,1155,1155
1441760085,1156,1156
1441762074,1157,1157
1441765181,1156,1156
1441766195,1155,1155
1441768178,1156,1156
1441769325,1156,1156
1441770345,1157,1157
1441771252,1156,1156
1441773459,1153,1153
1441774467,1152,1152
1441775380,1151,1151
1441776458,1150,1150
1441779523,1148,1148
1441782023,1147,1147
1441784188,1145,1145
1441785639,1146,1146
1441786738,1147,1147
1441788866,1148,1148
1441789786,1147,1147
1441792011,1146,1146
1441794997,1147,1147
1441800046,1146,1146
1441801164,1144,1144
1441804188,1141,1141
1441805251,1142,1142
1441806421,1139,1139
1441807224,1140,1140
1441808334,1140,1140
1441809386,1141,1141
1441810517,1140,1140
1441812469,1139,1139
1441814447,1138,1138
1441815514,1137,1137
1441816661,1134,1134
1441817663,1133,1133
1441818584,1135,1135
1441819648,1136,1136
1441820475,1134,1134
1441821279,1135,1135
1441822158,1134,1134
1441823820,1135,1135
