DateTime,Entries,UniqueIPs
1441216456,20381,20381
1441217412,20395,20395
1441218446,20404,20404
1441219523,20392,20392
1441220169,20376,20376
1441221008,20411,20411
1441222069,20389,20389
1441223126,20412,20412
1441224050,20374,20374
1441225112,20392,20392
1441226305,20401,20401
1441227258,20397,20397
1441228210,20390,20390
1441229243,20375,20375
1441230406,20324,20324
1441231219,20337,20337
1441232363,20307,20307
1441233388,20317,20317
1441234531,20288,20288
1441235365,20299,20299
1441236499,20288,20288
1441237537,20281,20281
1441238455,20248,20248
1441239504,20265,20265
1441240370,20256,20256
1441241127,20244,20244
1441242019,20240,20240
1441243106,20249,20249
1441244179,20255,20255
1441244801,20245,20245
1441245723,20231,20231
1441246733,20233,20233
1441247782,20248,20248
1441248940,20219,20219
1441249775,20228,20228
1441250861,20227,20227
1441251927,20224,20224
1441252850,20207,20207
1441253952,20204,20204
1441255056,20210,20210
1441256102,20223,20223
1441257014,20210,20210
1441258046,20224,20224
1441259204,20206,20206
1441260017,20220,20220
1441261128,20211,20211
1441262183,20229,20229
1441263330,20203,20203
1441264162,20215,20215
1441265261,20201,20201
1441266324,20220,20220
1441267254,20215,20215
1441268300,20230,20230
1441269458,20225,20225
1441270461,20247,20247
1441271409,20237,20237
1441272436,20255,20255
1441273599,20247,20247
1441274425,20251,20251
1441275535,20244,20244
1441276581,20257,20257
1441277734,20246,20246
1441278565,20254,20254
1441279707,20230,20230
1441280727,20244,20244
1441281794,20224,20224
1441282731,20234,20234
1441283877,20220,20220
1441284864,20234,20234
1441285846,20221,20221
1441286847,20242,20242
1441287958,20229,20229
1441288829,20243,20243
1441289979,20234,20234
1441290984,20224,20224
1441292090,20230,20230
1441292963,20218,20218
1441294111,20224,20224
1441295131,20215,20215
1441296059,20209,20209
1441297104,20198,20198
1441298262,20217,20217
1441299263,20215,20215
1441300202,20210,20210
1441301239,20201,20201
1441302417,20202,20202
1441303232,20206,20206
1441304361,20215,20215
1441305384,20221,20221
1441306484,20231,20231
1441307367,20223,20223
1441308548,20227,20227
1441309542,20219,20219
1441310458,20232,20232
1441311517,20231,20231
1441312660,20216,20216
1441313683,20201,20201
1441314605,20194,20194
1441315642,20176,20176
1441316799,20179,20179
1441317647,20170,20170
1441318732,20184,20184
1441319784,20174,20174
1441320933,20157,20157
1441321771,20172,20172
1441322869,20141,20141
1441324142,20148,20148
1441324863,20136,20136
1441325907,20150,20150
1441327064,20136,20136
1441328068,20135,20135
1441329013,20141,20141
1441330039,20157,20157
1441331200,20117,20117
1441332164,20132,20132
1441333189,20139,20139
1441334180,20129,20129
1441335329,20134,20134
1441336162,20110,20110
1441337299,20109,20109
1441338323,20106,20106
1441339254,20109,20109
1441340301,20112,20112
1441341465,20105,20105
1441342455,20090,20090
1441343397,20092,20092
1441344448,20097,20097
1441345607,20102,20102
1441346417,20103,20103
1441347535,20090,20090
1441348579,20088,20088
1441349744,20100,20100
1441350559,20091,20091
1441351662,20087,20087
1441352721,20088,20088
1441353661,20088,20088
1441354744,20086,20086
1441355873,20080,20080
1441356852,20085,20085
1441357804,20087,20087
1441358830,20082,20082
1441359998,20089,20089
1441360821,20092,20092
1441361933,20096,20096
1441362976,20087,20087
1441364129,20097,20097
1441364957,20090,20090
1441366144,20086,20086
1441367208,20082,20082
1441368092,20084,20084
1441369136,20093,20093
1441370263,20090,20090
1441371261,20080,20080
1441372197,20093,20093
1441373236,20094,20094
1441374404,20095,20095
1441375228,20096,20096
1441376324,20098,20098
1441377379,20103,20103
1441378532,20104,20104
1441379363,20094,20094
1441380463,20099,20099
1441381522,20087,20087
1441382462,20091,20091
1441383501,20093,20093
1441384678,20074,20074
1441385652,20074,20074
1441386603,20062,20062
1441387641,20049,20049
1441388803,20053,20053
1441389677,20048,20048
1441390756,20037,20037
1441391796,20030,20030
1441392577,20022,20022
1441393220,20034,20034
1441394308,20043,20043
1441394959,20035,20035
1441395932,20035,20035
1441396858,20021,20021
1441398690,20008,20008
1441399336,20021,20021
1441400241,20015,20015
1441400986,19994,19994
1441402052,19983,19983
1441403186,19991,19991
1441404028,19981,19981
1441405332,19973,19973
1441406245,19953,19953
1441407286,19960,19960
1441408167,19960,19960
1441409270,19964,19964
1441409890,19960,19960
1441410864,19973,19973
1441411792,19949,19949
1441412849,19973,19973
1441413778,19953,19953
1441417211,19914,19914
1441418063,19928,19928
1441418984,19918,19918
1441420054,19925,19925
1441421172,19675,19675
1441422030,19679,19679
1441423185,19646,19646
1441424272,19653,19653
1441426050,19659,19659
1441427419,19647,19647
1441428455,19650,19650
1441429248,19661,19661
1441430411,19646,19646
1441431471,19661,19661
1441432605,19638,19638
1441433631,19637,19637
1441435312,19648,19648
1441436215,19661,19661
1441437167,19668,19668
1441438078,19660,19660
1441438727,19661,19661
1441439923,19650,19650
1441441309,19640,19640
1441442405,19640,19640
1441443262,19642,19642
1441444256,19643,19643
1441445249,19648,19648
1441446387,19649,19649
1441447226,19650,19650
1441448397,19658,19658
1441449392,19654,19654
1441450479,19659,19659
1441451364,19653,19653
1441452523,19658,19658
1441453546,19654,19654
1441454458,19657,19657
1441455581,19663,19663
1441456680,19658,19658
1441457681,19662,19662
1441458591,19666,19666
1441459647,19665,19665
1441460820,19677,19677
1441461626,19670,19670
1441462763,19689,19689
1441463796,19687,19687
1441464944,19685,19685
1441465776,19681,19681
1441466873,19689,19689
1441467951,19689,19689
1441468862,19688,19688
1441469915,19697,19697
1441471077,19697,19697
1441472108,19709,19709
1441473038,19697,19697
1441474046,19687,19687
1441475228,19682,19682
1441476053,19677,19677
1441477276,19695,19695
1441478211,19703,19703
1441478823,19687,19687
1441479556,19702,19702
1441480702,19711,19711
1441481418,19692,19692
1441482056,19706,19706
1441483058,19695,19695
1441483961,19685,19685
1441484635,19668,19668
1441485797,19670,19670
1441486659,19662,19662
1441487606,19660,19660
1441489365,19658,19658
1441490042,19655,19655
1441490814,19638,19638
1441491816,19631,19631
1441492930,19637,19637
1441493680,19639,19639
1441494600,19628,19628
1441495250,19621,19621
1441496498,19624,19624
1441497518,19625,19625
1441498381,19620,19620
1441499061,19631,19631
1441499770,19608,19608
1441500586,19604,19604
1441501332,19600,19600
1441501968,19606,19606
1441503125,19601,19601
1441504525,19591,19591
1441505342,19602,19602
1441506117,19590,19590
1441507185,19580,19580
1441508076,19584,19584
1441509041,19573,19573
1441510212,19579,19579
1441511229,19581,19581
1441512185,19581,19581
1441513186,19582,19582
1441514238,19590,19590
1441515319,19593,19593
1441516168,19591,19591
1441516811,19592,19592
1441517818,19606,19606
1441518918,19590,19590
1441519809,19583,19583
1441520937,19588,19588
1441521947,19598,19598
1441522925,19592,19592
1441523981,19592,19592
1441525118,19593,19593
1441526063,19598,19598
1441527000,19594,19594
1441528055,19590,19590
1441529229,19598,19598
1441530025,19602,19602
1441531138,19594,19594
1441532190,19596,19596
1441533331,19600,19600
1441534164,19608,19608
1441535268,19606,19606
1441536341,19627,19627
1441537262,19602,19602
1441538316,19623,19623
1441539588,19631,19631
1441540492,19629,19629
1441541366,19641,19641
1441542450,19634,19634
1441543540,19636,19636
1441544419,19652,19652
1441545517,19652,19652
1441546588,19651,19651
1441547667,19658,19658
1441548567,19663,19663
1441549642,19661,19661
1441550277,19655,19655
1441551260,19668,19668
1441552199,19654,19654
1441553267,19657,19657
1441554425,19661,19661
1441555231,19673,19673
1441556336,19666,19666
1441557408,19664,19664
1441558539,19668,19668
1441559384,19658,19658
1441560656,19665,19665
1441561556,19668,19668
1441562470,19654,19654
1441563524,19647,19647
1441564698,19649,19649
1441565667,19643,19643
1441566590,19646,19646
1441567653,19640,19640
1441568836,19626,19626
1441569635,19624,19624
1441570736,19617,19617
1441571801,19615,19615
1441572469,19615,19615
1441573369,19604,19604
1441574342,19585,19585
1441575474,19579,19579
1441576142,19593,19593
1441576879,19593,19593
1441578094,19557,19557
1441579007,19569,19569
1441580075,19563,19563
1441581013,19557,19557
1441582047,19578,19578
1441583182,19550,19550
1441584036,19564,19564
1441585145,19543,19543
1441586302,19480,19480
1441587318,19497,19497
1441588196,19505,19505
1441589336,19512,19512
1441589988,19523,19523
1441590891,19531,19531
1441591805,19478,19478
1441592513,19489,19489
1441593629,19502,19502
1441594613,19515,19515
1441595465,19531,19531
1441596098,19479,19479
1441597169,19497,19497
1441597831,19503,19503
1441598600,19509,19509
1441599770,19511,19511
1441600748,19505,19505
1441601781,19504,19504
1441602592,19497,19497
1441603229,19481,19481
1441604288,19481,19481
1441605315,19481,19481
1441606183,19472,19472
1441607266,19489,19489
1441607981,19478,19478
1441608868,19484,19484
1441609785,19481,19481
1441610847,19481,19481
1441611951,19475,19475
1441612826,19472,19472
1441613954,19473,19473
1441614992,19475,19475
1441616079,19480,19480
1441616963,19481,19481
1441618063,19492,19492
1441619139,19497,19497
1441620049,19501,19501
1441621124,19505,19505
1441622205,19511,19511
1441623265,19499,19499
1441624187,19501,19501
1441625251,19491,19491
1441626358,19484,19484
1441627233,19480,19480
1441628433,19490,19490
1441629421,19468,19468
1441630509,19463,19463
1441631366,19463,19463
1441632470,19444,19444
1441633544,19439,19439
1441634454,19434,19434
1441635510,19430,19430
1441636607,19435,19435
1441637683,19444,19444
1441638577,19437,19437
1441639644,19440,19440
1441640749,19441,19441
1441641629,19431,19431
1441642723,19444,19444
1441645862,19456,19456
1441646467,19457,19457
1441647387,19442,19442
1441648065,19438,19438
1441649946,19445,19445
1441651129,19415,19415
1441652071,19405,19405
1441652995,19417,19417
1441654052,19408,19408
1441655194,19400,19400
1441656036,19393,19393
1441657124,19401,19401
1441658200,19411,19411
1441659341,19373,19373
1441660183,19382,19382
1441661290,19354,19354
1441662353,19374,19374
1441663258,19355,19355
1441664345,19356,19356
1441665608,19361,19361
1441666322,19375,19375
1441667135,19388,19388
1441668142,19409,19409
1441669002,19423,19423
1441670061,19438,19438
1441670985,19450,19450
1441672060,19468,19468
1441673142,19326,19326
1441674039,19327,19327
1441675131,19327,19327
1441676202,19315,19315
1441677280,19308,19308
1441678243,19300,19300
1441678995,19310,19310
1441679862,19303,19303
1441680872,19308,19308
1441681785,19312,19312
1441682848,19309,19309
1441683994,19305,19305
1441684846,19306,19306
1441685921,19298,19298
1441686998,19309,19309
1441687607,19294,19294
1441688453,19299,19299
1441689520,19301,19301
1441690595,19296,19296
1441691670,19297,19297
1441692572,19288,19288
1441693663,19296,19296
1441694288,19294,19294
1441695274,19294,19294
1441696224,19292,19292
1441697252,19278,19278
1441698396,19280,19280
1441699232,19290,19290
1441700367,19281,19281
1441701400,19303,19303
1441702535,19297,19297
1441703380,19315,19315
1441704460,19302,19302
1441705548,19307,19307
1441706444,19300,19300
1441707514,19309,19309
1441708652,19300,19300
1441709672,19301,19301
1441714181,19235,19235
1441715249,19219,19219
1441716337,19239,19239
1441717224,19244,19244
1441718371,19252,19252
1441719403,19272,19272
1441720473,19281,19281
1441721380,19268,19268
1441722460,19276,19276
1441723528,19293,19293
1441724429,19294,19294
