DateTime,Entries,UniqueIPs
1441820482,5516,5516
1441821284,5502,5502
1441822165,5510,5510
1441822771,5501,5501
1441823825,5489,5489
1441824882,5486,5486
1441825796,5483,5483
1441826915,5528,5528
1441827881,5482,5482
1441828852,5483,5483
1441830032,5469,5469
1441831062,5464,5464
1441832073,5465,5465
1441832986,5458,5458
1441834059,5458,5458
1441835221,5454,5454
1441836046,5444,5444
1441837157,5420,5420
1441838195,5387,5387
1441839337,5376,5376
1441840174,5356,5356
1441841432,5331,5331
1441842347,5311,5311
1441843244,5310,5310
1441844314,5329,5329
1441845507,5332,5332
1441846479,5316,5316
1441847396,5333,5333
1441848466,5300,5300
1441849639,5284,5284
1441850504,5279,5279
1441851539,5265,5265
1441852639,5254,5254
1441853745,5258,5258
1441854616,5256,5256
1441855707,5234,5234
1441856753,5221,5221
1441857699,5217,5217
1441858761,5207,5207
1441859916,5198,5198
1441860914,5201,5201
1441861782,5203,5203
1441862851,5186,5186
1441864008,5178,5178
1441864836,5194,5194
1441865937,5184,5184
1441867021,5187,5187
1441868125,5185,5185
1441868978,5193,5193
1441870063,5183,5183
1441871139,5142,5142
1441872041,5166,5166
1441873114,5171,5171
1441874261,5179,5179
1441875263,5197,5197
1441876198,5183,5183
1441877245,5194,5194
1441878390,5190,5190
1441879238,5207,5207
1441880333,5226,5226
1441881396,5254,5254
1441882538,5256,5256
1441883367,5269,5269
1441884463,5253,5253
1441885552,5250,5250
1441886450,5234,5234
1441887536,5250,5250
1441888725,5240,5240
1441889674,5245,5245
1441890593,5221,5221
1441891655,5244,5244
1441892798,5244,5244
1441893641,5187,5187
1441894749,5233,5233
1441895804,5211,5211
1441896928,5019,5019
1441897819,5161,5161
1441898870,5003,5003
1441899943,4931,4931
1441900854,5185,5185
1441901924,5171,5171
1441902590,5154,5154
1441903553,5170,5170
1441904434,5178,5178
1441905522,5207,5207
1441906600,5267,5267
1441907203,5267,5267
1441908044,5311,5311
1441909158,5290,5290
1441910238,5302,5302
1441911332,5288,5288
1441912193,5312,5312
1441913267,5326,5326
1441914345,5323,5323
1441915254,5320,5320
1441916321,5314,5314
1441917462,5313,5313
1441918631,5295,5295
1441919382,5291,5291
1441920456,5203,5203
1441921619,5070,5070
1441922442,5157,5157
1441923722,5182,5182
1441924603,5217,5217
1441925730,5230,5230
1441926576,5199,5199
1441927679,5209,5209
1441928748,5206,5206
1441929646,5192,5192
1441930782,5192,5192
1441931891,4719,4719
1441932879,5091,5091
1441933790,5146,5146
1441934872,5175,5175
1441936005,5145,5145
1441936843,5181,5181
1441937941,5124,5124
1441938996,5120,5120
1441940138,5094,5094
1441940972,5061,5061
1441942069,5045,5045
1441943135,5031,5031
1441944045,5014,5014
1441945115,4967,4967
1441946261,4959,4959
1441947295,4955,4955
1441948187,4970,4970
1441949266,4962,4962
1441950391,4956,4956
1441951240,4952,4952
1441952324,4948,4948
1441953423,4941,4941
1441954532,4952,4952
1441955380,4945,4945
1441956463,4923,4923
1441957539,4951,4951
1441958448,4932,4932
1441959542,4966,4966
1441960662,4975,4975
1441961663,4966,4966
1441962582,4978,4978
1441963667,4999,4999
1441964814,5006,5006
1441965639,5007,5007
1441966723,5023,5023
1441967797,5038,5038
1441968924,5050,5050
1441969770,5084,5084
1441970866,5074,5074
1441971940,5110,5110
1441972843,5105,5105
1441973940,5084,5084
1441975032,5105,5105
1441976075,5135,5135
1441976987,5144,5144
1441978066,5149,5149
1441979150,5172,5172
1441980046,5175,5175
1441981126,5186,5186
1441982193,5169,5169
1441983359,5178,5178
1441984175,5189,5189
1441985272,5166,5166
1441986341,5164,5164
1441987249,5176,5176
1441988320,5167,5167
1441989464,5158,5158
1441990479,5191,5191
1441991384,5206,5206
1441992476,5203,5203
1441993626,5234,5234
1441994446,5239,5239
1441995637,5254,5254
1441996650,5237,5237
1441997730,5257,5257
1442003286,5245,5245
1442004329,5237,5237
1442005287,5224,5224
1442006360,5245,5245
1442007506,5238,5238
1442008500,5200,5200
1442009435,5180,5180
1442010540,5160,5160
1442011628,5145,5145
1442012422,5137,5137
1442013630,5144,5144
1442014622,5132,5132
1442015746,5123,5123
1442016575,5107,5107
1442017236,5115,5115
1442018310,5092,5092
1442019299,5104,5104
1442020170,5076,5076
1442021296,5013,5013
1442022331,5038,5038
1442023281,5073,5073
1442024391,5062,5062
1442025554,5062,5062
1442026834,5077,5077
1442027998,5060,5060
1442029279,5056,5056
1442030104,5070,5070
1442031258,5075,5075
1442032924,5087,5087
1442034449,5036,5036
1442035807,5044,5044
1442037085,5037,5037
1442038329,5037,5037
1442039513,5049,5049
1442040604,5055,5055
1442041989,5051,5051
1442043488,5077,5077
1442044942,5101,5101
1442046054,5101,5101
1442047056,5101,5101
1442048065,5111,5111
1442048988,5111,5111
1442050056,5129,5129
1442051214,5162,5162
1442052024,5154,5154
1442053120,5151,5151
1442054202,5138,5138
1442055329,5020,5020
1442056172,5072,5072
1442057282,5118,5118
1442058325,5151,5151
1442059236,5144,5144
1442060332,5184,5184
1442061481,5185,5185
1442062476,5185,5185
1442063377,5233,5233
1442064455,5214,5214
1442065594,5231,5231
1442066430,5240,5240
1442067526,5237,5237
1442068626,5233,5233
1442069728,5226,5226
1442070596,5217,5217
1442071664,5272,5272
1442072739,5266,5266
1442073649,5277,5277
1442074709,5284,5284
1442075860,5244,5244
1442076868,5278,5278
1442077779,5282,5282
1442078858,5272,5272
1442079996,5291,5291
1442080831,5306,5306
1442082044,5298,5298
1442083012,5289,5289
1442084132,5316,5316
1442084980,5306,5306
1442086092,5278,5278
1442087155,5237,5237
1442088045,5233,5233
1442089129,5210,5210
1442090277,5182,5182
1442091290,5165,5165
1442092184,5177,5177
1442093268,5169,5169
1442094394,5159,5159
1442095240,5160,5160
1442096428,5174,5174
1442097408,5180,5180
1442098520,5170,5170
1442099377,5155,5155
1442100468,5145,5145
1442101539,5130,5130
1442102441,5111,5111
1442103534,5107,5107
1442104747,5102,5102
1442105672,5085,5085
1442106588,5064,5064
1442107674,5079,5079
1442108808,5046,5046
1442109646,5024,5024
1442110722,5019,5019
1442111791,5014,5014
