DateTime,Entries,UniqueIPs
1440998888,22502,22502
1441000570,22498,22498
1441001651,22691,22691
1441002489,22685,22685
1441003335,22685,22685
1441005248,22684,22684
1441006087,22679,22679
1441007769,22675,22675
1441008850,22758,22758
1441009688,22758,22758
1441010531,22753,22753
1441012212,22755,22755
1441014128,22240,22240
1441016047,22333,22333
1441017014,22327,22327
1441018570,22325,22325
1441019650,22328,22328
1441020618,21742,21742
1441022176,21745,21745
1441023248,21838,21838
1441024929,21826,21826
1441026853,21817,21817
1441028529,21617,21617
1441030450,21619,21619
1441031290,21616,21616
1441033090,21615,21615
1441035013,21459,21459
1441036569,21332,21332
1441037648,21417,21417
1441040167,21232,21232
1441041248,21189,21189
1441042087,21133,21133
1441043771,21137,21137
1441044847,21376,21376
1441045688,21377,21377
1441046527,21375,21375
1441048448,21361,21361
1441049291,21170,21170
1441050127,21003,21003
1441052052,20982,20982
1441052894,20873,20873
1441054690,20709,20709
1441056489,20628,20628
1441057328,20626,20626
1441059127,20754,20754
1441060219,20749,20749
1441061813,20746,20746
1441062851,20745,20745
1441063720,20731,20731
1441064536,20719,20719
1441066328,20779,20779
1441068129,20695,20695
1441070047,20665,20665
1441070888,20642,20642
1441072645,20641,20641
1441074488,20757,20757
1441075329,20754,20754
1441077128,20760,20760
1441078930,19229,19229
1441080850,19318,19318
1441081815,19318,19318
1441083340,19319,19319
1441084449,19320,19320
1441085290,19322,19322
1441086129,19325,19325
1441087808,19420,19420
1441089730,19421,19421
1441091652,19424,19424
1441092490,19406,19406
1441094154,19354,19354
1441095250,19826,19826
1441096093,19825,19825
1441096934,19824,19824
1441098849,19820,19820
1441099687,19761,19761
1441101372,19753,19753
1441102452,19824,19824
1441103287,19825,19825
1441104128,19825,19825
1441105809,19827,19827
1441106893,19392,19392
1441108576,18846,18846
1441109648,19603,19603
1441110489,19947,19947
1441111327,19945,19945
1441113250,19941,19941
1441114215,19602,19602
1441115770,19600,19600
1441116848,20312,20312
1441117690,20311,20311
1441119367,20307,20307
1441120449,20309,20309
1441121288,20237,20237
1441122134,20238,20238
1441123812,20530,20530
