DateTime,Entries,UniqueIPs
1441615331,1530,1530
1441617009,1514,1514
1441618951,1495,1495
1441620851,1481,1481
1441621692,1462,1462
1441623375,1453,1453
1441624450,1446,1446
1441625292,1440,1440
1441626131,1440,1440
1441627930,1435,1435
1441628890,1417,1417
1441629730,1409,1409
1441631651,1398,1398
1441632637,1382,1382
1441634292,1370,1370
1441636094,1357,1357
1441636934,1346,1346
1441638611,1333,1333
1441640530,1317,1317
1441642451,1301,1301
1441644131,1282,1282
1441646072,1278,1278
1441646910,1261,1261
1441648691,1239,1239
1441650492,1228,1228
1441651333,1214,1214
1441653130,1205,1205
1441654933,1173,1173
1441656851,1156,1156
1441657692,1139,1139
1441659373,1111,1111
1441660451,1107,1107
1441661292,1087,1087
1441662132,1052,1052
1441663931,1039,1039
1441664892,1021,1021
1441665857,1010,1010
1441667663,998,998
1441668496,979,979
1441670191,960,960
1441671327,927,927
1441672932,908,908
1441674611,881,881
1441676531,830,830
1441678451,815,815
1441679297,797,797
1441681089,753,753
1441682895,750,750
1441683732,757,757
1441685412,755,755
1441687331,753,753
1441689251,752,752
1441690114,750,750
1441690930,753,753
1441692851,752,752
1441693694,745,745
1441695374,751,751
1441696451,751,751
1441697290,747,747
1441698132,745,745
1441699811,744,744
1441701732,751,751
1441703653,754,754
1441704491,753,753
1441706173,753,753
1441707253,756,756
1441708091,761,761
1441709772,763,763
1441710851,765,765
1441712650,768,768
1441714451,772,772
1441715293,769,769
1441716978,769,769
1441718051,768,768
1441718889,767,767
1441720570,775,775
1441721650,776,776
1441722495,779,779
1441723329,786,786
1441725011,789,789
1441726932,791,791
1441728850,795,795
1441729690,793,793
1441731395,798,798
1441732452,802,802
1441734086,808,808
1441735813,817,817
1441736890,823,823
1441737870,826,826
1441739673,832,832
1441740493,831,831
1441742174,840,840
1441743252,847,847
1441744092,847,847
1441744931,847,847
1441746854,845,845
1441748538,848,848
1441750451,854,854
1441751294,847,847
1441752253,847,847
1441753816,852,852
1441755731,845,845
1441757651,853,853
1441759335,857,857
1441761253,869,869
1441762093,871,871
1441763771,875,875
1441764852,875,875
1441765691,873,873
1441766533,874,874
1441768211,879,879
1441770135,883,883
1441772052,888,888
1441773017,887,887
1441774593,899,899
1441775670,901,901
1441776618,903,903
1441777332,904,904
1441779012,906,906
1441780090,907,907
1441781773,916,916
1441782849,923,923
1441783691,923,923
1441785373,920,920
1441786450,927,927
1441787421,929,929
1441788975,940,940
1441790052,942,942
1441791732,942,942
1441793651,952,952
1441794492,959,959
1441796174,962,962
1441797252,962,962
1441798091,963,963
1441798931,969,969
1441800611,969,969
1441801696,971,971
1441803373,975,975
1441804451,975,975
1441805291,977,977
1441806973,975,975
1441808052,977,977
1441808889,978,978
1441809732,984,984
1441811413,987,987
1441813332,987,987
1441815251,997,997
1441816091,1003,1003
1441817775,1008,1008
1441818853,1012,1012
1441819689,1013,1013
1441821378,1011,1011
1441822459,1014,1014
1441823292,1016,1016
1441824131,1013,1013
1441825930,1020,1020
1441826892,1027,1027
1441827731,1030,1030
1441829653,1035,1035
1441830493,1035,1035
1441831333,1037,1037
1441833134,1043,1043
1441834092,1050,1050
1441834935,1050,1050
1441836852,1054,1054
1441837691,1055,1055
1441838536,1054,1054
1441839543,1054,1054
1441840454,1064,1064
1441842157,1066,1066
1441844177,1067,1067
1441845730,1070,1070
1441846691,1071,1071
1441848510,1076,1076
1441849334,1079,1079
1441851130,1085,1085
1441852933,1081,1081
1441854850,1093,1093
1441855691,1093,1093
1441857491,1095,1095
1441859296,1094,1094
1441860132,1097,1097
1441861811,1104,1104
1441863733,1110,1110
1441865651,1120,1120
1441866492,1118,1118
1441868197,1125,1125
1441869251,1128,1128
1441870219,1125,1125
1441871833,1131,1131
1441873690,1136,1136
1441874531,1138,1138
1441876450,1149,1149
1441877294,1146,1146
1441878953,1147,1147
1441880052,1153,1153
1441880892,1154,1154
1441881732,1148,1148
1441883530,1154,1154
1441885330,1156,1156
1441887252,1158,1158
1441888090,1159,1159
1441888932,1162,1162
1441890730,1170,1170
1441891691,1171,1171
1441892530,1167,1167
1441893390,1173,1173
1441894452,1175,1175
1441895294,1173,1173
1441896132,1175,1175
1441897930,1181,1181
1441899731,1182,1182
1441901654,1182,1182
1441902489,1188,1188
1441903331,1189,1189
1441905129,1190,1190
1441906933,1188,1188
1441908853,1200,1200
1441909710,1209,1209
1441910532,1202,1202
1441911492,1196,1196
1441913282,1200,1200
1441914131,1193,1193
1441915036,1197,1197
1441916892,1206,1206
1441917733,1200,1200
1441919650,1210,1210
1441920489,1212,1212
1441921331,1214,1214
1441923254,1224,1224
1441924089,1223,1223
1441925174,1219,1219
1441926612,1222,1222
1441927690,1216,1216
1441928530,1216,1216
1441930214,1216,1216
1441931296,1208,1208
1441932969,1207,1207
1441934052,1213,1213
1441934900,1210,1210
1441935755,1210,1210
1441937412,1208,1208
1441938494,1209,1209
1441939330,1204,1204
1441941252,1205,1205
1441942094,1202,1202
1441942933,1201,1201
1441944612,1200,1200
1441946531,1195,1195
1441948453,1199,1199
1441949291,1197,1197
1441951092,1185,1185
1441952891,1180,1180
1441953731,1180,1180
1441955537,1183,1183
1441956492,1175,1175
1441957333,1171,1171
1441959252,1166,1166
1441960089,1159,1159
1441961776,1161,1161
1441962872,1162,1162
1441964533,1146,1146
1441966452,1148,1148
1441967292,1144,1144
1441968963,1134,1134
1441970053,1135,1135
1441971732,1129,1129
1441973413,1130,1130
1441975335,1131,1131
1441977252,1135,1135
1441978090,1129,1129
1441979775,1126,1126
1441980849,1126,1126
1441981691,1124,1124
1441982534,1120,1120
1441984211,1117,1117
1441986132,1108,1108
1441987812,1110,1110
1441988899,1103,1103
1441989735,1105,1105
1441991649,1118,1118
1441992493,1117,1117
1441994170,1114,1114
1441995252,1107,1107
1441996937,1099,1099
1442002452,1095,1095
1442003293,1082,1082
1442005090,1080,1080
1442006890,1126,1126
1442007729,1117,1117
1442008692,1117,1117
1442010491,1109,1109
1442011351,1103,1103
1442013253,1110,1110
1442014094,1107,1107
1442015891,1100,1100
1442017691,1095,1095
1442018534,1093,1093
1442020210,1089,1089
1442021303,1086,1086
1442022972,1085,1085
1442024052,1083,1083
1442025852,1078,1078
1442026569,1086,1086
1442028490,1085,1085
1442030175,1084,1084
1442032089,1092,1092
1442032935,1092,1092
1442034853,1097,1097
1442035689,1092,1092
1442037373,1093,1093
1442038452,1099,1099
1442039289,1099,1099
1442040969,1101,1101
1442042894,1090,1090
1442044575,1089,1089
1442045652,1086,1086
1442046488,1084,1084
1442047330,1079,1079
1442049132,1080,1080
1442050219,1071,1071
1442051891,1073,1073
1442052854,1077,1077
1442053696,1085,1085
1442055491,1099,1099
1442057312,1095,1095
1442058133,1099,1099
1442059817,1100,1100
1442061732,1095,1095
1442063650,1083,1083
1442064492,1085,1085
1442066139,1080,1080
1442067251,1078,1078
1442068090,1071,1071
1442068931,1067,1067
1442070611,1064,1064
1442072531,1055,1055
1442074453,1057,1057
1442075292,1050,1050
1442077090,1041,1041
1442078893,1044,1044
1442079730,1042,1042
1442081510,1040,1040
1442082489,1037,1037
1442084174,1033,1033
1442085252,1034,1034
1442086100,1027,1027
1442087777,1026,1026
1442088853,1021,1021
1442089699,1013,1013
1442090533,1009,1009
1442092330,1009,1009
1442093293,1009,1009
1442094133,1007,1007
1442096051,1007,1007
1442097018,996,996
1442098574,1006,1006
1442099653,1005,1005
1442100495,1002,1002
1442101407,999,999
1442102293,999,999
1442104092,995,995
1442104934,991,991
1442106857,990,990
1442107693,988,988
1442108536,984,984
1442110448,989,989
1442111292,982,982
1442112974,988,988
1442114050,990,990
1442114893,989,989
1442115732,990,990
1442117412,999,999
1442119334,993,993
1442121252,1001,1001
1442122219,997,997
1442123772,1004,1004
1442124851,1007,1007
1442125690,1003,1003
1442126536,1007,1007
1442128211,1014,1014
1442129289,1012,1012
1442130130,1014,1014
1442132052,1023,1023
1442133020,1017,1017
1442134692,1023,1023
1442136492,1031,1031
1442137333,1030,1030
1442139251,1044,1044
1442140092,1043,1043
1442140933,1051,1051
1442142852,1062,1062
1442143689,1060,1060
1442145492,1067,1067
1442147293,1073,1073
1442148132,1074,1074
1442149092,1071,1071
1442150894,1075,1075
1442151730,1077,1077
1442153652,1087,1087
1442154497,1087,1087
1442156178,1097,1097
1442157253,1100,1100
1442158093,1101,1101
1442159891,1094,1094
1442161818,1095,1095
1442163379,1100,1100
1442164456,1105,1105
1442166133,1107,1107
1442168051,1106,1106
1442168890,1105,1105
1442170579,1108,1108
1442172491,1106,1106
1442173332,1104,1104
1442175250,1108,1108
1442176933,1101,1101
1442178849,1101,1101
1442179692,1100,1100
1442181376,1102,1102
1442182451,1103,1103
1442183290,1099,1099
1442184172,1103,1103
1442185927,1109,1109
1442187738,1108,1108
1442189752,1119,1119
1442191331,1134,1134
1442193254,1140,1140
1442194236,1139,1139
1442195891,1139,1139
1442197693,1140,1140
1442198533,1143,1143
1442200458,1152,1152
1442201293,1151,1151
1442202974,1145,1145
1442204052,1146,1146
1442204894,1141,1141
1442205733,1141,1141
1442207411,1149,1149
1442209338,1154,1154
1442211251,1167,1167
1442212089,1168,1168
1442213773,1175,1175
1442214852,1176,1176
1442215691,1173,1173
1442216534,1173,1173
1442217493,1178,1178
1442219291,1182,1182
1442220133,1179,1179
1442222051,1177,1177
1442222893,1175,1175
1442223732,1166,1166
1442225651,1164,1164
1442226622,1164,1164
1442228291,1165,1165
1442230089,1162,1162
1442231773,1161,1161
1442232852,1164,1164
1442234532,1164,1164
1442236452,1164,1164
1442237416,1161,1161
1442239093,1163,1163
1442240051,1169,1169
1442241734,1169,1169
1442243653,1167,1167
1442244490,1164,1164
1442246292,1165,1165
1442248091,1166,1166
1442248932,1165,1165
1442250729,1169,1169
1442251571,1170,1170
1442253492,1169,1169
1442255291,1167,1167
1442256132,1167,1167
1442258053,1171,1171
1442258892,1194,1194
1442260582,1216,1216
1442261656,1240,1240
1442263332,1251,1251
1442265253,1280,1280
1442266091,1290,1290
1442267775,1324,1324
1442268852,1335,1335
1442270011,1351,1351
1442271375,1385,1385
1442272451,1399,1399
1442273289,1408,1408
1442274969,1428,1428
1442275777,1434,1434
1442277496,1443,1443
1442278577,1473,1473
1442279652,1492,1492
1442280496,1499,1499
1442281337,1512,1512
1442283253,1532,1532
1442284096,1544,1544
1442285889,1560,1560
1442287692,1572,1572
1442288532,1583,1583
1442289492,1587,1587
1442291292,1598,1598
