DateTime,Entries,UniqueIPs
1441627095,10234,10234
1441628894,11169,11169
1441629733,11194,11194
1441631654,11195,11195
1441632640,10955,10955
1441634416,11060,11060
1441636097,11190,11190
1441636937,11191,11191
1441638614,11191,11191
1441640535,11126,11126
1441642475,11530,11530
1441644135,11531,11531
1441646075,11532,11532
1441646913,10972,10972
1441648694,11025,11025
1441650495,11544,11544
1441651337,11845,11845
1441652295,11965,11965
1441654095,11749,11749
1441654936,11746,11746
1441656854,11820,11820
1441657695,11819,11819
1441659377,11819,11819
1441660455,11816,11816
1441661295,11517,11517
1441663093,11550,11550
1441664917,11806,11806
1441665861,11877,11877
1441667667,11918,11918
1441668499,11903,11903
1441670194,11897,11897
1441671330,11935,11935
1441672936,12072,12072
1441673801,12070,12070
1441674875,12064,12064
1441675695,11996,11996
1441676534,11993,11993
1441678215,12086,12086
1441680134,12127,12127
1441682053,12198,12198
1441682899,11579,11579
1441684578,11648,11648
1441685658,11680,11680
1441686491,11701,11701
1441687335,11717,11717
1441689132,11761,11761
1441690934,11743,11743
1441692855,11776,11776
1441693699,11775,11775
1441695377,11764,11764
1441696454,11763,11763
1441697293,11747,11747
1441698982,11738,11738
1441700059,11919,11919
1441700898,11994,11994
1441701735,11991,11991
1441703437,11986,11986
1441705336,11654,11654
1441707256,11757,11757
1441708093,11807,11807
1441709777,11877,11877
1441710854,11785,11785
1441711822,11233,11233
1441713394,11234,11234
1441714454,11303,11303
1441715298,11320,11320
1441716256,11345,11345
1441717816,11394,11394
1441718893,11312,11312
1441719738,11223,11223
1441721416,11389,11389
1441723332,11482,11482
1441725254,11534,11534
1441726096,11500,11500
1441727775,11463,11463
1441728853,11626,11626
1441729693,11587,11587
1441731399,11466,11466
1441732455,11429,11429
1441733295,11410,11410
1441734133,11421,11421
1441735816,11837,11837
1441737873,11847,11847
1441739676,11776,11776
1441740517,11256,11256
1441742179,11022,11022
1441743255,11283,11283
1441744096,11406,11406
1441745781,11459,11459
1441746857,11463,11463
1441747656,10902,10902
1441748541,10909,10909
1441750216,11040,11040
1441751298,11300,11300
1441752257,11872,11872
1441754054,12356,12356
1441754898,12347,12347
1441755737,12355,12355
1441757654,12467,12467
1441758497,12607,12607
1441760187,12804,12804
1441761256,12801,12801
1441762096,12340,12340
1441762938,12347,12347
1441764616,12377,12377
1441766536,12397,12397
1441768453,12379,12379
