DateTime,Entries,UniqueIPs
1441798930,593,593
1441800851,612,612
1441801695,613,613
1441802532,616,616
1441804211,621,621
1441805290,630,630
1441806972,632,632
1441808051,634,634
1441808888,640,640
1441809731,646,646
1441811411,652,652
1441812488,653,653
1441814172,658,658
1441815250,657,657
1441816090,656,656
1441816932,653,653
1441818579,654,654
1441820530,655,655
1441822458,656,656
1441823291,655,655
1441824130,656,656
1441826051,664,664
1441826891,665,665
1441827730,666,666
1441828689,667,667
1441830492,670,670
1441831332,670,670
1441833248,669,669
1441834091,671,671
1441834934,674,674
1441835891,675,675
1441837689,677,677
1441838535,678,678
1441839542,676,676
1441841533,685,685
1441843054,689,689
1441844176,689,689
1441845730,690,690
1441846690,692,692
1441848509,700,700
1441849333,700,700
1441851129,706,706
1441852933,702,702
1441854850,706,706
1441855690,707,707
1441857489,708,708
1441859295,708,708
1441860131,709,709
1441862050,714,714
1441863017,715,715
1441864689,717,717
1441866492,717,717
1441867330,718,718
1441869250,726,726
1441870218,726,726
1441871833,717,717
1441873688,718,718
1441874530,715,715
1441876449,709,709
1441877293,710,710
1441878952,714,714
1441880051,706,706
1441880891,703,703
1441881731,695,695
1441883529,688,688
1441885329,668,668
1441887251,668,668
1441888090,667,667
1441889886,665,665
1441891690,646,646
1441892529,642,642
1441894451,644,644
1441895293,637,637
1441897056,610,610
1441898892,600,600
1441899730,596,596
1441901528,591,591
1441902488,589,589
1441903330,589,589
1441905253,589,589
1441906095,587,587
1441907894,585,585
1441909709,587,587
1441910531,588,588
1441912451,592,592
1441913241,594,594
1441915035,596,596
1441917732,586,586
1441919649,587,587
1441920488,589,589
1441922289,591,591
1441924088,589,589
1441925172,588,588
1441926611,589,589
1441928529,580,580
1441930451,578,578
1441931295,573,573
1441932968,572,572
1441934049,572,572
1441934896,562,562
1441935754,560,560
1441937411,565,565
1441938493,564,564
1441939328,563,563
1441941251,561,561
1441942093,561,561
1441942932,558,558
1441944612,559,559
1441945691,555,555
1441946530,554,554
1441948451,560,560
1441949291,557,557
1441951091,552,552
1441952890,553,553
1441953730,554,554
1441955536,561,561
1441956491,561,561
1441957332,563,563
1441959251,566,566
1441960088,569,569
1441961775,576,576
1441962871,578,578
1441964532,577,577
1441966451,580,580
1441967291,577,577
1441968961,579,579
1441970052,579,579
1441970890,572,572
1441971731,567,567
1441973412,572,572
1441975334,564,564
1441977251,569,569
1441978089,569,569
1441979774,562,562
1441980848,558,558
1441981690,557,557
1441983374,557,557
1441984457,562,562
1441986131,559,559
1441988051,559,559
1441988899,558,558
1441990569,557,557
1441991648,559,559
1441993331,563,563
1441995251,567,567
1441996094,564,564
1441997776,564,564
1442002451,563,563
1442003292,561,561
1442004130,560,560
1442005089,562,562
1442006889,561,561
1442007728,559,559
1442009529,560,560
1442011348,551,551
1442013252,555,555
1442014093,552,552
1442015890,544,544
1442017690,543,543
1442018533,541,541
1442020208,540,540
1442021302,541,541
1442022971,546,546
1442024051,544,544
1442025851,543,543
1442027410,545,545
1442029333,545,545
1442031251,547,547
1442033770,545,545
1442034852,547,547
1442036533,532,532
1442038452,532,532
1442039288,525,525
1442040968,517,517
1442042891,517,517
1442045412,513,513
1442047329,500,500
1442049251,493,493
1442050219,485,485
1442051890,479,479
1442053694,479,479
1442054533,479,479
1442056331,475,475
1442057290,472,472
1442058975,469,469
1442060050,473,473
1442060881,467,467
1442061731,468,468
1442063529,466,466
1442064491,460,460
1442065331,462,462
1442067251,468,468
1442068089,466,466
1442069772,467,467
1442070849,468,468
1442071817,465,465
1442073372,463,463
1442074452,463,463
1442075290,462,462
1442076136,464,464
1442078049,467,467
1442078892,464,464
1442080689,461,461
1442082488,460,460
1442083449,458,458
1442085251,454,454
1442086099,456,456
1442087774,453,453
1442088852,454,454
1442089698,449,449
1442090532,450,450
1442092330,451,451
1442094132,448,448
1442094976,450,450
1442096050,448,448
1442097017,445,445
1442098573,448,448
1442101404,442,442
1442103250,444,444
1442104091,446,446
1442105776,452,452
1442106856,451,451
1442107692,452,452
1442109371,452,452
1442110447,452,452
1442112132,449,449
1442114049,454,454
1442114892,455,455
1442116570,456,456
1442117652,457,457
1442118490,454,454
1442119333,451,451
1442121251,454,454
1442122219,451,451
1442123770,453,453
1442124850,452,452
1442126535,445,445
1442128455,445,445
1442129289,443,443
1442130972,434,434
1442132051,433,433
1442133731,430,430
1442135650,430,430
1442136491,429,429
1442138290,428,428
1442140090,428,428
1442140932,424,424
1442142610,421,421
1442144534,418,418
1442146451,419,419
1442149091,409,409
1442150893,406,406
1442151730,403,403
1442153651,409,409
1442154494,404,404
1442156177,403,403
1442157252,404,404
1442158092,402,402
1442158930,401,401
1442159890,402,402
1442161817,399,399
1442163378,395,395
1442164450,392,392
1442165293,388,388
1442167088,384,384
1442168890,381,381
1442170578,379,379
1442172490,375,375
1442173331,373,373
1442175011,374,374
1442176931,371,371
1442178848,368,368
1442179692,367,367
1442181375,364,364
1442182449,365,365
1442183289,361,361
1442185090,360,360
1442186893,360,360
1442187735,358,358
1442189752,355,355
1442191331,353,353
1442193253,350,350
1442194219,344,344
1442195890,342,342
1442197692,343,343
1442198532,342,342
1442200457,340,340
1442201292,336,336
1442202973,328,328
1442204051,327,327
1442204892,328,328
