DateTime,Entries,UniqueIPs
1441052886,29988,29988
1441054683,29793,29793
1441056484,29729,29729
1441057324,29710,29710
1441058283,29689,29689
1441060209,29780,29780
1441061763,29797,29797
1441062847,29825,29825
1441063688,29804,29804
1441064527,29794,29794
1441066323,29881,29881
1441068184,29815,29815
1441069924,29815,29815
1441071726,29803,29803
1441073646,29945,29945
1441075325,29922,29922
1441077244,29962,29962
1441078084,28851,28851
1441078924,28404,28404
1441080843,28528,28528
1441081804,28524,28524
1441083337,28495,28495
1441084443,28532,28532
1441085284,28520,28520
1441086124,28496,28496
1441088044,28600,28600
1441088883,28581,28581
1441089725,28582,28582
1441091644,28627,28627
1441092485,28603,28603
1441094152,28563,28563
1441095244,29050,29050
1441096089,29005,29005
1441096924,28996,28996
1441098605,29000,29000
1441099683,28947,28947
1441100526,28924,28924
1441102204,29016,29016
1441103284,29043,29043
1441104123,29109,29109
1441105803,29135,29135
1441107726,28314,28314
1441109404,28787,28787
1441111323,29280,29280
1441113243,29305,29305
1441114923,28908,28908
1441116843,29660,29660
1441118524,29649,29649
1441120444,29695,29695
1441121285,29637,29637
1441122126,29635,29635
1441124043,30085,30085
1441125010,30116,30116
1441126563,30177,30177
1441127644,30191,30191
1441128485,29282,29282
1441130164,29283,29283
1441131244,29527,29527
1441132083,29713,29713
1441133883,30173,30173
1441135685,29983,29983
1441137484,29954,29954
1441139284,30004,30004
1441140123,30001,30001
1441141083,30009,30009
1441142884,29457,29457
1441143725,29464,29464
1441144683,29472,29472
1441146484,30281,30281
1441147447,30288,30288
1441149124,30312,30312
1441150084,30288,30288
1441151048,30299,30299
1441152604,30430,30430
1441154525,30410,30410
1441156203,30427,30427
1441158128,29750,29750
1441160044,29757,29757
1441161725,29625,29625
1441163644,29626,29626
1441165324,29525,29525
1441167243,29579,29579
1441168083,29560,29560
1441168924,29566,29566
1441170843,29605,29605
1441171685,29540,29540
1441173364,29592,29592
1441174444,29665,29665
1441175283,29617,29617
1441176963,29602,29602
1441178043,29597,29597
1441178884,29559,29559
1441180564,29556,29556
1441181645,29675,29675
1441182483,29493,29493
1441183324,29445,29445
1441185004,29398,29398
1441186084,29208,29208
1441186926,29178,29178
1441188603,29463,29463
1441189685,29852,29852
1441190523,29926,29926
1441191486,29893,29893
1441193284,29829,29829
1441194124,29798,29798
1441195805,30095,30095
1441197724,30095,30095
1441199523,30085,30085
1441201325,29918,29918
1441203123,30111,30111
1441204949,30028,30028
1441206603,30057,30057
1441208524,29963,29963
1441210205,30539,30539
1441212124,30497,30497
1441214043,30542,30542
1441215726,30486,30486
1441217644,31281,31281
1441219324,31481,31481
1441221244,31551,31551
1441222924,31397,31397
1441224843,31880,31880
1441225684,32051,32051
1441226525,32051,32051
1441228443,32116,32116
1441229286,31946,31946
1441230124,31936,31936
1441232044,32150,32150
1441232884,32133,32133
1441234563,32145,32145
1441235644,32163,32163
1441236483,32085,32085
1441238163,32077,32077
1441239483,32363,32363
1441240923,32340,32340
1441242604,32358,32358
1441243684,32264,32264
1441245362,32256,32256
1441246444,32551,32551
1441247283,32597,32597
1441248126,32578,32578
1441249805,32467,32467
1441250885,32123,32123
1441251724,32119,32119
1441252817,32161,32161
1441254483,32267,32267
1441255325,32241,32241
1441257003,32258,32258
1441258925,32207,32207
1441260605,32247,32247
1441261683,32294,32294
1441262767,32271,32271
1441263744,32261,32261
1441265283,32241,32241
1441266128,32221,32221
1441268044,32397,32397
1441269726,32626,32626
1441271644,32870,32870
1441272484,32833,32833
1441274165,32701,32701
1441275843,32986,32986
1441276923,33056,33056
1441278844,33062,33062
1441279684,32319,32319
1441281364,32238,32238
1441282443,32590,32590
1441283285,32611,32611
1441284962,32658,32658
1441286044,32681,32681
1441286884,32419,32419
1441288564,32400,32400
1441289643,32883,32883
1441290484,32999,32999
1441292166,33015,33015
1441293245,33011,33011
1441294085,32945,32945
1441295763,32967,32967
1441296843,33236,33236
1441297684,33229,33229
1441299365,33234,33234
1441300444,33230,33230
1441301284,33023,33023
1441302123,32780,32780
1441303804,33071,33071
1441304884,33221,33221
1441305731,33211,33211
1441307403,33232,33232
1441308483,33211,33211
1441309325,33196,33196
1441311004,33488,33488
1441312084,33802,33802
1441312924,33781,33781
1441314604,33802,33802
1441315686,33216,33216
1441316526,32918,32918
1441318203,33134,33134
1441319409,33197,33197
1441320990,33204,33204
1441322043,33215,33215
1441323723,33193,33193
1441324593,33208,33208
1441325643,33355,33355
1441326483,33346,33346
1441328163,33343,33343
1441329244,33335,33335
1441330084,32864,32864
1441331763,32859,32859
1441332844,33067,33067
1441333685,33185,33185
1441335363,33274,33274
1441336443,33169,33169
1441337284,32572,32572
1441338963,32568,32568
1441340044,32624,32624
1441340884,32623,32623
1441341724,32632,32632
1441343404,32626,32626
1441344484,32614,32614
1441345328,32606,32606
1441347003,32686,32686
1441348084,32681,32681
1441348925,32678,32678
1441350603,32717,32717
1441351684,32697,32697
1441352524,32671,32671
1441354203,32981,32981
1441355284,32954,32954
1441356126,32954,32954
1441357924,32979,32979
1441359724,32494,32494
1441361403,32777,32777
1441363324,32768,32768
1441365243,32745,32745
1441366924,32307,32307
1441368844,32835,32835
1441369684,33017,33017
1441371364,33241,33241
1441372443,33156,33156
1441373284,33123,33123
1441374124,33112,33112
1441376043,33169,33169
1441376883,33185,33185
1441378566,33277,33277
1441379645,33280,33280
1441380484,33204,33204
1441382163,33208,33208
1441383244,33311,33311
1441384085,33362,33362
1441385764,33456,33456
1441386603,33476,33476
1441388283,33052,33052
1441389364,33041,33041
1441390443,33573,33573
1441391404,33560,33560
1441392965,33547,33547
1441394044,33425,33425
1441394884,32633,32633
1441396563,32489,32489
1441397643,33108,33108
1441398483,33491,33491
1441400163,33482,33482
1441401245,33494,33494
1441402084,33015,33015
1441402926,32974,32974
1441404604,33030,33030
1441405683,33049,33049
1441406524,33053,33053
1441408204,33071,33071
1441409286,33048,33048
1441410123,33038,33038
1441411804,33051,33051
1441412885,33078,33078
1441416485,32854,32854
1441417326,32922,32922
1441419006,32972,32972
1441420925,32957,32957
1441422604,32943,32943
1441424523,32044,32044
1441426445,32094,32094
1441428123,32196,32196
1441429803,32286,32286
1441431723,32281,32281
1441434604,32299,32299
1441436164,32297,32297
1441437247,32297,32297
1441438923,32160,32160
1441440844,32191,32191
1441442523,32003,32003
1441444444,32045,32045
1441446125,31776,31776
1441448043,31849,31849
1441449724,31905,31905
1441451643,32027,32027
1441452484,31910,31910
1441453325,31960,31960
1441455243,32000,32000
1441456084,32015,32015
1441456924,32041,32041
1441458843,32230,32230
1441459809,31572,31572
1441460524,31564,31564
1441462443,31811,31811
1441463403,31784,31784
1441464123,31760,31760
1441466046,31741,31741
1441466883,31668,31668
1441467725,31634,31634
1441469643,31734,31734
1441470486,31698,31698
1441471325,31690,31690
1441473245,31701,31701
1441474064,31067,31067
1441474924,30925,30925
1441476844,31089,31089
1441477804,31077,31077
1441479362,31080,31080
1441480443,31006,31006
1441481283,30461,30461
1441482125,30320,30320
1441483804,30408,30408
1441485726,30406,30406
1441487404,30429,30429
1441489325,30019,30019
1441491004,30117,30117
1441492924,30112,30112
1441494844,30139,30139
1441495731,30117,30117
1441496644,30108,30108
1441498444,30364,30364
1441499283,30342,30342
1441501018,30359,30359
1441502045,30372,30372
1441502886,30003,30003
1441504563,29750,29750
1441505645,30002,30002
1441506485,29984,29984
1441508162,29989,29989
1441509244,29998,29998
1441510210,29153,29153
1441511764,28966,28966
1441512843,29122,29122
1441513686,29108,29108
1441515363,29099,29099
1441516445,29089,29089
1441517285,29034,29034
1441518963,28993,28993
1441520043,29061,29061
1441520883,29048,29048
1441521724,29111,29111
1441523403,29184,29184
1441524485,29170,29170
1441525324,29212,29212
1441527004,29546,29546
1441528204,29534,29534
1441528923,29514,29514
1441530603,29452,29452
1441532524,29271,29271
1441534206,29826,29826
1441536125,30186,30186
1441538044,30175,30175
1441538883,29433,29433
1441539724,29104,29104
1441541643,29506,29506
1441542609,29423,29423
1441544164,29433,29433
1441545244,29411,29411
1441546084,29314,29314
1441546924,29201,29201
1441548844,29127,29127
1441549810,29071,29071
1441551364,29152,29152
1441552445,29136,29136
1441553284,28999,28999
1441554964,28921,28921
1441556044,28918,28918
1441556936,28872,28872
1441558564,28944,28944
1441559643,28986,28986
1441560485,29091,29091
1441562163,29305,29305
1441563246,29370,29370
1441564084,29358,29358
1441565763,29377,29377
1441566843,29391,29391
1441567685,28206,28206
1441569362,27732,27732
1441570444,28663,28663
1441571286,29209,29209
1441572963,29406,29406
1441574044,29546,29546
1441574884,29420,29420
1441576563,29428,29428
1441577643,29767,29767
1441578483,29823,29823
1441579443,29879,29879
1441581004,29973,29973
1441582084,30018,30018
1441582925,29996,29996
1441584604,30130,30130
1441585688,30072,30072
1441586526,29985,29985
1441588327,29967,29967
1441590125,30016,30016
1441591212,30142,30142
1441592884,30459,30459
1441593843,30478,30478
1441595523,30518,30518
1441596723,30307,30307
1441598524,30178,30178
1441600085,30173,30173
1441600926,30129,30129
1441602843,30157,30157
1441604523,30159,30159
1441606444,30238,30238
1441607283,30220,30220
1441608123,30185,30185
1441610044,30209,30209
1441610884,30222,30222
1441612563,30192,30192
1441613644,30517,30517
1441614484,30506,30506
1441616164,30486,30486
1441617243,30470,30470
1441618084,30401,30401
1441619768,30420,30420
1441620844,30615,30615
1441621684,30547,30547
1441623368,30486,30486
1441624444,30514,30514
1441625283,30490,30490
1441626124,30463,30463
1441627083,30455,30455
1441628884,31424,31424
1441629726,31469,31469
1441631359,31545,31545
1441632604,31351,31351
1441633323,31353,31353
1441634406,31494,31494
1441636083,31630,31630
1441636925,31645,31645
1441638604,31664,31664
1441640525,31592,31592
1441642443,32043,32043
1441644126,32036,32036
1441646044,32067,32067
1441647728,31487,31487
1441649644,31883,31883
1441650483,32050,32050
1441651324,32340,32340
1441653244,32478,32478
1441654088,32215,32215
1441655763,32201,32201
1441656843,32295,32295
1441657687,32274,32274
1441659365,32271,32271
1441660445,32289,32289
1441661284,31987,31987
1441662124,31982,31982
1441664044,32357,32357
1441664884,32394,32394
1441666565,32546,32546
1441667655,32595,32595
1441668485,32633,32633
1441670163,32685,32685
1441671243,32727,32727
1441672085,32763,32763
1441673764,32863,32863
1441674843,32878,32878
1441675683,32795,32795
1441676526,32774,32774
1441678203,32888,32888
1441679283,32897,32897
1441680125,32889,32889
1441681083,32888,32888
1441682884,32354,32354
1441683726,32397,32397
1441685403,32453,32453
1441686483,32483,32483
1441687325,32499,32499
1441688283,32521,32521
1441690085,32560,32560
1441690925,32528,32528
1441691884,32401,32401
1441693684,32456,32456
1441694526,32398,32398
1441696204,32319,32319
1441698123,32296,32296
1441699804,32470,32470
1441701724,32608,32608
1441703404,32651,32651
1441705325,32336,32336
1441707004,32487,32487
1441708924,32694,32694
1441710604,32707,32707
1441712643,32290,32290
1441714443,32453,32453
1441716244,32525,32525
1441718044,32640,32640
1441719725,32506,32506
1441721643,32786,32786
