DateTime,Entries,UniqueIPs
1441337288,896,896
1441338129,897,897
1441339811,906,906
1441341731,896,896
1441343650,893,893
1441345332,886,886
1441347010,885,885
1441348090,890,890
1441349770,891,891
1441350850,900,900
1441351688,901,901
1441352531,891,891
1441354451,891,891
1441355290,893,893
1441356129,889,889
1441358050,887,887
1441358845,887,887
1441359729,891,891
1441361410,897,897
1441363331,901,901
1441365250,904,904
1441366091,902,902
1441366928,900,900
1441368610,900,900
1441369690,904,904
1441370531,909,909
1441372450,908,908
1441373289,903,903
1441375086,898,898
1441376891,897,897
1441377732,892,892
1441379654,901,901
1441380489,899,899
1441381363,898,898
1441383012,899,899
1441384089,899,899
1441385051,901,901
1441386609,894,894
1441387449,896,896
1441388531,896,896
1441390449,908,908
1441391417,899,899
1441392974,907,907
1441394054,913,913
1441394889,911,911
1441395748,904,904
1441397649,902,902
1441398488,895,895
1441399333,894,894
1441401010,900,900
1441402090,893,893
1441402933,894,894
1441404849,904,904
1441405690,907,907
1441407372,906,906
1441408449,906,906
1441409294,903,903
1441410129,900,900
1441411830,899,899
1441412888,900,900
1441415655,905,905
1441416492,902,902
1441417337,905,905
1441419011,905,905
1441420090,904,904
1441420933,898,898
1441422848,898,898
1441423689,893,893
1441425370,891,891
1441426453,895,895
1441427291,893,893
1441428131,887,887
1441429809,885,885
1441431737,884,884
1441434616,870,870
1441436176,870,870
1441437252,875,875
1441438930,867,867
1441440850,858,858
1441441817,852,852
1441443490,842,842
1441444449,842,842
1441445292,843,843
1441446130,838,838
1441448050,842,842
1441448888,843,843
1441450689,836,836
1441452490,834,834
1441454289,827,827
1441456090,832,832
1441456933,835,835
1441457890,833,833
1441459835,833,833
1441460529,833,833
1441462451,832,832
1441464128,823,823
1441466051,829,829
1441466889,833,833
1441468689,820,820
1441470490,823,823
1441471330,817,817
1441472290,814,814
1441474068,823,823
1441474930,826,826
1441475892,831,831
1441477817,829,829
1441479372,829,829
1441480449,828,828
1441482130,825,825
1441483815,828,828
1441485730,826,826
1441487649,824,824
1441489331,823,823
1441491254,825,825
1441492090,823,823
1441492935,820,820
1441494869,829,829
1441495787,825,825
1441496650,822,822
1441498510,821,821
1441499287,824,824
1441501035,812,812
1441502052,813,813
1441503732,805,805
1441505650,804,804
1441506493,798,798
1441508177,798,798
1441509250,795,795
1441510220,788,788
1441511770,786,786
1441512849,789,789
1441513691,788,788
1441515369,787,787
1441516453,786,786
1441517289,776,776
1441518132,767,767
1441519809,765,765
1441520888,760,760
1441521731,759,759
1441523409,754,754
1441525328,755,755
1441527009,750,750
1441528929,747,747
1441530851,747,747
1441532532,730,730
1441534450,736,736
1441535291,733,733
1441536130,730,730
1441538049,731,731
1441538889,736,736
1441540571,726,726
1441541649,726,726
1441542617,715,715
1441544170,713,713
1441545250,713,713
1441546091,712,712
1441547772,707,707
1441548849,708,708
1441549818,701,701
1441551375,703,703
1441552450,702,702
1441554130,699,699
1441555809,706,706
1441557728,694,694
1441559649,685,685
1441561332,697,697
1441563251,707,707
1441564089,707,707
1441565771,708,708
1441566848,715,715
1441567691,713,713
1441569369,715,715
1441570449,706,706
1441571292,698,698
1441572132,696,696
1441573811,698,698
1441574889,704,704
1441575730,703,703
1441577412,702,702
1441578488,696,696
1441579451,695,695
1441581031,695,695
1441582929,692,692
1441584616,701,701
1441586532,711,711
1441588449,723,723
1441590132,735,735
1441592051,753,753
1441592888,760,760
1441593687,772,772
1441595648,784,784
1441596910,794,794
1441598042,800,800
1441599250,813,813
1441600089,816,816
1441601770,825,825
1441602850,831,831
1441603692,837,837
1441604531,839,839
1441606230,841,841
1441607287,845,845
1441608130,842,842
1441609812,842,842
1441611728,845,845
1441613410,846,846
1441615330,842,842
1441617249,834,834
1441618088,832,832
1441619774,831,831
1441620850,834,834
1441621690,834,834
1441622530,832,832
1441624215,848,848
1441626130,836,836
1441628049,841,841
1441628888,839,839
1441629729,840,840
1441631650,854,854
1441632636,858,858
1441634291,860,860
1441636091,866,866
1441636932,869,869
1441638609,880,880
1441639689,883,883
1441641373,886,886
1441642450,888,888
1441643291,886,886
1441645927,885,885
1441647734,881,881
1441649651,896,896
1441650491,897,897
1441652289,891,891
1441654090,893,893
1441654931,891,891
1441656611,894,894
1441658530,897,897
1441660450,897,897
1441661291,897,897
1441662131,900,900
1441664051,905,905
1441664891,904,904
1441666600,904,904
1441667662,903,903
1441668494,904,904
1441669329,900,900
1441671325,903,903
1441672931,903,903
1441674610,897,897
1441675689,892,892
1441676529,892,892
1441678449,894,894
1441679296,900,900
1441681087,899,899
1441682894,901,901
1441683730,903,903
1441685411,910,910
1441687329,909,909
1441689250,911,911
1441690091,911,911
1441691890,916,916
1441693692,915,915
1441694531,916,916
1441696210,926,926
1441698130,917,917
1441700055,921,921
1441700892,918,918
1441701730,912,912
1441703409,913,913
1441705331,918,918
1441707252,926,926
1441708089,924,924
1441709770,925,925
1441710850,922,922
1441711816,930,930
1441713389,938,938
1441714449,938,938
1441716249,932,932
1441718049,937,937
1441718888,934,934
1441720569,936,936
1441721649,936,936
1441722493,933,933
1441723328,934,934
1441725010,943,943
1441726929,941,941
1441728848,946,946
1441729689,951,951
1441730531,953,953
1441732451,964,964
1441733290,962,962
1441734971,966,966
1441736051,968,968
1441736889,968,968
1441737869,971,971
1441739409,976,976
1441741331,976,976
1441743251,984,984
1441744091,983,983
1441745770,988,988
1441747651,986,986
1441749378,1008,1008
1441750449,1011,1011
1441751291,1009,1009
1441752252,1004,1004
1441754050,1003,1003
1441754890,1003,1003
1441756692,989,989
1441758492,979,979
1441759334,972,972
1441760998,967,967
1441762933,935,935
1441764850,928,928
1441765690,922,922
1441767368,903,903
1441768449,898,898
1441770133,876,876
1441771813,875,875
1441773730,859,859
1441775669,868,868
1441776616,866,866
1441778170,864,864
1441779249,869,869
1441780929,873,873
1441782609,876,876
1441783690,876,876
1441785371,887,887
1441786449,897,897
1441787419,901,901
1441788972,902,902
1441790051,904,904
1441791731,902,902
1441793649,902,902
1441794490,899,899
1441796173,902,902
1441797251,902,902
1441798090,900,900
1441799776,900,900
1441800851,911,911
1441801693,907,907
1441802532,910,910
1441804210,900,900
1441806128,907,907
1441808051,946,946
1441808888,936,936
1441810571,954,954
1441811650,954,954
1441812487,956,956
1441813329,955,955
1441815032,951,951
1441816090,952,952
1441817773,953,953
1441818852,952,952
1441819688,952,952
1441821375,956,956
1441822457,962,962
1441823290,958,958
1441824130,956,956
1441825091,951,951
1441826891,946,946
1441827729,947,947
1441829531,951,951
1441831331,956,956
1441833248,955,955
1441834091,957,957
1441834934,958,958
1441836850,964,964
1441837689,964,964
1441838533,962,962
1441840326,962,962
1441842156,967,967
1441844175,971,971
1441845729,976,976
1441846689,976,976
1441848509,978,978
1441849333,976,976
1441851128,981,981
1441852932,980,980
1441854849,978,978
1441855690,978,978
1441857489,981,981
1441859295,983,983
1441860129,984,984
1441861809,984,984
1441863017,980,980
1441863731,980,980
1441865650,989,989
1441866491,991,991
1441868196,1001,1001
1441869250,1004,1004
1441870218,1008,1008
1441871830,1013,1013
1441873688,1012,1012
1441874530,1016,1016
1441876449,1026,1026
1441877293,1027,1027
1441878952,1028,1028
1441880051,1034,1034
1441880890,1032,1032
1441881731,1031,1031
1441883529,1035,1035
1441885329,1035,1035
1441887251,1052,1052
1441888089,1055,1055
1441889886,1052,1052
1441891690,1057,1057
1441892528,1054,1054
1441894451,1060,1060
1441895293,1062,1062
1441897055,1063,1063
1441898892,1070,1070
1441899730,1066,1066
1441901528,1069,1069
1441903330,1066,1066
1441905252,1072,1072
1441906089,1064,1064
1441907893,1062,1062
1441909709,1062,1062
1441911491,1057,1057
1441913241,1052,1052
1441914129,1052,1052
1441916049,1056,1056
1441916890,1056,1056
1441918689,1036,1036
1441920488,1039,1039
1441921330,1035,1035
1441923252,1038,1038
1441924088,1035,1035
1441925773,1038,1038
1441926851,1033,1033
1441928528,1030,1030
1441930451,1031,1031
1441931294,1027,1027
1441932967,1036,1036
1441934048,1040,1040
1441934896,1037,1037
1441935754,1038,1038
1441937410,1049,1049
1441939328,1055,1055
1441941251,1058,1058
1441942093,1058,1058
1441943768,1064,1064
1441944610,1065,1065
1441945691,1072,1072
1441946530,1072,1072
1441948329,1078,1078
1441949290,1079,1079
1441950130,1081,1081
1441952071,1094,1094
1441952890,1096,1096
1441954689,1085,1085
1441956490,1096,1096
1441957331,1096,1096
1441959130,1104,1104
1441960934,1104,1104
1441962850,1106,1106
1441963688,1105,1105
1441964531,1110,1110
1441966451,1108,1108
1441967289,1108,1108
1441968961,1115,1115
1441970051,1120,1120
1441970890,1106,1106
1441971731,1107,1107
1441973411,1140,1140
1441975333,1190,1190
1441977250,1222,1222
1441978089,1219,1219
1441979769,1232,1232
1441980848,1229,1229
1441981690,1230,1230
1441982532,1225,1225
1441984210,1236,1236
1441986131,1224,1224
1441988051,1226,1226
1441988898,1223,1223
1441990569,1224,1224
1441991648,1219,1219
1441993330,1219,1219
1441995251,1222,1222
1441996093,1226,1226
1441997775,1235,1235
1442002451,1224,1224
1442003292,1219,1219
1442004130,1216,1216
1442006049,1220,1220
1442006888,1217,1217
1442008691,1220,1220
1442010490,1218,1218
1442011347,1219,1219
1442013029,1214,1214
1442014093,1213,1213
1442015890,1206,1206
1442017690,1210,1210
