DateTime,Entries,UniqueIPs
1441030448,15100,15100
1441031289,15085,15085
1441033088,15086,15086
1441034047,15121,15121
1441035010,15131,15131
1441036566,15159,15159
1441037647,15168,15168
1441040165,15194,15194
1441041246,15204,15204
1441042085,15208,15208
1441043767,15217,15217
1441044845,15229,15229
1441045687,15225,15225
1441046526,15221,15221
1441048208,15227,15227
1441049289,15225,15225
1441050129,15199,15199
1441052050,15197,15197
1441052892,15181,15181
1441054688,15157,15157
1441056487,15154,15154
1441057326,15147,15147
1441059249,15142,15142
1441060216,15106,15106
1441061811,15104,15104
1441062850,15115,15115
1441063691,15106,15106
1441064533,15110,15110
1441066447,15124,15124
1441067287,15120,15120
1441069034,15127,15127
1441070886,15147,15147
1441071729,15144,15144
1441073525,15152,15152
1441074486,15143,15143
1441075327,15142,15142
1441077249,15158,15158
1441078087,15143,15143
1441079767,15163,15163
1441080849,15164,15164
1441081813,15135,15135
1441083339,15132,15132
1441084447,15149,15149
1441085288,15138,15138
1441086969,15123,15123
1441088047,15119,15119
1441088886,15118,15118
1441089728,15119,15119
1441091651,15146,15146
1441092489,15143,15143
1441094154,15151,15151
1441095249,15160,15160
1441096092,15124,15124
1441096928,15122,15122
1441098609,15125,15125
1441100529,15115,15115
1441102450,15130,15130
1441103286,15158,15158
1441104969,15241,15241
1441106048,15251,15251
1441106891,15262,15262
1441107730,15276,15276
1441109408,15305,15305
1441111326,15295,15295
1441113249,15306,15306
1441114213,15278,15278
1441115767,15301,15301
1441116846,15318,15318
1441117688,15313,15313
1441118527,15319,15319
1441120208,15326,15326
1441121287,15355,15355
1441122966,15380,15380
1441124045,15414,15414
1441125015,15409,15409
1441126566,15463,15463
1441127647,15476,15476
1441128488,15468,15468
1441129327,15467,15467
1441131008,15489,15489
1441132930,15480,15480
1441134849,15477,15477
1441135688,15468,15468
1441137486,15464,15464
1441139287,15467,15467
1441140128,15463,15463
1441141926,15485,15485
1441143727,15495,15495
1441145648,15512,15512
1441146486,15504,15504
1441147450,15523,15523
1441149248,15538,15538
1441150088,15548,15548
1441151774,15572,15572
1441152850,15568,15568
1441153685,15570,15570
1441154528,15567,15567
1441156450,15573,15573
1441157287,15568,15568
1441158973,15575,15575
1441160047,15575,15575
1441160886,15569,15569
1441161728,15561,15561
1441163407,15568,15568
1441165326,15562,15562
1441167248,15572,15572
1441168929,15587,15587
1441170846,15618,15618
1441171689,15630,15630
1441173366,15671,15671
1441174446,15685,15685
1441175289,15670,15670
1441176130,15660,15660
1441177808,15658,15658
1441178888,15644,15644
1441180568,15635,15635
1441181649,15617,15617
1441182486,15439,15439
1441183328,15404,15404
1441185247,15357,15357
1441186086,15238,15238
1441187755,15225,15225
1441188849,15222,15222
1441189688,15213,15213
1441190526,15190,15190
1441192326,15177,15177
1441194126,15146,15146
1441196046,15183,15183
1441196890,15178,15178
1441198686,15125,15125
1441200487,15117,15117
1441201328,15099,15099
1441203127,15152,15152
1441204090,15109,15109
1441205767,15093,15093
1441206846,15092,15092
1441207814,15047,15047
1441208528,15038,15038
1441210209,15040,15040
1441212127,15016,15016
1441214047,15058,15058
1441214888,15064,15064
1441216568,15081,15081
1441217646,15079,15079
1441218486,15066,15066
1441219327,15075,15075
1441221006,15079,15079
1441222927,15063,15063
1441224847,15071,15071
1441225688,15046,15046
1441227367,15028,15028
1441228446,15033,15033
1441229289,15037,15037
1441230127,15040,15040
1441232048,15042,15042
1441232888,15028,15028
1441234568,15018,15018
1441235648,15021,15021
1441236486,14988,14988
1441237663,14984,14984
1441239213,14979,14979
1441240086,14965,14965
1441241777,14961,14961
1441242848,14968,14968
1441243687,14961,14961
1441245371,14952,14952
1441246448,14947,14947
1441248147,14926,14926
1441250047,14934,14934
1441250892,14933,14933
1441252570,14949,14949
1441253645,14959,14959
1441254489,14956,14956
1441255329,14950,14950
1441257248,14960,14960
1441258086,14951,14951
1441259768,14934,14934
1441260847,14940,14940
1441261685,14941,14941
1441262586,14930,14930
1441264447,14937,14937
1441265317,14922,14922
1441266987,14923,14923
1441268047,14935,14935
1441268892,14933,14933
1441269728,14918,14918
1441271410,15143,15143
1441273328,15041,15041
1441275011,15056,15056
1441276086,15044,15044
1441277766,15024,15024
1441278847,15016,15016
1441279707,15000,15000
1441280526,15010,15010
1441282208,15036,15036
1441284128,15053,15053
1441286047,15110,15110
1441286886,15093,15093
1441288567,15083,15083
1441289645,15097,15097
1441291292,15085,15085
1441293247,15118,15118
1441294088,15112,15112
1441295767,15139,15139
1441296846,15134,15134
1441297687,15129,15129
1441298527,15110,15110
1441300206,15125,15125
1441302132,15128,15128
1441304067,15149,15149
1441304887,15146,15146
1441306587,15153,15153
1441307647,15161,15161
1441308488,15148,15148
1441309328,15134,15134
1441311012,15117,15117
1441312927,15102,15102
1441314846,15114,15114
1441315689,15097,15097
1441317368,15075,15075
1441318447,15072,15072
1441319414,15048,15048
1441321000,15036,15036
1441322046,15033,15033
1441324114,15055,15055
1441325646,15061,15061
1441326485,15057,15057
1441328170,15063,15063
1441329252,15061,15061
1441330090,15053,15053
1441330933,15052,15052
1441332608,15063,15063
1441334528,15072,15072
1441336446,15099,15099
1441337286,15097,15097
1441338966,15112,15112
1441340048,15124,15124
1441340890,15111,15111
1441341728,15104,15104
1441343647,15091,15091
1441344486,15080,15080
1441346167,15090,15090
1441347249,15100,15100
1441348087,15097,15097
1441348928,15094,15094
1441350847,15142,15142
1441351686,15143,15143
1441353367,15144,15144
1441354448,15147,15147
1441355287,15140,15140
1441356128,15145,15145
1441358048,15161,15161
1441358844,15131,15131
1441360565,15124,15124
1441361646,15130,15130
1441362488,15140,15140
1441363328,15146,15146
1441364289,15132,15132
1441366092,15134,15134
1441366926,15136,15136
1441368847,15161,15161
1441369686,15166,15166
1441371371,15178,15178
1441372448,15172,15172
1441374129,15177,15177
1441376046,15201,15201
1441376886,15200,15200
1441378570,15239,15239
1441379652,15243,15243
1441381361,15233,15233
1441383247,15274,15274
1441384088,15276,15276
1441385773,15264,15264
1441386606,15252,15252
