DateTime,Entries,UniqueIPs
1440245651,66,66
1440249251,67,67
1440250930,67,67
1440256451,68,68
1440257413,67,67
1440258973,68,68
1440260051,67,67
1440261730,68,68
1440263651,69,69
1440269771,70,70
1440272532,68,68
1440275288,67,67
1440276971,67,67
1440278056,68,68
1440282492,67,67
1440284171,68,68
1440287830,67,67
1440288863,69,69
1440289691,71,71
1440291382,70,70
1440292451,71,71
1440294135,72,72
1440296049,73,73
1440296892,72,72
1440298570,74,74
1440303250,73,73
1440307692,72,72
1440314049,71,71
1440320176,70,70
1440327374,71,71
1440330970,73,73
1440333754,74,74
1440336489,75,75
1440340101,74,74
1440344537,75,75
1440349090,74,74
1440350889,75,75
1440353653,76,76
1440356169,78,78
1440358930,80,80
1440360728,81,81
1440362530,82,82
1440366951,81,81
1440369759,82,82
1440371651,81,81
1440375251,81,81
1440381386,80,80
1440382450,79,79
1440390488,80,80
1440396855,79,79
1440402131,78,78
1440404891,77,77
1440407651,76,76
1440409330,73,73
1440412091,72,72
1440413776,73,73
1440414849,75,75
1440419293,74,74
1440420130,73,73
1440421812,74,74
1440424574,72,72
1440426488,73,73
1440427331,72,72
1440430081,71,71
1440432851,70,70
1440434531,70,70
1440447254,71,71
1440449771,72,72
1440454450,82,82
1440455295,83,83
1440456969,85,85
1440458132,87,87
1440459730,86,86
1440462492,85,85
1440463336,84,84
1440466932,83,83
1440481342,82,82
1440486851,83,83
1440489376,82,82
1440498490,83,83
1440501010,82,82
1440504853,81,81
1440508451,82,82
1440509289,83,83
1440510132,84,84
1440513729,84,84
1440515650,83,83
1440516580,83,83
1440519013,84,84
1440520930,83,83
1440521773,82,82
1440522855,85,85
1440526217,84,84
1440528132,86,86
1440530050,84,84
1440530891,83,83
1440532572,84,84
1440533655,83,83
1440534492,82,82
1440538933,81,81
1440540851,82,82
1440541823,84,84
1440551653,83,83
1440555251,84,84
1440558851,85,85
1440559818,87,87
1440565793,88,88
1440570490,88,88
1440573251,90,90
1440577692,90,90
1440582134,88,88
1440584051,87,87
1440586691,86,86
1440592932,87,87
1440594309,88,88
1440599288,89,89
1440602049,90,90
1440603731,89,89
1440604690,90,90
1440607337,91,91
1440608971,92,92
1440615371,92,92
1440616449,91,91
1440618971,90,90
1440621729,90,90
1440624489,91,91
1440626172,90,90
1440632534,91,91
1440636036,90,90
1440637811,91,91
1440646931,90,90
1440648851,91,91
1440652451,92,92
1440653417,91,91
1440655813,90,90
1440669372,90,90
1440671291,91,91
1440672130,90,90
1440674050,91,91
1440678500,91,91
1440679334,89,89
1440681129,88,88
1440682929,87,87
1440684850,89,89
1440685688,86,86
1440687490,86,86
1440692892,83,83
1440695650,84,84
1440697332,84,84
1440699014,83,83
1440702854,81,81
1440705374,81,81
1440710895,79,79
1440723490,78,78
1440727089,76,76
1440729731,75,75
1440736093,74,74
1440740530,74,74
1440742211,73,73
1440744137,74,74
1440746051,73,73
1440751330,72,72
1440758531,73,73
1440762132,72,72
1440764051,71,71
1440764889,72,72
1440765731,73,73
1440769332,73,73
1440771012,74,74
1440772930,77,77
1440774851,76,76
1440777488,75,75
1440779290,74,74
1440782050,75,75
1440785652,75,75
1440789013,76,76
1440790928,77,77
1440793692,68,68
1440794531,68,68
1440798130,69,69
1440801773,68,68
1440803411,67,67
1440805337,66,66
1440807249,67,67
1440808089,70,70
1440809772,72,72
1440810852,73,73
1440818893,72,72
1440822489,71,71
1440826220,70,70
1440827771,71,71
1440832448,70,70
1440837731,69,69
1440839412,70,70
1440841328,69,69
1440844094,68,68
1440845770,67,67
1440848531,68,68
1440852977,67,67
1440854052,66,66
1440857411,65,65
1440859336,65,65
1440861249,67,67
1440862091,65,65
1440863774,64,64
1440864853,64,64
1440870133,65,65
1440872051,68,68
1440877332,70,70
1440882853,71,71
1440883819,73,73
1440888167,75,75
1440890051,77,77
1440890891,78,78
1440892576,79,79
1440893650,80,80
1440895333,81,81
1440898933,82,82
1440902533,81,81
1440908896,82,82
1440910570,82,82
1440912492,81,81
1440913333,82,82
1440916934,83,83
1440922450,84,84
1440925810,85,85
1440927730,86,86
1440930499,87,87
1440934088,85,85
1440940450,84,84
1440941288,84,84
1440942975,82,82
1440951249,83,83
1440952090,82,82
1440960131,81,81
1440962052,82,82
1440964576,82,82
1440967333,81,81
1440969250,82,82
1440970092,84,84
1440974557,85,85
1440977291,85,85
1440978152,84,84
1440980066,85,85
1440989773,86,86
1440993371,87,87
1440998053,86,86
1441000571,87,87
1441002491,88,88
1441006933,90,90
1441008852,89,89
1441011372,90,90
1441016049,91,91
1441017016,90,90
1441021330,91,91
1441023249,92,92
1441026854,93,93
1441028530,92,92
1441030451,93,93
1441031291,92,92
1441035018,91,91
1441036571,92,92
1441042087,91,91
1441044849,90,90
1441046528,89,89
1441050130,90,90
1441052894,90,90
1441054691,88,88
1441057330,87,87
1441059128,86,86
1441061061,81,81
1441063721,80,80
1441065493,81,81
1441069929,81,81
1441071731,82,82
1441073652,82,82
1441074489,83,83
1441078932,82,82
1441080851,83,83
1441081818,83,83
1441083349,82,82
1441085292,83,83
1441086973,82,82
1441093335,81,81
1441095251,79,79
1441098851,80,80
1441100533,79,79
1441104130,80,80
1441106053,79,79
1441110489,78,78
1441113251,79,79
1441118530,78,78
1441120452,80,80
1441121289,81,81
1441122974,82,82
1441124050,81,81
1441127650,82,82
1441129330,81,81
1441131251,83,83
1441132089,82,82
1441135692,82,82
1441137491,81,81
1441139291,82,82
1441142050,83,83
1441142890,82,82
1441144689,81,81
1441146490,79,79
1441150091,78,78
1441151776,80,80
1441156213,79,79
1441158132,80,80
1441160888,79,79
1441162570,80,80
1441167253,81,81
1441170850,80,80
1441176974,78,78
1441178052,77,77
1441180573,76,76
1441185250,77,77
1441187765,78,78
1441188853,79,79
1441189691,78,78
1441194129,77,77
1441196892,75,75
1441197729,74,74
1441203250,75,75
1441204093,76,76
1441205773,76,76
1441207837,77,77
1441212971,76,76
1441214051,75,75
1441214891,76,76
1441222096,75,75
1441225691,74,74
1441226531,73,73
1441230131,75,75
1441232051,76,76
1441233975,75,75
1441235651,76,76
1441236488,76,76
1441237665,75,75
1441239165,74,74
1441240427,75,75
1441241785,77,77
1441244533,74,74
1441247290,75,75
1441248149,74,74
1441249813,74,74
1441251732,73,73
1441256168,72,72
1441257251,73,73
1441258093,74,74
1441261690,75,75
1441268895,74,74
1441271413,75,75
1441273332,73,73
1441275014,72,72
1441276090,73,73
1441282452,74,74
1441284970,75,75
1441286050,74,74
1441286893,75,75
1441289410,74,74
1441294090,75,75
1441296851,74,74
1441297690,75,75
1441300212,74,74
1441302132,73,73
1441306589,74,74
1441308491,72,72
1441309330,71,71
1441311251,70,70
1441312090,69,69
1441313776,69,69
1441316534,70,70
1441318213,71,71
1441320161,72,72
1441322048,71,71
1441326487,72,72
1441327338,71,71
1441329254,72,72
1441330936,71,71
1441332853,70,70
1441335372,71,71
1441336450,70,70
1441338129,71,71
1441340051,72,72
1441345333,73,73
1441347010,74,74
1441350851,75,75
1441351688,74,74
1441353371,73,73
1441354451,72,72
1441356130,73,73
1441358846,72,72
1441360570,73,73
1441363334,73,73
1441366092,74,74
1441370532,76,76
1441372211,76,76
1441373291,75,75
1441379417,76,76
1441381363,77,77
1441385051,76,76
1441386610,75,75
1441388296,74,74
1441392975,73,73
1441397651,88,88
1441398488,88,88
1441399334,87,87
1441402933,91,91
1441404849,89,89
1441410129,88,88
1441411830,86,86
1441412888,87,87
1441418174,86,86
1441420933,85,85
1441425370,85,85
1441427292,84,84
1441428131,83,83
1441429810,84,84
1441430892,83,83
1441435330,84,84
1441444450,88,88
1441446131,87,87
1441448889,86,86
1441450691,85,85
1441452492,84,84
1441454290,82,82
1441457890,83,83
1441459836,81,81
1441461369,83,83
1441462451,82,82
1441464129,81,81
1441467730,82,82
1441469551,84,84
1441474930,85,85
1441476849,86,86
1441479373,87,87
1441481289,88,88
1441482977,89,89
1441484049,90,90
1441484909,92,92
1441486572,94,94
1441488488,98,98
1441490178,101,101
1441492090,102,102
1441493779,103,103
1441494869,103,103
1441495788,102,102
1441500135,103,103
1441502052,106,106
1441507334,106,106
1441509250,107,107
1441512850,108,108
1441520049,107,107
1441520888,108,108
1441528219,106,106
1441534231,108,108
1441537810,109,109
1441539732,109,109
1441545251,110,110
1441547772,111,111
1441549819,109,109
1441553288,108,108
1441558572,109,109
1441563251,110,110
1441564090,109,109
1441566563,110,110
1441567691,109,109
1441568698,108,108
1441570209,108,108
1441572133,107,107
1441575730,107,107
1441581270,108,108
1441583772,109,109
1441587488,110,110
1441589291,111,111
1441591094,112,112
1441594918,111,111
1441599250,112,112
1441603692,111,111
1441613410,109,109
1441622530,110,110
1441628889,111,111
1441631650,112,112
1441633349,114,114
1441635251,114,114
1441638849,115,115
1441639690,116,116
1441641373,115,115
1441644131,116,116
1441646049,117,117
1441646909,116,116
1441648690,117,117
1441650491,118,118
1441653253,119,119
1441655771,115,115
1441657691,112,112
1441658531,110,110
