DateTime,Entries,UniqueIPs
1441671321,4405,4405
1441672926,4436,4436
1441673766,4444,4444
1441674845,4467,4467
1441675685,4469,4469
1441676524,4471,4471
1441678204,4493,4493
1441680124,4501,4501
1441682044,4509,4509
1441683726,4509,4509
1441685644,4511,4511
1441686483,4507,4507
1441688284,4516,4516
1441690085,4525,4525
1441691886,4529,4529
1441693684,4548,4548
1441694527,4550,4550
1441696443,4562,4562
1441698124,4564,4564
1441700046,4585,4585
1441700884,4582,4582
1441702564,4586,4586
1441703645,4596,4596
1441704485,4597,4597
1441705327,4599,4599
1441707006,4624,4624
1441708925,4642,4642
1441710606,4651,4651
1441712644,4693,4693
1441714444,4737,4737
1441715284,4741,4741
1441716964,4746,4746
1441718044,4749,4749
1441718884,4748,4748
1441719726,4762,4762
1441721404,4806,4806
1441723324,4830,4830
1441725244,4836,4836
1441726086,4838,4838
1441727764,4843,4843
1441728844,4841,4841
1441729684,4841,4841
1441731367,4839,4839
1441732446,4842,4842
1441734123,4825,4825
1441736045,4831,4831
1441736884,4825,4825
1441738565,4825,4825
1441739644,4824,4824
1441740485,4767,4767
1441742166,4670,4670
1441743246,4621,4621
1441744925,4411,4411
1441746848,4340,4340
1441747647,4242,4242
1441749370,4132,4132
1441750443,4096,4096
1441751285,4021,4021
1441752244,3950,3950
1441753809,3915,3915
1441755725,3807,3807
1441757645,3755,3755
1441758488,3708,3708
1441760166,3662,3662
1441761245,3649,3649
1441762927,3546,3546
1441764845,3517,3517
1441765685,3500,3500
1441767364,3493,3493
1441768444,3499,3499
1441769288,3486,3486
1441770968,3477,3477
1441772046,3482,3482
1441773009,3455,3455
1441774567,3447,3447
1441775644,3445,3445
1441777325,3430,3430
1441779244,3435,3435
1441780925,3424,3424
1441782844,3441,3441
1441783685,3438,3438
1441785364,3433,3433
1441786444,3446,3446
1441787412,3445,3445
1441788966,3448,3448
1441790044,3453,3453
1441791724,3451,3451
1441793404,3461,3461
1441795326,3466,3466
1441797246,3519,3519
1441798085,3525,3525
1441799770,3525,3525
1441800844,3532,3532
1441801688,3533,3533
1441802528,3527,3527
1441804205,3540,3540
1441805285,3538,3538
1441806125,3530,3530
1441807804,3530,3530
1441809725,3506,3506
1441811645,3482,3482
1441812484,3461,3461
1441814163,3448,3448
1441815245,3455,3455
1441816085,3449,3449
1441816925,3449,3449
1441818575,3498,3498
1441820526,3525,3525
1441822454,3527,3527
1441823285,3521,3521
1441824125,3528,3528
1441826044,3529,3529
1441826884,3523,3523
1441828684,3517,3517
1441830484,3505,3505
1441831324,3462,3462
1441832285,3421,3421
1441834084,3377,3377
1441834927,3331,3331
1441836846,3277,3277
1441837684,3178,3178
1441839364,3121,3121
1441840445,3096,3096
1441841526,3043,3043
1441843050,3003,3003
1441844890,2982,2982
1441845725,2964,2964
1441846685,2944,2944
1441848505,2929,2929
1441849327,2915,2915
1441851124,2909,2909
1441852926,2896,2896
1441854844,2901,2901
1441855685,2900,2900
1441856526,2897,2897
1441858444,2896,2896
1441859288,2887,2887
1441860967,2876,2876
1441862045,2871,2871
1441863010,2849,2849
1441864683,2842,2842
1441866485,2846,2846
1441867325,2839,2839
1441869245,2831,2831
1441870213,2811,2811
1441871819,2804,2804
1441872846,2802,2802
1441873684,2783,2783
1441875435,2744,2744
1441877284,2708,2708
1441878125,2707,2707
1441879804,2696,2696
1441881727,2639,2639
1441883645,2621,2621
1441884484,2601,2601
1441886182,2603,2603
1441887245,2615,2615
1441888085,2624,2624
1441888924,2621,2621
1441889880,2583,2583
1441891685,2562,2562
1441892524,2545,2545
1441894203,2543,2543
1441896126,2539,2539
1441898045,2536,2536
1441898884,2541,2541
1441900684,2545,2545
1441902484,2554,2554
1441903325,2556,2556
1441904285,2569,2569
1441906084,2581,2581
1441906928,2588,2588
1441908846,2599,2599
1441910525,2612,2612
1441912445,2627,2627
1441913237,2629,2629
1441915030,2623,2623
1441916884,2629,2629
1441918684,2629,2629
1441920484,2639,2639
1441921325,2639,2639
1441923246,2661,2661
1441924084,2662,2662
1441925165,2658,2658
1441926845,2675,2675
1441927684,2672,2672
1441929365,2665,2665
1441930444,2669,2669
1441931288,2663,2663
1441932125,2660,2660
1441933804,2664,2664
1441935729,2671,2671
1441937647,2676,2676
1441939324,2668,2668
1441941244,2684,2684
1441942087,2676,2676
1441943752,2672,2672
1441945444,2677,2677
1441946525,2686,2686
1441947484,2689,2689
1441949285,2695,2695
1441951084,2690,2690
1441952884,2697,2697
1441953726,2687,2687
1441955524,2694,2694
1441957324,2689,2689
1441959246,2699,2699
1441960084,2687,2687
1441961766,2690,2690
1441962844,2683,2683
1441964525,2664,2664
1441966444,2616,2616
1441967284,2588,2588
1441968127,2581,2581
1441970046,2578,2578
1441970885,2573,2573
1441972567,2574,2574
1441973647,2575,2575
1441974484,2566,2566
1441975326,2572,2572
1441977005,2584,2584
1441978927,2588,2588
1441980844,2594,2594
1441981685,2589,2589
1441982527,2583,2583
1441984447,2591,2591
1441985284,2582,2582
1441986967,2597,2597
1441988043,2599,2599
1441988894,2504,2504
1441989726,2497,2497
1441991405,2515,2515
1441993326,2509,2509
1441995246,2517,2517
1441996926,2516,2516
1442002444,2534,2534
1442003288,2525,2525
1442005084,2513,2513
