DateTime,Entries,UniqueIPs
1442183411,20317,20317
1442184021,20250,20250
1442184604,20461,20461
1442185204,20643,20643
1442185804,20721,20721
1442186405,20696,20696
1442187006,20581,20581
1442187610,20401,20401
1442188205,20395,20395
1442188804,20500,20500
1442189708,20485,20485
1442190308,20538,20538
1442190905,20529,20529
1442191505,20517,20517
1442192104,20508,20508
1442192710,20428,20428
1442193306,20449,20449
1442193905,20533,20533
1442194215,20549,20549
1442194803,20550,20550
1442195405,20547,20547
1442196007,20637,20637
1442196606,20616,20616
1442197204,20614,20614
1442197803,20626,20626
1442198404,20618,20618
1442199005,20611,20611
1442199605,20592,20592
1442200204,20598,20598
1442201114,20580,20580
1442201705,20586,20586
1442202011,20576,20576
1442202605,20556,20556
1442203203,20582,20582
1442203808,20498,20498
1442204405,20505,20505
1442205012,20480,20480
1442205604,20630,20630
1442206206,20622,20622
1442206809,20530,20530
1442207404,20808,20808
1442208007,20790,20790
1442208604,20899,20899
1442209513,20971,20971
1442210108,20858,20858
1442210705,20903,20903
1442211008,20821,20821
1442211604,20779,20779
1442212206,20763,20763
1442212804,20883,20883
1442213403,20871,20871
1442214004,20962,20962
1442214605,20933,20933
1442215204,20926,20926
1442215803,21023,21023
1442216407,21102,21102
1442217005,21191,21191
1442217604,21191,21191
1442218210,21095,21095
1442218808,21063,21063
1442220605,21008,21008
1442221221,20872,20872
1442222114,20752,20752
1442222704,20735,20735
1442223306,20742,20742
1442223908,20730,20730
1442224505,20737,20737
1442225108,21016,21016
1442225706,20992,20992
1442226306,20994,20994
1442226915,20928,20928
1442227512,20852,20852
1442228111,20740,20740
1442228419,20643,20643
1442229311,20636,20636
1442229907,20625,20625
1442230506,20620,20620
1442230822,20530,20530
1442231406,20528,20528
1442232004,20510,20510
1442232907,20417,20417
1442233211,20350,20350
1442233808,20528,20528
1442234405,20615,20615
1442235005,20601,20601
1442235606,20586,20586
1442236514,20414,20414
1442237106,20407,20407
1442237704,20410,20410
1442238304,20422,20422
1442239204,20665,20665
1442240104,20677,20677
1442240706,20733,20733
1442241016,20743,20743
1442241607,21058,21058
1442242205,21099,21099
1442242805,21481,21481
1442243405,21538,21538
1442244004,21625,21625
1442244617,21471,21471
1442245204,21452,21452
1442245805,21404,21404
1442246408,21503,21503
1442247011,21612,21612
