DateTime,AddedIPs,RemovedIPs
1439723343,71,71
1439729643,152,111
1439737743,76,85
1439739903,56,74
1439741882,76,65
1439748003,101,74
1439750163,67,78
1439756283,110,124
1439762405,60,76
1439766543,97,169
1439772843,131,152
1439780943,165,170
1439789223,154,174
1439793363,94,60
1439797503,123,82
1439803623,80,59
1439807763,57,78
1439811903,77,58
1439813893,67,73
1439820004,107,118
1439828283,137,116
1439834404,137,139
1439840703,78,84
1439844843,133,119
1439850963,81,102
1439857083,127,173
1439863204,136,152
1439869503,102,121
1439871483,89,102
1439875623,93,84
1439881743,130,100
1439888043,127,100
1439896143,102,122
1439900306,79,46
1439906415,111,106
1439912715,80,75
1439914695,72,55
1439918822,75,71
1439924943,148,116
1439933222,115,131
1439937707,57,88
1439942031,126,181
1439950146,152,164
1439954298,100,117
1439960418,170,184
1439964545,95,69
1439970846,71,66
1439972826,86,57
1439976977,76,69
1439983099,111,119
1439991379,127,102
1439997474,123,111
1440003609,143,118
1440009908,141,131
1440018009,114,131
1440024304,108,183
1440032305,93,95
1440034565,60,79
1440040685,191,181
1440044822,93,120
1440048963,87,104
1440055084,159,148
1440059223,126,75
1440063365,80,64
1440067505,83,59
1440071643,129,104
1440077764,122,111
1440086042,56,66
1440090005,127,107
1440098283,140,123
1440104405,104,133
1440110704,106,150
1440118804,128,155
1440122943,90,76
1440129243,158,176
1440139504,78,93
1440141484,138,141
1440147603,170,106
1440151743,64,58
1440158419,72,44
1440160572,53,66
1440166685,109,101
1440172805,109,116
1440181084,122,106
1440187206,80,73
1440191343,107,115
1440199624,90,125
1440205743,117,144
1440214025,165,183
1440220143,154,193
1440226443,135,108
1440232573,72,51
1440238684,127,109
1440242823,61,56
1440246977,100,94
1440253084,73,59
1440259206,64,54
1440261379,63,54
1440265504,59,78
1440271623,119,118
1440275775,62,68
1440279778,59,62
1440284043,86,120
1440292033,121,163
1440298443,155,167
1440304575,172,184
1440312843,129,83
1440316804,68,63
1440323104,133,99
1440331205,125,100
1440337125,66,48
1440343087,109,103
1440349208,113,97
1440357487,125,129
1440365767,94,145
1440371888,87,145
1440377998,79,93
1440380168,52,74
1440384848,154,173
1440390967,96,110
1440397087,160,129
1440401226,55,68
1440407887,129,91
1440416168,137,91
1440420316,69,69
1440426426,116,91
1440430567,127,107
1440438849,80,64
1440442809,149,110
1440449117,60,72
1440455227,117,154
1440459367,65,98
1440461349,86,92
1440467647,59,82
1440473767,161,167
1440479887,161,181
1440486008,141,104
1440490146,67,58
1440496446,113,98
1440502568,62,57
1440506717,105,94
1440514808,106,92
1440523088,118,94
1440529208,147,119
1440537488,105,129
1440541626,70,92
1440545768,57,84
1440549918,118,160
1440558550,165,176
1440564849,172,184
1440570970,136,112
1440577087,76,53
1440581226,65,61
1440585367,83,61
1440589508,62,58
1440591501,60,68
1440595626,60,61
1440599767,80,59
1440603906,59,58
1440608046,116,105
1440614168,96,66
1440620290,138,141
1440626414,112,151
1440634688,132,156
1440640813,58,88
1440644948,87,93
1440649087,173,202
1440653255,77,91
1440659345,139,89
1440667626,128,104
1440669980,0,0
1440672307,119,100
1440678426,76,55
1440682567,112,112
1440690846,148,96
1440698946,130,130
1440705248,83,78
1440707226,61,77
1440711368,54,71
1440717487,106,165
1440723609,134,154
1440729908,155,197
1440738009,159,169
1440746288,124,108
1440750426,132,76
1440756546,71,58
1440760688,66,55
1440764826,74,51
1440768969,66,73
1440775087,114,104
1440779226,68,71
1440783367,80,70
1440787507,86,80
1440791646,119,110
1440799746,84,123
1440803887,65,75
1440808026,87,89
1440814149,116,178
1440818292,95,104
1440824409,161,176
1440830708,81,69
1440834846,76,48
1440838809,66,45
1440840968,75,52
1440845109,71,56
1440851241,117,89
1440857346,100,97
1440861487,67,55
1440867610,102,115
1440875887,71,63
1440878048,108,138
1440886147,106,127
1440892448,60,95
1440896409,91,82
1440898570,71,85
1440902708,84,88
1440906847,161,207
1440912970,91,94
1440914946,77,55
1440921247,55,47
1440925209,130,63
1440931508,70,62
1440935648,126,122
1440943747,120,97
1440947888,67,63
1440954008,136,118
1440960308,90,81
1440966427,107,126
1440972545,113,166
1440981370,124,170
1440990959,184,218
1440998288,152,162
1441002428,85,77
1441008547,65,42
1441010718,68,53
1441014846,76,55
1441018809,77,57
1441022946,92,104
1441029246,64,55
1441033210,118,90
1441040957,137,117
1441045088,86,73
1441049225,73,71
1441053368,131,125
1441063632,103,201
1441069764,114,92
1441071910,53,94
1441076048,116,86
1441082187,209,210
1441088290,180,144
1441094415,140,93
1441102691,121,97
1441110967,111,111
1441117088,127,106
1441123213,81,75
1441125368,69,73
1441131488,159,109
1441137612,127,136
1441143907,108,88
1441148046,95,189
1441156157,129,137
1441160294,97,104
1441164429,93,119
1441170573,110,102
1441172709,152,129
1441180813,71,60
1441184960,125,99
1441193226,107,98
1441199357,110,89
1441205647,72,57
1441209613,85,68
1441211767,66,82
1441215907,81,57
1441217888,87,74
1441224011,142,115
1441230307,68,94
1441234446,67,87
1441240278,116,172
1441242566,64,97
1441250826,176,189
1441256967,86,111
1441259109,100,94
1441263247,77,68
1441267213,118,103
1441273509,70,62
1441277646,61,56
1441281612,58,49
1441285756,114,101
1441292048,81,65
1441296014,136,95
1441304289,158,113
1441310414,108,126
1441318688,128,145
1441324819,146,184
1441331108,54,83
1441335246,155,176
1441343356,159,176
1441347487,94,64
1441355768,128,79
1441359908,68,65
1441366026,95,102
1441370168,72,73
1441374310,60,58
1441380427,133,97
1441386559,115,106
1441390690,73,64
1441394827,65,60
1441400958,104,124
1441407247,110,201
1441413370,130,87
1441418948,57,80
1441421110,153,189
1441428313,153,174
1441436991,142,88
1441442173,71,50
