DateTime,Entries,UniqueIPs
1439762405,6145,6145
1439766543,6073,6073
1439772843,6052,6052
1439780943,6047,6047
1439789223,6027,6027
1439793363,6061,6061
1439797503,6102,6102
1439803623,6123,6123
1439807763,6102,6102
1439811903,6121,6121
1439813893,6115,6115
1439820004,6104,6104
1439828283,6125,6125
1439834404,6123,6123
1439840703,6117,6117
1439844843,6131,6131
1439850963,6110,6110
1439857083,6064,6064
1439863204,6048,6048
1439869503,6029,6029
1439871483,6016,6016
1439875623,6025,6025
1439881743,6055,6055
1439888043,6082,6082
1439896143,6062,6062
1439900306,6095,6095
1439906415,6100,6100
1439912715,6105,6105
1439914695,6122,6122
1439918822,6126,6126
1439924943,6158,6158
1439933222,6142,6142
1439937707,6111,6111
1439942031,6056,6056
1439950146,6044,6044
1439954298,6027,6027
1439960418,6013,6013
1439964545,6039,6039
1439970846,6044,6044
1439972826,6073,6073
1439976977,6080,6080
1439983099,6072,6072
1439991379,6097,6097
1439997474,6109,6109
1440003609,6134,6134
1440009908,6144,6144
1440018009,6127,6127
1440024304,6052,6052
1440032305,6050,6050
1440034565,6031,6031
1440040685,6041,6041
1440044822,6014,6014
1440048963,5997,5997
1440055084,6008,6008
1440059223,6059,6059
1440063365,6075,6075
1440067505,6099,6099
1440071643,6124,6124
1440077764,6135,6135
1440086042,6125,6125
1440090005,6145,6145
1440098283,6162,6162
1440104405,6133,6133
1440110704,6089,6089
1440118804,6062,6062
1440122943,6076,6076
1440129243,6058,6058
1440139504,6043,6043
1440141484,6040,6040
1440147603,6104,6104
1440151743,6110,6110
1440158419,6138,6138
1440160572,6125,6125
1440160572,6125,6125
1440166685,6133,6133
1440172805,6126,6126
1440181084,6142,6142
1440187206,6149,6149
1440191343,6141,6141
1440199624,6106,6106
1440205743,6079,6079
1440214025,6061,6061
1440220143,6022,6022
1440226443,6049,6049
1440232573,6070,6070
1440238684,6088,6088
1440242823,6093,6093
1440246977,6099,6099
1440253084,6113,6113
1440259206,6123,6123
1440261379,6132,6132
1440265504,6113,6113
1440271623,6114,6114
1440275775,6108,6108
1440279778,6105,6105
1440284043,6071,6071
1440292033,6029,6029
1440298443,6017,6017
1440304575,6005,6005
1440312843,6051,6051
1440316804,6056,6056
1440323104,6090,6090
1440331205,6115,6115
1440337125,6133,6133
1440343087,6139,6139
1440349208,6155,6155
1440357487,6151,6151
1440365767,6100,6100
1440371888,6042,6042
1440377998,6028,6028
1440380168,6006,6006
1440384848,5987,5987
1440390967,5973,5973
1440397087,6004,6004
1440401226,5991,5991
1440407887,6029,6029
1440416168,6075,6075
1440420316,6075,6075
1440426426,6100,6100
1440430567,6120,6120
1440438849,6136,6136
1440442809,6175,6175
1440449117,6163,6163
1440455227,6126,6126
1440459367,6093,6093
1440461349,6087,6087
1440467647,6064,6064
1440473767,6058,6058
1440479887,6038,6038
1440486008,6075,6075
1440490146,6084,6084
1440496446,6099,6099
1440502568,6104,6104
1440506717,6115,6115
1440514808,6129,6129
1440523088,6153,6153
1440529208,6181,6181
1440537488,6157,6157
1440541626,6135,6135
1440545768,6108,6108
1440549918,6066,6066
1440558550,6055,6055
1440564849,6043,6043
1440570970,6067,6067
1440577087,6090,6090
1440581226,6094,6094
1440585367,6116,6116
1440589508,6120,6120
1440591501,6112,6112
1440595626,6111,6111
1440599767,6132,6132
1440603906,6133,6133
1440608046,6144,6144
1440614168,6174,6174
1440620290,6171,6171
1440626414,6132,6132
1440634688,6108,6108
1440640813,6078,6078
1440644948,6072,6072
1440649087,6043,6043
1440653255,6029,6029
1440659345,6079,6079
1440667626,6103,6103
1440669980,6103,6103
1440672307,6122,6122
1440678426,6143,6143
1440682567,6143,6143
1440690846,6195,6195
1440698946,6195,6195
1440705248,6200,6200
1440707226,6184,6184
1440711368,6167,6167
1440717487,6108,6108
1440723609,6088,6088
1440729908,6046,6046
1440738009,6036,6036
1440746288,6052,6052
1440750426,6108,6108
1440756546,6121,6121
1440760688,6132,6132
1440764826,6155,6155
1440768969,6148,6148
1440775087,6158,6158
1440779226,6155,6155
1440783367,6165,6165
1440787507,6171,6171
1440791646,6180,6180
1440799746,6141,6141
1440803887,6131,6131
1440808026,6129,6129
1440814149,6067,6067
1440818292,6058,6058
1440824409,6043,6043
1440830708,6055,6055
