DateTime,Entries,UniqueIPs
1440658464,1122,1122
1440660454,1130,1130
1440662429,1094,1094
1440664598,1097,1097
1440666579,1086,1086
1440668532,1112,1112
1440668532,1079,1079
1440671814,1076,1076
1440673779,1074,1074
1440675939,1070,1070
1440677929,1082,1082
1440680067,1088,1088
1440682046,1105,1105
1440684032,1114,1114
1440686190,1104,1104
1440688178,1111,1111
1440690334,1099,1099
1440692314,1112,1112
1440694457,1110,1110
1440696493,1109,1109
1440698427,1099,1099
1440700623,1094,1094
1440702570,1087,1087
1440704739,1082,1082
1440706712,1092,1092
1440708867,1088,1088
1440710842,1090,1090
1440712836,1094,1094
1440714988,1085,1085
1440716975,1087,1087
1440719127,1085,1085
1440721112,1090,1090
1440723262,1086,1086
1440725258,1105,1105
1440727811,1110,1110
1440729990,1121,1121
1440731939,1126,1126
1440734125,1104,1104
1440736143,1117,1117
1440738232,1130,1130
1440740253,1146,1146
1440742339,1151,1151
1440744417,1166,1166
1440746456,1172,1172
1440748485,1171,1171
1440750513,1182,1182
1440752445,1183,1183
1440754661,1188,1188
1440756585,1172,1172
1440758798,1182,1182
1440760731,1176,1176
1440762920,1169,1169
1440764887,1179,1179
1440766848,1162,1162
1440769136,1152,1152
1440771054,1131,1131
1440773202,1152,1152
1440775194,1153,1153
1440777331,1144,1144
1440779267,1143,1143
1440781248,1151,1151
1440783534,1146,1146
1440785427,1139,1139
1440787595,1145,1145
1440789519,1148,1148
1440791731,1142,1142
1440793670,1143,1143
1440795655,1145,1145
1440797905,1140,1140
1440799792,1132,1132
1440802037,1125,1125
1440803925,1130,1130
1440806125,1129,1129
1440808071,1122,1122
1440810048,1123,1123
1440812282,1124,1124
1440814200,1140,1140
1440816486,1105,1105
1440818351,1102,1102
1440820483,1125,1125
1440822552,1124,1124
1440824455,1154,1154
1440826680,1141,1141
1440828589,1170,1170
1440830801,1172,1172
1440832730,1163,1163
1440834915,1129,1129
1440836850,1167,1167
1440838843,1141,1141
1440841063,1120,1120
1440842985,1146,1146
1440845200,1124,1124
1440847128,1146,1146
1440849325,1140,1140
1440851299,1135,1135
1440853242,1165,1165
1440855459,1170,1170
1440857380,1167,1167
1440859598,1186,1186
1440861533,1178,1178
1440863725,1185,1185
1440865662,1194,1194
1440867667,1161,1161
1440869873,1191,1191
1440871789,1207,1207
1440873589,1213,1213
1440875965,1204,1204
1440878076,1233,1233
1440880107,1213,1213
1440882042,1233,1233
1440884257,1240,1240
1440886190,1241,1241
1440888391,1233,1233
1440890321,1248,1248
1440892527,1235,1235
1440894461,1262,1262
1440896448,1270,1270
1440898704,1255,1255
1440900592,1273,1273
1440902800,1278,1278
1440904727,1276,1276
1440906924,1264,1264
1440908861,1301,1301
1440910849,1307,1307
1440913075,1313,1313
1440914985,1318,1318
1440917239,1291,1291
1440919119,1319,1319
1440921326,1287,1287
1440923257,1287,1287
1440925239,1312,1312
1440927451,1326,1326
1440929382,1324,1324
1440931592,1310,1310
1440933520,1334,1334
1440935727,1313,1313
1440937679,1352,1352
1440939642,1341,1341
1440941850,1323,1323
1440943787,1303,1303
1440945991,1329,1329
1440947929,1320,1320
1440950148,1283,1283
1440952068,1283,1283
1440954041,1303,1303
1440956278,1271,1271
1440958227,1269,1269
1440960401,1276,1276
1440962324,1296,1296
1440964465,1297,1297
1440966457,1299,1299
1440968436,1296,1296
1440970605,1298,1298
1440972572,1298,1298
1440975107,1273,1273
1440977323,1279,1279
1440979243,1279,1279
1440981468,1268,1268
1440986800,1249,1249
1440991081,1230,1230
1440994216,1215,1215
1440996522,1204,1204
1440998840,1210,1210
1441000819,1207,1207
1441002986,1204,1204
1441004959,1183,1183
1441007127,1191,1191
1441009125,1200,1200
1441011257,1179,1179
1441013230,1198,1198
1441015224,1178,1178
1441017381,1175,1175
1441019365,1192,1192
1441021525,1192,1192
1441023536,1201,1201
1441025652,1178,1178
1441027640,1195,1195
1441029623,1211,1211
1441031802,1211,1211
