DateTime,Entries,UniqueIPs
1440684032,65,65
1440686190,48,48
1440688178,50,50
1440690334,57,57
1440692314,70,70
1440694457,59,59
1440696493,64,64
1440698427,50,50
1440700623,56,56
1440702570,53,53
1440704739,55,55
1440706712,58,58
1440708867,43,43
1440710842,56,56
1440712836,52,52
1440714988,21,21
1440716975,13,13
1440719127,50,50
1440721112,48,48
1440723262,35,35
1440725258,64,64
1440727811,46,46
1440729990,66,66
1440731939,49,49
1440734125,21,21
1440736143,54,54
1440738232,43,43
1440740253,53,53
1440742339,66,66
1440744417,60,60
1440746456,54,54
1440748485,71,71
1440750513,70,70
1440752445,46,46
1440754661,49,49
1440756585,43,43
1440758798,26,26
1440760731,14,14
1440762920,50,50
1440764887,64,64
1440766848,35,35
1440769136,55,55
1440771054,48,48
1440773202,65,65
1440775194,63,63
1440777331,40,40
1440779267,59,59
1440781248,47,47
1440783534,58,58
1440785427,46,46
1440787595,58,58
1440789519,45,45
1440791731,44,44
1440793670,62,62
1440795655,52,52
1440797905,49,49
1440799792,47,47
1440802037,11,11
1440803925,31,31
1440806125,43,43
1440808071,35,35
1440810048,40,40
1440812282,63,63
1440814200,49,49
1440816486,60,60
1440818351,42,42
1440820483,51,51
1440822552,60,60
1440824455,54,54
1440826680,56,56
1440828589,62,62
1440830801,57,57
1440832730,57,57
1440834915,62,62
1440836850,64,64
1440838843,52,52
1440841063,61,61
1440842985,60,60
1440845200,16,16
1440847128,49,49
1440849325,51,51
1440851299,51,51
1440853242,69,69
1440855459,45,45
1440857380,48,48
1440859598,57,57
1440861533,60,60
1440863725,69,69
1440865662,67,67
1440867667,61,61
1440869873,66,66
1440871789,66,66
1440873589,55,55
1440875965,66,66
1440878076,52,52
1440880107,49,49
1440882042,45,45
1440884257,47,47
1440886190,61,61
1440888391,14,14
1440890321,47,47
1440892527,36,36
1440894461,63,63
1440896448,43,43
1440898704,49,49
1440900592,55,55
1440902800,62,62
1440904727,56,56
1440906924,54,54
1440908861,73,73
1440910849,62,62
1440913075,56,56
1440914985,68,68
1440917239,71,71
1440919119,63,63
1440921326,50,50
1440923257,72,72
1440925239,45,45
1440927451,61,61
1440929382,58,58
1440931592,22,22
1440933520,58,58
1440935727,50,50
1440937679,69,69
1440939642,40,40
1440941850,48,48
1440943787,62,62
1440945991,55,55
1440947929,62,62
1440950148,55,55
1440952068,63,63
1440954041,49,49
1440956278,43,43
1440958227,56,56
1440960401,60,60
1440962324,63,63
1440964465,59,59
1440966457,62,62
1440968436,40,40
1440970605,45,45
1440972572,46,46
1440975107,24,24
1440977323,42,42
1440979243,35,35
1440981468,42,42
1440986800,49,49
1440991081,55,55
1440994216,57,57
1440996522,47,47
1440998840,70,70
1441000819,53,53
1441002986,61,61
1441004959,45,45
1441007127,69,69
1441009125,67,67
1441011257,52,52
1441013230,74,74
1441015224,43,43
1441017381,37,37
1441019365,51,51
1441021525,63,63
1441023536,57,57
1441025652,51,51
1441027640,60,60
1441029623,64,64
1441031802,52,52
1441033759,52,52
1441035920,61,61
1441037894,59,59
1441041112,58,58
1441043161,75,75
1441045226,64,64
1441047243,38,38
1441049304,47,47
1441051248,50,50
1441053441,38,38
1441055399,40,40
1441057560,51,51
1441059533,49,49
1441061661,12,12
1441063656,64,64
1441065647,55,55
1441067805,54,54
1441069795,44,44
1441071939,46,46
1441073934,47,47
1441076069,47,47
1441078051,65,65
1441080103,57,57
1441082269,28,28
1441084209,36,36
1441086350,61,61
1441088328,66,66
1441090461,59,59
1441092440,68,68
1441094476,51,51
1441096595,56,56
1441098584,69,69
1441100734,57,57
1441102714,20,20
1441104863,21,21
1441106841,62,62
1441108844,53,53
1441110995,59,59
1441112986,53,53
1441115132,63,63
1441117103,53,53
1441119261,66,66
1441121242,65,65
1441123236,54,54
1441125390,41,41
1441127386,39,39
1441129528,67,67
1441131506,61,61
1441133668,54,54
1441135646,44,44
1441137642,49,49
1441139798,58,58
1441141784,42,42
1441143927,42,42
1441146110,8,8
1441148062,41,41
1441150044,61,61
1441152034,50,50
1441154232,38,38
1441156184,42,42
1441158332,54,54
1441160330,51,51
1441162462,47,47
1441164445,52,52
1441166430,32,32
1441168597,48,48
1441170607,44,44
1441172737,65,65
1441174705,59,59
1441176861,51,51
1441178845,66,66
1441180843,56,56
1441183018,59,59
1441185014,54,54
1441187159,65,65
1441189138,32,32
1441191306,47,47
1441193272,62,62
1441195262,57,57
1441197421,47,47
1441199439,53,53
1441201545,60,60
1441203572,48,48
1441205717,36,36
1441207714,63,63
1441209666,54,54
1441211857,44,44
1441213799,46,46
1441215990,63,63
1441217922,63,63
1441220161,57,57
1441222059,57,57
1441224043,41,41
1441226295,44,44
1441228202,48,48
1441230398,60,60
1441232356,4,4
1441234524,51,51
1441236491,50,50
1441238447,40,40
1441240361,41,41
1441242611,46,46
1441244792,54,54
1441246725,47,47
1441248931,55,55
1441250852,49,49
1441252843,53,53
1441255050,44,44
1441257001,48,48
1441259197,70,70
1441261121,59,59
1441263322,64,64
1441265254,73,73
1441267247,55,55
1441269450,69,69
1441271402,50,50
1441273592,75,75
1441275528,27,27
1441277727,28,28
1441279700,51,51
1441281786,57,57
1441283862,53,53
1441285839,55,55
1441287950,55,55
1441289971,53,53
1441292082,45,45
1441294104,61,61
1441296051,38,38
1441298254,58,58
1441300194,43,43
1441302408,48,48
1441304354,51,51
1441306476,46,46
1441308540,56,56
1441310450,40,40
1441312652,47,47
1441314597,42,42
1441316791,61,61
1441318724,47,47
1441320925,46,46
1441322862,49,49
1441324854,49,49
1441327054,29,29
1441329002,43,43
1441331191,63,63
1441333181,64,64
1441335321,51,51
1441337291,44,44
1441339246,51,51
1441341455,45,45
1441343390,61,61
1441345603,60,60
1441347531,60,60
1441349740,46,46
1441351658,68,68
1441353657,57,57
1441355869,58,58
1441357799,59,59
1441359994,66,66
1441361928,17,17
1441364125,20,20
1441366140,70,70
1441368088,51,51
1441370257,44,44
1441372193,48,48
1441374398,49,49
1441376319,57,57
1441378526,43,43
1441380459,55,55
1441382458,37,37
1441384674,49,49
1441386597,38,38
1441388796,46,46
1441390748,46,46
1441392570,60,60
1441394952,54,54
1441396851,44,44
1441399318,50,50
1441401563,44,44
1441403724,40,40
1441405660,50,50
1441407652,55,55
1441409881,53,53
1441411784,48,48
1441413768,52,52
1441417202,47,47
1441419533,47,47
1441421713,52,52
1441423668,55,55
1441425860,44,44
1441428432,49,49
1441430399,57,57
1441432584,56,56
1441435245,59,59
1441437159,62,62
1441439883,62,62
1441442387,50,50
1441444248,61,61
1441446379,71,71
1441448387,19,19
1441450471,24,24
1441452516,51,51
1441454450,54,54
1441456671,47,47
1441458583,60,60
1441460812,56,56
1441462756,61,61
1441464937,64,64
1441466866,61,61
1441468854,60,60
1441471070,60,60
1441473030,69,69
1441475221,64,64
1441477268,61,61
1441479532,43,43
1441481401,54,54
1441483552,59,59
1441485788,65,65
1441487595,45,45
1441490022,54,54
1441492272,5,5
1441494170,34,34
1441496483,49,49
1441498368,58,58
1441500571,59,59
1441502491,59,59
1441504474,50,50
1441506639,62,62
1441508553,58,58
1441510608,54,54
1441512653,55,55
1441514775,60,60
1441516802,59,59
1441518909,63,63
1441520927,75,75
1441522913,66,66
1441525109,72,72
1441526991,64,64
1441529220,64,64
1441531131,71,71
1441533323,59,59
1441535260,17,17
1441537252,7,7
1441539581,58,58
1441541957,52,52
1441544128,39,39
1441546063,57,57
1441548053,52,52
1441550270,59,59
1441552191,54,54
1441554418,67,67
1441556328,65,65
1441558530,51,51
1441560643,58,58
1441562462,59,59
1441564688,66,66
1441566583,61,61
1441568825,65,65
1441570728,57,57
1441572866,65,65
1441574874,59,59
1441576872,60,60
1441579000,9,9
1441581006,49,49
1441583172,50,50
1441585135,54,54
1441587302,31,31
1441589319,45,45
1441591277,53,53
1441593600,55,55
1441595440,41,41
1441597808,50,50
1441599745,57,57
1441601770,56,56
1441603779,72,72
1441605668,67,67
1441607968,39,39
1441609776,55,55
1441611943,50,50
1441613946,54,54
1441616071,51,51
1441618056,53,53
1441620041,59,59
1441622196,22,22
1441624179,18,18
1441626350,62,62
1441628418,56,56
1441630502,64,64
1441632462,59,59
1441634444,52,52
1441636600,46,46
1441638570,53,53
1441640742,61,61
1441642716,55,55
1441645805,65,65
1441648052,63,63
1441649941,56,56
1441652062,61,61
1441654044,70,70
1441656028,55,55
1441658192,56,56
1441660175,52,52
1441662344,63,63
1441664338,49,49
1441666265,21,21
1441668134,57,57
1441670053,47,47
1441672050,58,58
1441674029,49,49
1441676194,58,58
1441678234,53,53
1441680329,70,70
1441682311,44,44
1441684458,29,29
1441686444,63,63
1441688445,49,49
1441690588,67,67
1441692564,66,66
1441694731,56,56
1441696703,56,56
1441698859,67,67
1441700840,55,55
1441702818,52,52
1441704984,53,53
1441706979,58,58
1441709128,17,17
1441711119,49,49
1441713260,53,53
1441715244,60,60
1441717220,51,51
1441719398,52,52
1441721376,49,49
1441723525,57,57
1441725736,56,56
