DateTime,AddedIPs,RemovedIPs
1436471107,12,9
1436482509,3,10
1436493604,3,6
1436504985,6,9
1436516303,4,6
1436527647,10,11
1436538974,5,5
1436550323,6,2
1436562076,5,9
1436573440,4,5
1436613780,13,19
1436624865,3,3
1436636174,3,8
1436647543,4,7
1436658852,4,5
1436670062,2,8
1436681350,4,6
1436692711,3,5
1436704026,6,9
1436715410,6,4
1436726704,4,5
1436738069,5,3
1436749209,8,4
1436760623,3,3
1436771898,6,6
1436783245,2,4
1436794608,7,7
1436805921,3,6
1436817251,3,4
1436828513,7,2
1436839835,6,6
1436851104,5,2
1436862429,7,3
1436873791,5,6
1436885107,6,2
1436896470,12,8
1436907614,12,6
1436918976,10,9
1436930289,5,1
1436941637,4,6
1436952973,12,3
1436964324,9,6
1436975657,8,10
1436986823,11,26
1436998161,11,19
1437009506,6,14
1437020823,10,14
1437032190,6,12
1437043509,6,9
1437054896,4,7
1437066005,6,9
1437077372,6,4
1437088764,5,4
1437100025,5,9
1437111385,8,6
1437122718,1,3
1437134054,3,3
1437145203,1,8
1437156580,2,10
1437167910,5,3
1437179231,6,6
1437190588,4,6
1437201918,2,8
1437213302,6,6
1437224490,4,7
1437235789,4,11
1437247844,4,5
1437259037,2,6
1437270350,3,4
1437281695,4,4
1437292872,1,7
1437304229,4,10
1437315511,2,11
1437326827,2,12
1437338196,8,9
1437349505,5,14
1437360851,2,8
1437372036,3,11
1437383361,6,8
1437394718,9,10
1437406030,8,11
1437417374,6,5
1437428721,9,8
1437440048,11,10
1437451254,7,9
1437462549,9,6
1437473905,8,12
1437485229,0,8
1437496579,10,11
1437507913,4,9
1437519274,5,8
1437530412,5,9
1437541770,6,9
1437553134,1,8
1437564442,8,4
1437575774,6,13
1437587114,6,9
1437598452,6,13
1437660921,25,52
1437671892,5,8
1437683241,4,8
1437694574,7,9
1437705933,4,8
1437717247,4,5
1437728416,4,10
1437739757,4,11
1437751119,6,10
1437762424,7,6
1437773786,6,8
1437785105,12,9
1437796474,4,10
1437807606,4,7
1437818974,2,10
1437830298,6,11
1437841650,6,10
1437852977,3,5
1437864319,0,3
1437875693,5,2
1437886840,5,4
1437898203,7,9
1437909497,4,9
1437921408,5,8
1437932707,6,7
1437944076,3,9
1437955208,2,2
1437966567,4,2
1437977898,9,4
1437989248,3,7
1438000576,3,4
1438011919,5,2
1438023248,10,8
1438034436,14,3
1438045751,9,4
1438057133,9,5
1438068424,11,3
1438079811,6,5
1438091108,10,4
1438102469,7,10
1438113606,3,11
1438124972,5,3
1438136326,2,5
1438147630,1,4
1438158974,5,9
1438170324,3,8
1438181672,3,3
1438192811,3,5
1438204191,3,7
1438215509,5,5
1438226824,6,6
1438238178,9,4
1438249505,9,8
1438260865,6,5
1438272012,6,5
1438283122,6,5
1438294168,4,8
1438305520,7,1
1438316838,5,3
1438328182,3,1
1438339520,7,2
1438350889,3,4
1438362030,8,1
1438373410,8,3
1438384702,17,3
1438396034,9,6
1438407396,9,5
1438418713,10,3
1438430062,8,4
1438441279,8,7
1438452589,9,5
1438463891,8,7
1438475238,14,7
1438486574,6,5
1438497937,11,4
1438509251,6,0
1438520419,7,6
1438531758,9,4
1438543102,7,2
1438554444,6,13
1438565788,11,19
1438577132,10,11
1438588459,13,9
1438599615,11,15
1438610994,7,7
1438622303,11,4
1438633638,9,7
1438645000,10,9
1438656315,7,5
1438667688,6,4
1438678821,4,9
1438690217,5,6
1438701509,3,4
1438712866,5,8
1438724207,2,6
1438735523,5,4
1438746851,8,7
1438758009,11,8
1438769370,5,11
1438780698,4,8
1438792024,4,8
1438804472,9,4
1438948637,120,50
1438959611,6,4
1438970955,9,5
1438982382,10,4
1438993657,7,7
1439004983,9,19
1439016355,15,3
1439027649,6,2
1439038848,13,8
1439050158,9,5
1439061518,8,9
1439072826,13,6
1439084211,9,3
1439095506,5,6
1439106867,8,5
1439118014,4,4
1439132926,11,6
1439144476,11,2
1439155643,7,6
1439166982,10,6
1439178336,8,2
1439189647,12,6
1439200815,2,7
1439212156,8,1
1439223508,6,3
1439234454,7,4
1439245625,6,6
1439256981,7,8
1439267935,5,2
1439279114,7,4
1439290461,5,6
1439301617,4,4
1439312973,10,5
1439324301,9,3
1439335634,12,4
1439346984,7,2
1439358333,14,7
1439369649,18,9
1439380837,9,7
1439392183,6,9
1439403526,9,7
1439414826,10,3
1439426259,6,6
1439437520,8,7
1439448866,2,7
1439460021,7,7
1439471452,5,7
1439482704,4,6
1439494049,8,7
1439505392,10,4
1439516728,7,3
1439528056,6,7
1439539285,5,7
1439550547,9,11
1439561902,6,8
1439573532,8,4
1439584692,9,4
1439595910,5,5
1439607258,6,5
1439618414,9,3
1439629851,8,7
1439641111,10,5
1439652425,7,6
1439663805,3,3
1439675154,6,1
1439686459,8,8
1439697612,7,7
1439709259,4,2
1439720306,13,5
1439731639,4,2
1439742990,6,2
1439754489,5,4
1439765672,6,7
1439776819,6,4
1439788149,10,4
1439799681,10,5
1439810850,11,5
1439822184,8,7
1439833516,2,2
1439844862,7,4
1439856331,10,5
1439867391,10,5
1439878703,4,2
1439890061,5,3
1439901430,6,2
1439912730,6,4
1439924065,13,2
1439935527,12,6
1439946557,13,7
1439957587,11,3
1439968720,13,4
1439980038,9,4
1439991408,8,7
1440002717,6,4
1440014062,3,4
1440025227,9,3
1440036573,7,8
1440047902,7,8
1440059253,6,6
1440070599,5,4
1440081985,4,1
1440093256,7,6
1440104467,2,3
1440115763,3,10
1440127123,8,4
1440138440,6,6
1440149840,4,2
1440161028,6,9
1440172459,7,2
1440183626,6,8
1440194958,10,4
1440206297,7,5
1440217639,7,5
1440228979,2,4
1440240326,5,6
1440251651,2,7
1440262827,4,7
1440274152,3,6
1440285524,5,12
1440296878,9,6
1440308202,3,4
1440319522,3,4
1440330856,6,7
1440341783,5,3
1440352850,4,5
1440364240,6,6
1440375689,4,6
1440386935,6,5
1440398282,6,7
1440409562,7,2
1440420908,9,6
1440432025,6,7
1440443362,7,8
1440454715,7,2
1440466049,5,3
1440477380,6,5
1440488788,13,8
1440500051,5,7
1440511260,7,9
1440522561,10,6
1440533914,6,7
1440545236,4,4
1440556684,4,4
1440567925,8,5
1440579319,9,8
1440590413,8,7
1440601812,11,5
1440613121,8,9
1440624506,4,11
1440635775,4,6
1440647196,7,10
1440658457,8,2
1440670133,4,15
1440681495,5,10
1440692850,9,5
1440704188,7,1
1440715582,4,7
1440726908,7,6
1440738221,2,4
1440749354,3,3
1440760726,5,2
1440772039,7,9
1440783481,8,4
1440794730,17,8
1440806118,9,7
1440817233,6,6
1440828580,7,4
1440839905,5,7
1440851290,10,5
1440862579,11,4
1440873586,9,11
1440884727,7,5
1440896050,4,6
1440907217,12,6
1440918562,5,6
1440929896,2,6
1440941236,3,4
1440952578,6,8
1440963928,2,9
1440975091,0,12
1440986759,3,6
1440997758,3,7
1441009119,5,7
1441020429,6,8
1441031795,5,9
1441043154,7,5
1441054448,6,10
1441065639,4,13
1441076959,2,9
1441088321,5,11
1441099629,3,10
1441110984,0,4
1441122319,13,5
1441133663,4,7
1441144817,8,7
1441156175,5,11
1441167520,3,10
1441178841,6,5
1441190168,4,9
1441201541,4,9
1441212852,3,5
1441224039,8,4
1441235353,3,8
1441246718,7,5
1441258037,5,3
1441269440,15,7
1441280717,9,5
1441292076,4,2
