DateTime,Entries,UniqueIPs
1436658852,1352,1352
1436670062,1346,1346
1436681350,1344,1344
1436692711,1342,1342
1436704026,1339,1339
1436715410,1341,1341
1436726704,1340,1340
1436738069,1342,1342
1436749209,1346,1346
1436760623,1346,1346
1436771898,1346,1346
1436783245,1344,1344
1436794608,1344,1344
1436805921,1341,1341
1436817251,1340,1340
1436828513,1345,1345
1436839835,1345,1345
1436851104,1348,1348
1436862429,1352,1352
1436873791,1351,1351
1436885107,1355,1355
1436896470,1359,1359
1436907614,1365,1365
1436918976,1366,1366
1436930289,1370,1370
1436941637,1368,1368
1436952973,1377,1377
1436964324,1380,1380
1436975657,1378,1378
1436986823,1363,1363
1436998161,1355,1355
1437009506,1347,1347
1437020823,1343,1343
1437032190,1337,1337
1437043509,1334,1334
1437054896,1331,1331
1437066005,1328,1328
1437077372,1330,1330
1437088764,1331,1331
1437100025,1327,1327
1437111385,1329,1329
1437122718,1327,1327
1437134054,1327,1327
1437145203,1320,1320
1437156580,1312,1312
1437167910,1314,1314
1437179231,1314,1314
1437190588,1312,1312
1437201918,1306,1306
1437213302,1306,1306
1437224490,1303,1303
1437235789,1296,1296
1437247844,1295,1295
1437259037,1291,1291
1437270350,1290,1290
1437281695,1290,1290
1437292872,1284,1284
1437304229,1278,1278
1437315511,1269,1269
1437326827,1259,1259
1437338196,1258,1258
1437349505,1249,1249
1437360851,1243,1243
1437372036,1235,1235
1437383361,1233,1233
1437394718,1232,1232
1437406030,1229,1229
1437417374,1230,1230
1437428721,1231,1231
1437440048,1232,1232
1437451254,1230,1230
1437462549,1233,1233
1437473905,1229,1229
1437485229,1221,1221
1437496579,1220,1220
1437507913,1215,1215
1437519274,1212,1212
1437530412,1208,1208
1437541770,1205,1205
1437553134,1198,1198
1437564442,1202,1202
1437575774,1195,1195
1437587114,1192,1192
1437598452,1185,1185
1437660921,1158,1158
1437671892,1155,1155
1437683241,1151,1151
1437694574,1149,1149
1437705933,1145,1145
1437717247,1144,1144
1437728416,1138,1138
1437739757,1131,1131
1437751119,1127,1127
1437762424,1128,1128
1437773786,1126,1126
1437785105,1129,1129
1437796474,1123,1123
1437807606,1120,1120
1437818974,1112,1112
1437830298,1107,1107
1437841650,1103,1103
1437852977,1101,1101
1437864319,1098,1098
1437875693,1101,1101
1437886840,1102,1102
1437898203,1100,1100
1437909497,1095,1095
1437921408,1092,1092
1437932707,1091,1091
1437944076,1085,1085
1437955208,1085,1085
1437966567,1087,1087
1437977898,1092,1092
1437989248,1088,1088
1438000576,1087,1087
1438011919,1090,1090
1438023248,1092,1092
1438034436,1103,1103
1438045751,1108,1108
1438057133,1112,1112
1438068424,1120,1120
1438079811,1121,1121
1438091108,1127,1127
1438102469,1124,1124
1438113606,1116,1116
1438124972,1118,1118
1438136326,1115,1115
1438147630,1112,1112
1438158974,1108,1108
1438170324,1103,1103
1438181672,1103,1103
1438192811,1101,1101
1438204191,1097,1097
1438215509,1097,1097
1438226824,1097,1097
1438238178,1102,1102
1438249505,1103,1103
1438260865,1104,1104
1438272012,1105,1105
1438283122,1106,1106
1438294168,1102,1102
1438305520,1108,1108
1438316838,1110,1110
1438328182,1112,1112
1438339520,1117,1117
1438350889,1116,1116
1438362030,1123,1123
1438373410,1128,1128
1438384702,1142,1142
1438396034,1145,1145
1438407396,1149,1149
1438418713,1156,1156
1438430062,1160,1160
1438441279,1161,1161
1438452589,1165,1165
1438463891,1166,1166
1438475238,1173,1173
1438486574,1174,1174
1438497937,1181,1181
1438509251,1187,1187
1438520419,1188,1188
1438531758,1193,1193
1438543102,1198,1198
1438554444,1191,1191
1438565788,1183,1183
1438577132,1182,1182
1438588459,1186,1186
1438599615,1182,1182
1438610994,1182,1182
1438622303,1189,1189
1438633638,1191,1191
1438645000,1192,1192
1438656315,1194,1194
1438667688,1196,1196
1438678821,1191,1191
1438690217,1190,1190
1438701509,1189,1189
1438712866,1186,1186
1438724207,1182,1182
1438735523,1183,1183
1438746851,1184,1184
1438758009,1187,1187
1438769370,1181,1181
1438780698,1177,1177
1438792024,1173,1173
1438804472,1178,1178
1438948637,1248,1248
1438959611,1250,1250
1438970955,1254,1254
1438982382,1260,1260
1438993657,1260,1260
1439004983,1250,1250
1439016355,1262,1262
1439027649,1266,1266
1439038848,1271,1271
1439050158,1275,1275
1439061518,1274,1274
1439072826,1281,1281
1439084211,1287,1287
1439095506,1286,1286
1439106867,1289,1289
1439118014,1289,1289
1439132926,1294,1294
1439144476,1303,1303
1439155643,1304,1304
1439166982,1308,1308
1439178336,1314,1314
1439189647,1320,1320
1439189647,1320,1320
1439189647,1320,1320
1439189647,1320,1320
1439200815,1315,1315
1439212156,1322,1322
1439223508,1325,1325
1439234454,1328,1328
1439234454,1328,1328
1439234454,1328,1328
1439245625,1328,1328
1439256981,1327,1327
1439267935,1330,1330
1439279114,1333,1333
1439290461,1332,1332
1439301617,1332,1332
1439312973,1337,1337
1439324301,1343,1343
1439335634,1351,1351
1439346984,1356,1356
1439358333,1363,1363
1439369649,1372,1372
1439380837,1374,1374
1439392183,1371,1371
1439403526,1373,1373
1439414826,1380,1380
1439426259,1380,1380
1439437520,1381,1381
1439448866,1376,1376
1439460021,1376,1376
1439471452,1374,1374
1439482704,1372,1372
1439494049,1373,1373
1439505392,1379,1379
1439516728,1383,1383
1439528056,1382,1382
1439539285,1380,1380
1439550547,1378,1378
1439561902,1376,1376
1439573532,1380,1380
1439584692,1385,1385
1439595910,1385,1385
1439607258,1386,1386
1439618414,1392,1392
1439629851,1393,1393
1439641111,1398,1398
1439641111,1398,1398
1439652425,1399,1399
1439663805,1399,1399
1439675154,1404,1404
1439686459,1404,1404
1439697612,1404,1404
1439709259,1406,1406
1439720306,1414,1414
1439731639,1416,1416
1439742990,1420,1420
1439754489,1421,1421
1439765672,1420,1420
1439776819,1422,1422
1439788149,1428,1428
1439799681,1433,1433
1439810850,1439,1439
1439822184,1440,1440
1439833516,1440,1440
1439844862,1443,1443
1439856331,1448,1448
1439867391,1453,1453
1439878703,1455,1455
1439890061,1457,1457
1439901430,1461,1461
1439912730,1463,1463
1439924065,1474,1474
1439935527,1480,1480
1439946557,1486,1486
1439957587,1494,1494
1439968720,1503,1503
1439980038,1508,1508
1439991408,1509,1509
1440002717,1511,1511
1440014062,1510,1510
1440025227,1516,1516
1440036573,1515,1515
1440047902,1514,1514
1440059253,1514,1514
1440070599,1515,1515
1440081985,1518,1518
1440093256,1519,1519
1440104467,1518,1518
1440115763,1511,1511
1440127123,1515,1515
1440138440,1515,1515
1440149840,1517,1517
1440161028,1514,1514
1440161028,1514,1514
1440172459,1519,1519
1440183626,1517,1517
1440194958,1523,1523
1440206297,1525,1525
1440217639,1527,1527
1440228979,1525,1525
1440240326,1524,1524
1440251651,1519,1519
1440262827,1516,1516
1440274152,1513,1513
1440285524,1506,1506
1440296878,1509,1509
1440308202,1508,1508
1440319522,1507,1507
1440330856,1506,1506
1440341783,1508,1508
1440352850,1507,1507
1440364240,1507,1507
1440375689,1505,1505
1440386935,1506,1506
1440398282,1505,1505
1440409562,1510,1510
1440420908,1513,1513
1440432025,1512,1512
1440443362,1511,1511
1440454715,1516,1516
1440466049,1518,1518
1440477380,1519,1519
1440488788,1524,1524
1440500051,1522,1522
1440511260,1520,1520
1440522561,1524,1524
1440533914,1523,1523
1440545236,1523,1523
1440556684,1523,1523
1440567925,1526,1526
1440579319,1527,1527
1440590413,1528,1528
1440601812,1534,1534
1440613121,1533,1533
1440624506,1526,1526
1440635775,1524,1524
1440647196,1521,1521
1440658457,1527,1527
1440670133,1516,1516
1440681495,1511,1511
1440692850,1515,1515
1440704188,1521,1521
1440715582,1518,1518
1440726908,1519,1519
1440738221,1517,1517
1440749354,1517,1517
1440760726,1520,1520
1440772039,1518,1518
1440783481,1522,1522
1440794730,1531,1531
1440806118,1533,1533
1440817233,1533,1533
1440828580,1536,1536
1440839905,1534,1534
1440851290,1539,1539
1440862579,1546,1546
1440873586,1544,1544
1440884727,1546,1546
1440896050,1544,1544
1440907217,1550,1550
1440918562,1549,1549
1440929896,1545,1545
1440941236,1544,1544
1440952578,1542,1542
1440963928,1535,1535
1440975091,1523,1523
1440986759,1520,1520
1440997758,1516,1516
1441009119,1514,1514
1441020429,1512,1512
1441031795,1508,1508
1441043154,1510,1510
1441054448,1506,1506
1441065639,1497,1497
1441076959,1490,1490
1441088321,1484,1484
1441099629,1477,1477
