DateTime,AddedIPs,RemovedIPs
1436710516,10,0
1436721317,4,0
1436732116,10,0
1436742916,11,0
1436753738,12,43
1436764516,6,0
1436775316,5,0
1436786116,5,0
1436796918,18,22
1436807718,5,0
1436818518,4,0
1436829318,3,0
1436840135,7,61
1436850916,5,0
1436861716,3,0
1436872516,7,0
1436883315,2,0
1436894117,4,1
1436904919,3,0
1436915717,5,0
1436926531,7,33
1436937316,9,0
1436948116,2,0
1436958916,7,0
1436969720,10,0
1436980516,7,0
1436991317,6,0
1437002117,8,0
1437012942,4,48
1437023716,5,0
1437034516,3,0
1437045316,5,0
1437056115,4,0
1437066917,7,0
1437077717,9,0
1437088516,5,0
1437099342,3,41
1437110115,3,0
1437120915,7,0
1437131716,5,0
1437142517,4,0
1437153317,2,0
1437164118,9,0
1437174918,3,0
1437185739,5,53
1437196518,10,0
1437207317,5,0
1437218116,7,0
1437228916,7,0
1437239715,7,0
1437250517,6,0
1437261318,9,0
1437272127,3,48
1437282915,7,0
1437293716,1,0
1437304516,7,0
1437315316,1,0
1437326117,8,0
1437336917,6,0
1437347717,6,0
1437358530,6,46
1437369306,4,0
1437380106,3,0
1437390906,7,0
1437401707,8,0
1437412507,2,0
1437434107,23,18
1437444918,14,40
1437455706,2,0
1437466506,3,0
1437477306,3,0
1437488107,4,0
1437498906,6,0
1437509708,4,0
1437520507,8,0
1437531318,9,49
1437542106,11,0
1437552906,5,0
1437563707,1,0
1437574507,5,0
1437585307,4,0
1437596107,17,10
1437660907,40,43
1437671707,5,0
1437682507,2,1
1437693306,4,0
1437704142,6,37
1437714907,11,0
1437725707,5,0
1437736506,7,0
1437747306,3,0
1437758106,5,0
1437768907,5,0
1437779706,4,0
1437790518,10,52
1437801306,6,0
1437812107,6,0
1437822906,2,0
1437833706,4,0
1437844506,5,0
1437855307,10,0
1437866106,5,0
1437876951,8,33
1437887718,5,0
1437898516,5,0
1437909316,4,0
1437920116,3,0
1437930918,9,0
1437941717,6,0
1437952517,3,0
1437963339,3,48
1437974115,2,0
1437984916,8,0
1437995717,1,0
1438006515,10,0
1438017317,8,0
1438028116,6,0
1438038916,7,0
1438049733,6,35
1438060516,8,0
1438071316,10,0
1438082115,8,0
1438092915,7,0
1438103716,5,0
1438114517,7,0
1438125315,4,0
1438136135,1,52
1438146915,2,1
1438157715,5,0
1438168515,6,0
1438179316,3,0
1438190117,12,0
1438200917,11,0
1438211717,4,0
1438222561,6,50
1438233405,4,0
1438244163,6,0
1438254917,3,0
1438265717,9,0
1438276518,8,0
1438287317,5,0
1438298116,8,0
1438308949,10,43
1438319717,11,0
1438330517,1,0
1438341317,8,0
1438352117,7,0
1438362918,2,0
1438373718,4,0
1438384517,7,0
1438395384,78,35
1438406117,104,0
1438416919,47,0
1438427717,55,0
1438438517,14,0
1438449318,13,0
1438460118,10,0
1438470917,12,0
1438481752,9,12
1438492518,6,0
1438503319,8,0
1438514118,8,0
1438524917,6,0
1438535718,6,0
1438546517,8,0
1438557319,4,0
1438568219,9,16
1438578919,14,0
1438589718,4,0
1438600517,14,0
1438611323,3,0
1438622115,14,0
1438632918,33,0
1438643718,18,0
1438654549,12,30
1438665318,7,0
1438676117,10,0
1438686917,12,0
1438697719,8,0
1438708519,8,0
1438719319,13,0
1438730119,6,0
1438740948,13,46
1438751719,4,0
1438762518,12,0
1438773317,11,0
1438784118,5,0
1438794919,17,36
1438805720,8,0
1438946107,104,117
1438956907,10,0
1438967707,7,0
1438978508,6,0
1438989307,13,0
1439000116,4,408
1439010906,7,0
1439021706,2,0
1439032506,6,0
1439043307,6,0
1439054106,11,0
1439064906,8,0
1439075707,4,0
1439086518,7,53
1439097307,3,0
1439108107,6,0
1439118906,3,0
1439129706,5,0
1439140507,5,0
1439151306,12,0
1439162106,7,0
1439172918,11,100
1439183707,5,0
1439194507,9,0
1439205307,11,0
1439216107,3,0
1439226907,3,0
1439237707,3,0
1439248507,4,0
1439259318,7,73
1439270107,4,0
1439280906,10,0
1439291707,9,0
1439302507,2,0
1439313307,8,0
1439324108,10,0
1439334907,7,0
1439345718,8,67
1439356506,9,0
1439367306,5,0
1439378106,9,0
1439388907,7,0
1439399707,7,0
1439410507,14,0
1439421307,9,0
1439432143,4,64
1439442918,6,0
1439453716,8,0
1439464517,6,0
1439475317,7,0
1439486118,7,0
1439496919,9,0
1439507718,5,0
1439518542,20,58
1439529317,11,0
1439540117,8,0
1439550917,4,0
1439561718,10,0
1439572518,10,0
1439583318,7,0
1439594119,7,0
1439604948,20,54
1439615715,11,0
1439626518,13,0
1439637317,4,0
1439648119,13,0
1439658920,9,0
1439669719,8,0
1439680518,9,0
1439691346,6,47
1439702119,6,0
1439712919,4,0
1439723719,11,0
1439734519,6,0
1439745319,4,0
1439756118,8,0
1439766918,7,0
1439777744,6,49
1439788518,6,0
1439799318,8,0
1439810118,5,0
1439820918,8,0
1439831718,9,0
1439842518,9,0
1439853318,4,0
1439864151,4,55
1439874917,11,0
1439885717,7,0
1439896519,6,0
1439907319,4,0
1439918118,9,0
1439928919,9,0
1439939718,4,0
1439950629,8,69
1439961318,6,0
1439972117,6,0
1439982918,6,0
1439993716,3,0
1440004518,5,0
1440015318,9,0
1440026118,4,0
1440036936,5,54
1440047716,4,0
1440058517,3,0
1440069318,6,0
1440080118,7,0
1440090916,8,0
1440101717,5,0
1440112517,4,0
1440123342,11,75
1440134118,5,0
1440144917,5,0
1440155716,5,0
1440166519,9,0
1440177319,4,0
1440188119,7,0
1440198919,4,0
1440209741,7,88
1440220518,7,0
1440231317,4,0
1440242118,9,0
1440252917,6,0
1440263719,4,0
1440274519,4,0
1440285318,4,0
1440296141,3,54
1440306918,4,0
1440317718,8,0
1440328517,5,0
1440339318,1,0
1440350118,10,0
1440360919,3,0
1440371718,3,0
1440382545,6,50
1440393319,6,0
1440404118,1,0
1440414919,9,0
1440425718,5,0
1440436518,7,0
1440447318,4,0
1440458119,6,0
1440468939,3,57
1440479718,5,0
1440490518,9,0
1440501318,3,0
1440512119,1,0
1440522918,7,0
1440533719,2,0
1440544519,3,0
1440555342,8,47
1440566118,10,0
1440576917,15,0
1440587718,7,0
1440598518,6,0
1440609318,8,0
1440620119,5,0
1440630907,7,0
1440641720,7,43
1440652507,14,0
1440663307,5,0
1440674106,4,0
1440684908,7,0
1440695709,13,0
1440706508,5,0
1440717307,9,0
1440728121,51,49
1440738907,91,0
1440749706,47,0
1440760507,52,0
1440771307,12,0
1440782107,14,0
1440792908,10,0
1440803706,9,0
1440814522,12,58
1440825307,14,0
1440836107,12,0
1440846907,10,0
1440857707,4,0
1440868507,10,0
1440879307,11,0
1440890106,8,0
1440900920,7,42
1440911706,8,0
1440922507,5,0
1440944106,6,0
1440954907,6,0
1440965707,10,0
1440976507,8,0
1440990908,8,43
1441001706,8,0
1441012507,9,0
1441023306,7,0
1441034111,2,0
1441044907,10,0
1441055708,7,0
1441066507,4,33
1441077306,11,0
1441088106,7,0
1441098906,5,0
1441109707,7,0
1441120508,4,0
1441131308,9,0
1441142107,6,0
1441152971,10,64
1441163741,11,0
1441174519,6,0
1441185319,8,0
1441196119,3,0
1441206920,9,0
1441217728,3,6
1441228525,22,27
1441239324,5,59
1441250131,2,0
1441260916,7,0
1441271719,4,0
1441282521,5,0
1441293320,3,0
1441304120,7,0
1441314919,2,0
1441325720,7,268
1441336537,8,1
1441347319,4,0
1441358117,6,0
1441368918,4,0
1441379719,5,0
1441390518,3,0
1441401320,4,0
1441412118,1,74
1441422943,10,0
1441433717,7,0
1441444518,6,0
1441455318,10,0
1441466119,9,0
1441476920,4,0
1441487718,9,0
1441498517,3,58
1441509331,8,0
1441520122,6,0
1441530920,3,0
1441541718,9,1
1441552519,4,0
1441563319,6,0
1441574119,4,0
1441584919,2,52
1441595744,6,0
1441606519,3,0
1441617318,5,0
1441628118,3,0
1441638920,4,0
1441649719,6,0
1441660519,6,0
1441671319,9,53
1441682141,7,0
1441692918,5,0
1441703718,6,0
1441714518,10,0
1441725319,4,0
1441736119,10,0
1441746922,5,0
1441757721,5,49
1441768542,10,0
1441779319,7,0
1441790119,5,0
1441800908,4,0
1441811722,16,25
1441822523,6,0
1441833322,8,0
1441844129,8,35
1441854943,8,0
1441865720,9,0
1441876520,11,0
1441887320,9,0
1441898120,13,23
1441908920,3,0
1441919721,7,0
1441930521,7,33
1441941344,9,1
1441952117,4,0
1441962917,9,0
1441973719,5,0
1441984519,12,0
1441995320,6,0
1442006121,31,0
1442016929,6,48
1442027742,10,1
1442038520,5,0
1442049320,8,0
1442060121,2,0
1442070919,5,0
1442081719,6,0
1442092520,3,0
1442103329,5,33
1442114142,3,0
1442124919,4,0
1442135718,5,0
1442146507,6,0
1442157306,4,0
1442168107,7,0
1442178907,8,0
1442189717,8,40
1442200508,4,2
1442211307,3,0
1442222106,12,0
1442232906,11,0
1442243707,7,0
1442254508,10,0
1442265307,11,0
1442276116,7,46
1442286907,9,0
1442297706,7,0
1442308506,6,0
