DateTime,AddedIPs,RemovedIPs
1439024070,149,52
1439032170,98,97
1439041015,164,111
1439049292,105,179
1439057390,36,7
1439065697,118,99
1439073978,72,180
1439082057,92,7
1439090334,119,60
1439099140,192,172
1439107270,69,105
1439115525,104,47
1439123884,76,120
1439141309,90,112
1439150073,198,171
1439158169,0,1
1439167534,70,157
1439175651,98,134
1439183923,166,58
1439193446,40,61
1439202438,30,175
1439208589,85,31
1439216914,56,38
1439225667,45,9
1439267934,0,156
1439270331,156,0
1439360889,568,138
1439369140,0,5
1439385533,1,1
1439393854,1243,3
1439402715,1076,729
1439411283,1,2
1439419602,0,3
1439428712,0,800
1439437034,805,1123
1439445903,3,65
1439454516,0,2
1439463320,0,2
1439471413,589,794
1439479680,0,15
1439488457,303,217
1439496761,208,5
1439504897,128,71
1439513365,7,7
1439522315,75,71
1439530724,267,296
1439539283,2,1080
1439541410,923,0
1439547583,32,115
1439555875,389,0
1439565007,81,21
1439573821,96,976
1439582125,841,0
1439591232,304,271
1439599758,274,237
1439608706,210,95
1439610862,36,0
1439617121,365,140
1439625636,0,1677
1439627800,1676,0
1439634133,118,28
1439642343,231,121
1439649422,0,0
1439651547,95,381
1439659651,15,149
1439674161,0,1
1439691727,99,91
1439700475,250,257
1439709503,86,893
1439711670,786,0
1439717935,82,203
1439726963,89,170
1439735239,0,1255
1439737763,926,0
1439739920,352,0
1439754483,195,341
1439763523,256,683
1439765670,32,0
1439771818,0,737
1439778172,1438,0
1439786919,86,84
1439795898,0,55
1439798062,53,0
1439804715,226,190
1439813359,131,634
1439815514,494,0
1439821753,76,57
1439830689,111,149
1439839252,32,48
1439847531,4,5
1439857131,0,263
1439865658,263,0
1439872109,0,1429
1439875109,1429,0
1439883550,0,1
1439892557,0,453
1439894714,453,0
1439909765,513,254
1439918464,262,1
1439927663,416,828
1439929632,404,0
1439936293,197,644
1439944083,463,0
1439952417,106,138
1439959677,50,30
1439967659,43,86
1439975942,46,1
1439984251,9,10
1439988886,74,19
1439993406,21,8
1439997532,7,5
1440005854,35,2
1440016628,209,91
1440022197,83,255
1440026374,1,2
1440030479,59,204
1440034621,47,69
1440038763,52,2
1440042926,5,9
1440049035,211,140
1440053206,37,81
1440057286,23,84
1440063420,60,184
1440067563,28,89
1440071693,27,32
1440077820,39,38
1440081973,1458,1
1440086099,28,83
1440092248,54,50
1440096418,40,45
1440106697,70,108
1440110783,80,55
1440114903,25,9
1440121037,23,91
1440125181,13,90
1440129303,41,39
1440135472,45,153
1440139598,16,19
1440143706,19,18
1440149828,11,36
1440153971,32,20
1440158521,0,3
1440160593,0,0
1440162606,25,1
1440168905,57,0
1440175043,53,37
1440179177,64,65
1440183309,20,108
1440189445,38,255
1440193576,22,40
1440197703,33,17
1440203842,10,25
1440207986,75,27
1440212111,31,29
1440218237,26,7
1440222379,20,72
1440226503,27,23
1440236781,1,0
1440240903,10,25
1440247044,0,1
1440251176,0,1
1440261447,175,91
1440265570,4,20
1440275840,148,251
1440281981,62,132
1440286074,35,6
1440290252,23,1
1440294388,44,24
1440298507,9,14
1440304642,34,29
1440308777,76,34
1440312904,0,1
1440319039,2,1
1440323175,1,0
1440327302,2,0
1440340217,0,1
1440363394,386,350
1440369520,0,4
1440373579,1,1
1440377786,140,109
1440383951,38,16
1440388057,96,79
1440392133,17,27
1440398270,30,14
1440402406,12,25
1440408526,15,2
1440412678,29,5
1440416773,21,0
1440420897,0,3
1440427034,53,2
1440431171,23,16
1440435307,28,61
1440445574,9,39
1440459969,118,54
1440474368,0,2
1440484633,1,1
1440499024,272,231
1440503173,5,11
1440507298,10,16
1440513430,67,120
1440550516,480,225
1440556670,0,1
1440564905,776,199
1440571035,41,109
1440575182,11,41
1440579308,42,56
1440585441,88,129
1440589581,130,26
1440593708,99,94
1440599838,0,3
1440603978,371,131
1440608122,47,72
1440614248,179,72
1440618341,0,3862
1440620385,3861,0
1440624494,77,18
1440628626,21,104
1440632779,4,26
1440636926,341,159
1440643030,0,9
1440647183,397,227
1440651344,0,2
1440657437,201,158
1440661600,66,45
1440665697,46,137
1440670118,20,95
1440674353,18,187
1440678482,5,49
1440682649,10,37
1440686780,9,14
1440690924,22,13
1440697084,4,8
1440705302,142,137
1440711442,25,308
1440715570,19,12
1440719698,84,93
1440725833,30,100
1440729972,13,21
1440734105,23,51
1440738208,74,52
1440742301,24,2
1440746438,2,5
1440750495,55,74
1440754642,7,22
1440758781,118,34
1440762902,1,7
1440769114,28,82
1440773184,53,20
1440777312,27,17
1440783469,46,38
1440787580,32,47
1440791713,55,36
1440797885,40,98
1440802018,51,67
1440806106,18,33
1440812258,83,108
1440816464,55,90
1440822534,102,112
1440826662,47,37
1440830782,70,46
1440834897,32,14
1440841038,60,141
1440845182,26,33
1440849309,11,20
1440855438,18,69
1440859579,20,26
1440863707,16,159
1440869852,86,241
1440875947,26,55
1440880089,37,375
1440884238,8,15
1440888370,52,33
1440892510,12,67
1440898683,47,159
1440902782,12,90
1440906903,25,28
1440913056,7,29
1440917221,23,9
1440921307,39,25
1440927432,15,31
1440931577,14,48
1440935706,27,23
1440941831,33,53
1440945975,21,32
1440950128,23,12
1440956258,56,64
1440960386,7,4
1440964875,28,7
1440969004,24,50
1440973146,27,9
1440977306,70,24
1440981439,27,6
1440986743,66,47
1440991046,18,86
1440996496,59,44
1441002495,3,2
1441006630,25,11
1441010787,140,7
1441014909,150,12
1441021056,82,66
1441025185,43,45
1441029316,4,12
1441035430,15,5
1441041082,35,8
1441045169,1,4
1441049288,9,9
1441059000,0,1
1441071481,472,86
1441100221,1,8
1441104367,160,11
1441108520,50,94
1441114623,13,47
1441118777,14,5
1441122905,8,1
1441129038,33,18
1441133165,54,1
1441137301,13,50
1441143453,12,0
1441147559,13,0
1441151693,0,1
1441180516,0,1
1441190761,12,0
1441194910,0,1
1441240337,0,1
1441277710,464,192
1441281769,1,14
1441285817,0,3
1441289953,0,1
1441294088,0,1
1441306471,0,3442
1441308523,3867,0
1441312629,2,23
1441316775,0,1
1441320909,86,54
1441327030,51,60
1441331173,26,11
1441335303,12,1
1441341432,10,44
1441345585,21,7
1441349721,5,2
1441355848,9,0
1441359975,2,1
1441364108,24,44
1441370233,11,7
1441374380,73,37
1441378510,13,18
1441384649,32,18
1441388777,1,9
1441394891,51,86
1441399243,7,16
1441403704,11,2
1441409860,15,4
1441417164,36,33
1441421695,13,5
1441425815,3,12
1441430371,10,14
1441435192,9,18
1441439851,15,19
1441444224,31,30
1441448370,15,30
1441452498,9,2
1441456643,44,10
1441460792,9,49
1441464917,17,20
1441471045,28,56
1441475204,106,82
1441479511,37,156
1441485573,62,266
1441490577,26,48
1441495210,22,7
1441499648,60,23
1441504355,63,267
1441516774,1,2
1441520909,7,1
1441533303,1,0
1441594071,1,1
1441618629,2,1
1441622769,1,1
1441641317,1,1
1441646438,33,322
1441651065,0,5
1441698372,2165,1405
1441702513,8,84
1441708627,25,164
1441712772,350,225
1441716905,16,99
1441723032,14,79
1441727409,103,50
1441732208,8,55
1441736354,100,59
1441740492,34,47
