DateTime,Entries,UniqueIPs
1439115525,269,269
1439123884,225,225
1439141309,203,203
1439150073,230,230
1439158169,229,229
1439167534,142,142
1439175651,106,106
1439183923,214,214
1439193446,193,193
1439195764,193,193
1439200215,193,193
1439202438,48,48
1439208589,102,102
1439216914,120,120
1439225667,156,156
1439238883,156,156
1439267934,0,0
1439270331,156,156
1439360889,586,586
1439369140,581,581
1439385533,581,581
1439393854,1821,1821
1439402715,2168,2168
1439411283,2167,2167
1439419602,2164,2164
1439428712,1364,1364
1439437034,1046,1046
1439445903,984,984
1439454516,982,982
1439463320,980,980
1439471413,775,775
1439479680,760,760
1439488457,846,846
1439496761,1049,1049
1439504897,1106,1106
1439513365,1106,1106
1439522315,1110,1110
1439530724,1081,1081
1439539283,3,3
1439541410,926,926
1439547583,843,843
1439555875,1232,1232
1439565007,1292,1292
1439573821,412,412
1439582125,1253,1253
1439591232,1286,1286
1439599758,1323,1323
1439608706,1438,1438
1439610862,1474,1474
1439617121,1699,1699
1439625636,22,22
1439627800,1698,1698
1439634133,1788,1788
1439642343,1898,1898
1439649422,1898,1898
1439651547,1612,1612
1439659651,1478,1478
1439674161,1477,1477
1439691727,1485,1485
1439700475,1478,1478
1439709503,671,671
1439711670,1457,1457
1439717935,1336,1336
1439726963,1255,1255
1439735239,0,0
1439737763,926,926
1439739920,1278,1278
1439754483,1132,1132
1439763523,705,705
1439765670,737,737
1439771818,0,0
1439778172,1438,1438
1439786919,1440,1440
1439795898,1385,1385
1439798062,1438,1438
1439804715,1474,1474
1439813359,971,971
1439815514,1465,1465
1439821753,1484,1484
1439830689,1446,1446
1439839252,1430,1430
1439847531,1429,1429
1439857131,1166,1166
1439865658,1429,1429
1439872109,0,0
1439875109,1429,1429
1439883550,1428,1428
1439892557,975,975
1439894714,1428,1428
1439909765,1687,1687
1439918464,1948,1948
1439927663,1536,1536
1439929632,1940,1940
1439936293,1493,1493
1439944083,1956,1956
1439952417,1924,1924
1439959677,1944,1944
1439967659,1901,1901
1439975942,1946,1946
1439984251,1945,1945
1439988886,2000,2000
1439993406,2013,2013
1439997532,2015,2015
1440005854,2048,2048
1440016628,2166,2166
1440022197,1994,1994
1440026374,1993,1993
1440030479,1848,1848
1440034621,1826,1826
1440038763,1876,1876
1440042926,1872,1872
1440049035,1943,1943
1440053206,1899,1899
1440057286,1838,1838
1440063420,1714,1714
1440067563,1653,1653
1440071693,1648,1648
1440077820,1649,1649
1440081973,3106,3106
1440086099,3051,3051
1440092248,3055,3055
1440096418,3050,3050
1440106697,3012,3012
1440110783,3037,3037
1440114903,3053,3053
1440121037,2985,2985
1440125181,2908,2908
1440129303,2910,2910
1440135472,2802,2802
1440139598,2799,2799
1440143706,2800,2800
1440149828,2775,2775
1440153971,2787,2787
1440158521,2784,2784
1440160593,2784,2784
1440162606,2808,2808
1440168905,2865,2865
1440175043,2881,2881
1440179177,2880,2880
1440183309,2792,2792
1440189445,2575,2575
1440193576,2557,2557
1440197703,2573,2573
1440203842,2558,2558
1440207986,2606,2606
1440212111,2608,2608
1440218237,2627,2627
1440222379,2575,2575
1440226503,2579,2579
1440236781,2580,2580
1440240903,2565,2565
1440247044,2564,2564
1440251176,2563,2563
1440261447,2647,2647
1440265570,2631,2631
1440275840,2528,2528
1440281981,2458,2458
1440286074,2487,2487
1440290252,2509,2509
1440294388,2529,2529
1440298507,2524,2524
1440304642,2529,2529
1440308777,2571,2571
1440312904,2570,2570
1440319039,2571,2571
1440323175,2572,2572
1440327302,2574,2574
1440340217,2573,2573
1440363394,2609,2609
1440369520,2605,2605
1440373579,2605,2605
1440377786,2636,2636
1440383951,2658,2658
1440388057,2675,2675
1440392133,2665,2665
1440398270,2681,2681
1440402406,2668,2668
1440408526,2681,2681
1440412678,2705,2705
1440416773,2726,2726
1440420897,2723,2723
1440427034,2774,2774
1440431171,2781,2781
1440435307,2748,2748
1440445574,2718,2718
1440459969,2782,2782
1440474368,2780,2780
1440484633,2780,2780
1440499024,2821,2821
1440503173,2815,2815
1440507298,2809,2809
1440513430,2756,2756
1440550516,3011,3011
1440556670,3010,3010
1440564905,3587,3587
1440571035,3519,3519
1440575182,3489,3489
1440579308,3475,3475
1440585441,3434,3434
