DateTime,AddedIPs,RemovedIPs
1440335886,6,0
1440379755,7,0
1440423387,7,0
1440467128,5,0
1440554961,3,0
1440598706,4,0
1440642489,1,0
1440686193,8,0
1440729994,4,0
1440773666,7,0
1440818356,3,0
1440905786,8,0
1440949524,5,0
1440994221,4,0
1441037898,7,0
1441081658,4,0
1441125394,3,0
1441169128,8,0
1441212858,5,0
1441257005,2,0
1441300706,6,0
1441344439,4,0
1441388196,5,0
1441431986,6,0
1441475657,2,0
1441519290,8,0
1441562993,3,0
1441606729,6,0
1441651119,7,0
1441695268,4,0
1441739375,1,0
1441783105,4,0
1441826907,8,0
1441870591,6,0
1441914337,10,0
1441958073,6,0
1442003274,4,0
1442047046,4,0
1442090731,4,0
1442134459,6,0
1442178570,6,0
1442222372,1,0
1442266091,5,0
1442309795,3,0
1442353648,5,0
1442397629,8,0
1442441372,10,0
