DateTime,Entries,UniqueIPs
1440292065,0,0
1440292065,4793,4793
1440335886,4799,4799
1440379755,4806,4806
1440423387,4813,4813
1440467128,4818,4818
1440554961,4821,4821
1440598706,4825,4825
1440642489,4826,4826
1440642489,4826,4826
1440686193,4834,4834
1440729994,4838,4838
1440773666,4845,4845
1440818356,4848,4848
1440905786,4856,4856
1440949524,4861,4861
1440994221,4865,4865
1441037898,4872,4872
1441081658,4876,4876
1441125394,4879,4879
1441169128,4887,4887
1441212858,4892,4892
1441257005,4894,4894
1441300706,4900,4900
1441344439,4904,4904
1441388196,4909,4909
1441431986,4915,4915
1441475657,4917,4917
1441519290,4925,4925
1441562993,4928,4928
1441606729,4934,4934
1441651119,4941,4941
1441695268,4945,4945
1441739375,4946,4946
1441783105,4950,4950
1441826907,4958,4958
1441870591,4964,4964
1441914337,4974,4974
1441958073,4980,4980
1442003274,4984,4984
1442047046,4988,4988
1442090731,4992,4992
1442134459,4998,4998
1442178570,5004,5004
1442222372,5005,5005
1442266091,5010,5010
1442309795,5013,5013
1442353648,5018,5018
