DateTime,Entries,UniqueIPs
1440676445,6139,6139
1440680407,6121,6121
1440682566,6139,6139
1440686707,6162,6162
1440690845,6191,6191
1440696967,6191,6191
1440701107,6196,6196
1440705247,6180,6180
1440709208,6163,6163
1440711367,6138,6138
1440715506,6103,6103
1440719646,6102,6102
1440723607,6083,6083
1440725768,6059,6059
1440729907,6041,6041
1440734045,6049,6049
1440738008,6033,6033
1440740166,6059,6059
1440744307,6049,6049
1440748444,6071,6071
1440752407,6104,6104
1440754567,6117,6117
1440758706,6128,6128
1440762845,6150,6150
1440766807,6143,6143
1440768968,6167,6167
1440773106,6154,6154
1440777245,6151,6151
1440781207,6161,6161
1440783366,6167,6167
1440787506,6170,6170
1440791645,6175,6175
1440795608,6151,6151
1440797768,6136,6136
1440801906,6127,6127
1440806045,6125,6125
1440810007,6085,6085
1440812168,6064,6064
1440816232,6055,6055
1440820446,6048,6048
1440826566,6051,6051
1440830707,6079,6079
1440832686,6100,6100
1440838807,6122,6122
1440840967,6137,6137
1440845108,6160,6160
1440849245,6165,6165
1440853206,6176,6176
1440855367,6168,6168
1440859509,6180,6180
1440863646,6174,6174
1440867608,6167,6167
1440869766,6176,6176
1440873568,6164,6164
1440878046,6147,6147
1440882008,6141,6141
1440884167,6126,6126
1440888306,6091,6091
1440892445,6100,6100
1440894424,6086,6086
1440898568,6082,6082
1440902707,6056,6056
1440906846,6036,6036
1440910808,6033,6033
1440912967,6055,6055
1440917107,6063,6063
1440921246,6103,6103
1440925207,6130,6130
1440927366,6138,6138
1440931507,6138,6138
1440935647,6143,6143
1440939607,6163,6163
1440943746,6166,6166
1440945907,6170,6170
1440950045,6172,6172
1440954006,6186,6186
1440956166,6196,6196
1440960307,6190,6190
1440964446,6177,6177
1440968409,6153,6153
1440970567,6123,6123
1440974971,6084,6084
1440979212,6078,6078
1440981369,6050,6050
1440986427,6056,6056
1440990958,6045,6045
1440994147,6027,6027
1440996325,6034,6034
1441000445,6042,6042
1441004407,6065,6065
1441006567,6080,6080
1441010716,6101,6101
1441014845,6121,6121
1441018807,6122,6122
1441020967,6108,6108
1441027086,6117,6117
1441029245,6137,6137
1441033208,6144,6144
1441035365,6150,6150
1441040956,6165,6165
1441043107,6179,6179
1441047218,6180,6180
1441051211,6169,6169
1441055361,6186,6186
1441057508,6132,6132
1441061646,6088,6088
1441065613,6110,6110
1441067770,6069,6069
1441071908,6099,6099
1441073893,6069,6069
1441076046,6117,6117
1441082186,6098,6098
1441086309,6135,6135
1441090445,6156,6156
1441094413,6182,6182
1441096567,6189,6189
1441098556,6206,6206
1441104848,6207,6207
1441108810,6206,6206
1441110966,6210,6210
1441115105,6227,6227
1441119246,6233,6233
1441123212,6229,6229
1441125367,6253,6253
1441129506,6279,6279
1441133645,6277,6277
1441137611,6270,6270
1441139766,6290,6290
1441143906,6267,6267
1441148045,6196,6196
1441152011,6197,6197
1441154169,6188,6188
1441158307,6181,6181
1441162445,6155,6155
1441166412,6163,6163
