DateTime,Entries,UniqueIPs
1440669844,1369,1396
1440673442,1366,1393
1440677042,1369,1396
1440680642,1366,1393
1440684242,1361,1388
1440687843,1354,1381
1440691442,1358,1385
1440695046,1358,1383
1440698641,1350,1375
1440702242,1349,1374
1440705842,1346,1371
1440709442,1343,1368
1440713042,1346,1371
1440716641,1348,1373
1440720243,1348,1372
1440723842,1351,1375
1440727445,1347,1371
1440731042,1345,1369
1440734649,1341,1365
1440738243,1343,1367
1440741843,1348,1370
1440745442,1346,1368
1440749042,1344,1366
1440752642,1347,1368
1440756243,1342,1363
1440759843,1351,1372
1440763441,1348,1369
1440767042,1346,1367
1440770642,1347,1368
1440774243,1345,1366
1440777842,1342,1363
1440781443,1342,1363
1440785043,1334,1355
1440788643,1337,1358
1440792241,1336,1357
1440795842,1329,1350
1440799442,1327,1348
1440803042,1328,1348
1440806642,1328,1348
1440810241,1328,1348
1440813842,1328,1349
1440817443,1323,1344
1440821041,1320,1341
1440824642,1318,1339
1440828241,1318,1339
1440831842,1313,1334
1440835441,1316,1337
1440839042,1312,1333
1440842642,1315,1336
1440846241,1313,1334
1440849843,1311,1332
1440853442,1310,1331
1440857041,1309,1330
1440860642,1309,1330
1440864242,1313,1331
1440867843,1315,1333
1440871442,1317,1335
1440875042,1316,1334
1440878642,1317,1335
1440882243,1319,1337
1440885842,1321,1338
1440889442,1322,1339
1440893041,1312,1329
1440896642,1313,1330
1440900242,1307,1324
1440903842,1308,1325
1440907441,1308,1325
1440911041,1307,1326
1440914642,1307,1325
1440918241,1303,1321
1440921842,1302,1320
1440925443,1295,1311
1440929041,1295,1311
1440932643,1298,1314
1440936241,1299,1315
1440939842,1296,1312
1440943442,1296,1312
1440947041,1296,1312
1440950642,1308,1324
1440954242,1306,1322
1440957842,1308,1324
1440961442,1306,1322
1440965042,1300,1316
1440968641,1298,1314
1440972242,1296,1312
1440975842,1303,1319
1440979443,1296,1312
1440986642,1294,1310
1440990243,1293,1309
1440993842,1294,1310
1440997442,1296,1312
1441001042,1294,1310
1441004642,1290,1306
1441008243,1286,1301
1441011844,1290,1305
1441015442,1297,1312
1441019041,1297,1312
1441022643,1295,1310
1441026241,1293,1308
1441029841,1289,1304
1441033441,1290,1305
1441037042,1294,1310
1441040642,1289,1304
1441044242,1284,1299
1441047841,1272,1287
1441051443,1251,1266
1441055042,1239,1254
