DateTime,AddedIPs,RemovedIPs
1438988641,1,0
1438992242,1,0
1438995842,1,0
1439010241,1,0
1439013842,0,1
1439021041,0,2
1439024641,1,1
1439028241,0,1
1439035442,1,2
1439046242,1,0
1439049841,1,0
1439053441,0,2
1439057041,0,2
1439060641,0,1
1439067841,1,0
1439071441,1,0
1439078642,1,1
1439082242,0,1
1439093041,1,0
1439100242,0,1
1439103842,2,0
1439132642,4,3
1439136241,2,1
1439139841,1,1
1439147042,2,0
1439150642,0,1
1439154242,1,0
1439161441,2,2
1439175841,0,1
1439179441,0,1
1439183041,3,0
1439186641,2,0
1439193842,0,1
1439204641,0,1
1439208242,1,0
1439211841,2,0
1439226241,1,1
1439244241,1,3
1439247842,0,1
1439251442,1,1
1439258642,0,1
1439273042,0,4
1439276641,1,0
1439280242,0,1
1439287441,2,0
1439291041,0,2
1439298242,0,2
1439312642,0,2
1439319842,0,2
1439330642,1,0
1439337841,0,1
1439341441,0,1
1439352243,0,1
1439355842,3,2
1439359441,0,1
1439363042,0,1
1439366642,1,0
1439370242,0,1
1439373841,0,1
1439377441,0,1
1439388241,1,0
1439391841,0,2
1439395441,2,1
1439399041,1,2
1439402642,0,2
1439406241,1,0
1439413441,8,0
1439420642,0,1
1439427842,0,1
1439442241,2,2
1439449442,0,1
1439453041,0,1
1439460241,0,1
1439463842,0,1
1439471041,1,0
1439474642,1,0
1439481842,1,0
1439496241,0,1
1439507041,1,2
1439514242,0,1
1439521442,1,0
1439525041,0,1
1439532242,1,0
1439535841,0,2
1439539441,0,3
1439543041,0,1
1439546641,0,2
1439553842,1,1
1439561042,1,2
1439564641,0,1
1439575441,1,0
1439579041,1,0
1439586242,3,0
1439589841,1,0
1439597042,1,0
1439600641,0,1
1439611441,1,0
1439615041,3,0
1439618642,1,1
1439622242,2,0
1439625842,0,2
1439629441,0,3
1439636642,1,0
1439643842,1,0
1439647441,0,0
1439651042,0,1
1439658242,0,1
1439665442,2,0
1439669041,2,0
1439672642,1,0
1439676242,0,1
1439679841,2,2
1439694241,1,0
1439697842,0,1
1439701441,1,0
1439705041,2,0
1439712242,1,0
1439715841,1,1
1439719441,0,1
1439726642,1,0
1439730242,1,0
1439733842,1,2
1439741042,0,1
1439744642,0,1
1439755442,1,0
1439762641,3,1
1439766241,1,0
1439787842,2,0
1439791441,2,1
1439795041,1,2
1439798642,0,1
1439805841,0,2
1439816642,0,2
1439831041,0,2
1439834641,2,0
1439838241,0,2
1439841842,2,1
1439845441,0,1
1439849042,1,1
1439867042,0,1
1439877842,3,0
1439881444,0,2
1439888641,1,1
1439892242,1,0
1439899441,1,0
1439903042,1,0
1439910242,0,2
1439913842,0,1
1439917441,1,0
1439921042,2,1
1439924641,0,2
1439939041,1,0
1439946241,1,0
1439949842,2,1
1439953442,1,0
1439960641,6,2
1439964242,1,1
1439967841,1,0
1439971442,1,0
1439975042,0,1
1439982242,1,0
1439989442,1,0
1439993041,1,1
1439996641,1,0
1440003842,1,1
1440011041,2,0
1440018241,1,8
1440029042,1,0
1440043441,1,0
1440047041,1,3
1440057841,0,1
1440072241,1,0
1440079441,1,3
1440083041,1,0
1440086641,1,0
1440090241,0,1
1440093841,0,2
1440119041,4,0
1440122641,28,0
1440133442,3,0
1440140641,2,2
1440144243,1,0
1440151442,0,1
1440158642,1,1
1440165841,1,0
1440169441,0,2
1440173042,0,1
1440176641,1,0
1440187442,0,1
1440194642,0,1
1440201842,2,0
1440216241,0,1
1440219842,3,2
1440227042,2,4
1440241441,1,0
1440245042,0,1
1440248641,2,1
1440259441,0,1
1440270242,0,1
1440277442,2,1
1440281041,0,1
1440291841,1,0
1440302642,1,1
1440306242,3,2
1440309843,1,0
1440317041,1,1
1440320641,1,1
1440324242,1,0
1440327841,1,1
1440331442,2,1
1440335041,1,0
1440338641,3,0
1440342241,1,0
1440345841,0,2
1440349441,2,1
1440353041,1,0
1440356641,1,1
1440360242,1,0
1440363841,1,0
1440367442,0,3
1440371042,2,0
1440374641,2,0
1440385441,1,0
1440389042,1,0
1440392641,2,3
1440396242,0,1
1440399841,1,2
1440403441,0,3
1440407041,3,2
1440410642,2,0
1440421441,1,0
1440425042,1,0
1440428641,1,1
1440435842,1,0
1440439441,0,1
1440446641,0,2
1440450241,1,1
1440453841,1,0
