DateTime,Entries,UniqueIPs
1438981442,113,116
1438988641,114,117
1438992242,115,118
1438995842,116,119
1439010241,117,120
1439013842,116,119
1439021041,114,117
1439024641,114,117
1439028241,113,116
1439035442,112,115
1439046242,113,116
1439049841,114,117
1439053441,112,115
1439057041,110,113
1439060641,110,112
1439067841,111,113
1439071441,112,114
1439078642,112,114
1439082242,111,113
1439093041,112,114
1439100242,111,113
1439103842,113,115
1439132642,115,116
1439136241,116,117
1439139841,116,117
1439147042,118,119
1439150642,117,118
1439154242,118,119
1439161441,118,119
1439175841,117,118
1439179441,116,117
1439183041,119,120
1439186641,121,122
1439190241,121,122
1439193842,120,121
1439193842,120,121
1439197442,120,121
1439204641,119,120
1439208242,120,121
1439211841,121,123
1439226241,121,123
1439237042,121,123
1439244241,119,121
1439247842,118,120
1439251442,118,120
1439258642,117,119
1439273042,113,115
1439276641,114,116
1439280242,113,115
1439287441,115,117
1439291041,113,115
1439298242,111,113
1439312642,109,111
1439319842,108,109
1439330642,109,110
1439337841,108,109
1439341441,107,108
1439352243,106,107
1439355842,107,108
1439359441,106,107
1439363042,105,106
1439366642,106,107
1439370242,105,106
1439373841,104,105
1439377441,103,104
1439388241,104,105
1439391841,103,103
1439395441,104,104
1439399041,102,103
1439402642,100,101
1439406241,101,102
1439413441,109,110
1439420642,108,109
1439427842,107,108
1439442241,107,108
1439449442,106,107
1439453041,105,106
1439460241,104,105
1439463842,103,104
1439471041,104,105
1439474642,105,106
1439481842,106,107
1439496241,105,106
1439507041,104,105
1439514242,103,104
1439521442,104,105
1439525041,103,104
1439532242,104,105
1439535841,102,103
1439539441,99,100
1439543041,98,99
1439546641,96,97
1439553842,96,97
1439561042,95,96
1439564641,94,95
1439575441,95,96
1439579041,96,97
1439586242,99,100
1439589841,100,101
1439597042,101,102
1439600641,100,101
1439611441,101,102
1439615041,104,105
1439618642,104,105
1439622242,106,107
1439625842,104,105
1439629441,101,102
1439636642,102,103
1439643842,103,104
1439647441,103,104
1439651042,102,103
1439658242,101,102
1439665442,103,104
1439669041,105,106
1439672642,106,107
1439676242,105,106
1439679841,105,106
1439694241,106,107
1439697842,105,106
1439701441,106,107
1439705041,108,109
1439712242,109,110
1439715841,109,110
1439719441,108,109
1439726642,109,110
1439730242,110,111
1439733842,109,110
1439741042,108,109
1439744642,107,108
1439755442,108,109
1439762641,110,111
1439766241,111,112
1439787842,113,114
1439791441,114,115
1439795041,113,114
1439798642,112,113
1439805841,110,111
1439816642,109,109
1439831041,107,107
1439834641,109,109
1439838241,107,107
1439841842,107,108
1439845441,106,107
1439849042,106,107
1439867042,105,106
1439877842,108,109
1439881444,106,107
1439888641,106,107
1439892242,107,108
1439899441,108,109
1439903042,109,110
1439910242,107,108
1439913842,106,107
1439917441,107,108
1439921042,108,109
1439924641,106,107
1439939041,107,108
1439946241,108,109
1439949842,109,110
1439953442,110,111
1439960641,114,115
1439964242,114,115
1439967841,115,116
1439971442,116,117
1439975042,115,116
1439982242,116,117
1439989442,117,118
1439993041,117,118
1439996641,118,119
1440003842,118,119
1440011041,120,121
1440018241,113,114
1440029042,114,115
1440043441,115,116
1440047041,113,114
1440057841,112,113
1440072241,113,114
1440079441,111,112
1440083041,112,113
1440086641,113,114
1440090241,112,113
1440093841,110,111
1440119041,114,115
1440122641,120,143
1440133442,123,146
1440140641,123,146
1440144243,124,147
1440151442,123,146
1440158642,123,146
1440158642,123,146
1440165841,124,147
1440169441,122,145
1440173042,121,144
1440176641,122,145
1440187442,121,144
1440194642,120,143
1440201842,122,145
1440216241,121,144
1440219842,122,145
1440227042,120,143
1440241441,121,144
1440245042,120,143
1440248641,121,144
1440259441,120,143
1440270242,119,142
1440277442,120,143
1440281041,119,142
1440291841,120,143
1440302642,120,143
1440306242,121,144
1440309843,122,145
1440317041,122,145
1440320641,122,145
1440324242,123,146
1440327841,123,146
1440331442,124,147
1440335041,125,148
1440338641,128,151
1440342241,129,152
1440345841,127,150
1440349441,128,151
1440353041,129,152
1440356641,129,152
1440360242,130,153
1440363841,131,154
1440367442,128,151
1440371042,130,153
1440374641,132,155
1440385441,133,156
1440389042,134,157
1440392641,133,156
1440396242,132,155
1440399841,131,154
1440403441,128,151
1440407041,129,152
1440410642,131,154
1440421441,132,155
1440425042,133,156
1440428641,133,156
1440435842,134,157
1440439441,134,156
1440446641,132,154
1440450241,132,154
1440453841,133,155
1440461041,132,154
1440468241,133,155
1440471841,134,156
1440479041,133,155
1440482641,133,155
1440489841,132,154
1440493441,131,153
1440500641,132,154
1440504242,132,154
1440511442,133,155
1440525841,130,152
1440533043,131,153
1440540243,133,155
1440543842,134,156
1440547444,133,155
1440558242,134,156
1440561841,133,155
1440565442,132,154
1440569041,131,153
1440576241,129,151
1440579842,128,150
1440583441,127,149
1440587041,128,150
1440590642,130,152
1440594242,131,153
1440597841,130,152
1440612241,128,150
1440615841,126,148
1440619441,127,149
1440630241,128,150
1440633841,127,149
1440641041,128,150
1440651841,127,149
1440655441,129,151
1440659041,130,152
1440666242,129,151
1440669841,128,150
1440673441,127,149
1440680642,126,148
1440691442,125,147
1440709441,125,147
1440723841,117,117
1440727442,116,116
1440738244,115,115
1440741842,116,116
1440745441,117,117
1440749041,115,115
1440752641,116,116
1440759841,117,117
1440767042,117,117
1440770642,116,116
1440774242,115,115
1440777842,116,116
1440781441,118,118
1440785041,120,120
1440799441,118,118
1440806642,117,117
1440810241,118,118
1440824642,118,118
1440831842,119,119
1440835443,119,119
1440842642,118,118
1440846241,117,117
1440849841,116,116
1440882242,115,115
1440885841,115,115
1440889441,117,117
1440893041,120,120
1440896641,119,119
1440900242,120,120
1440907441,119,119
1440911041,118,118
1440914642,117,117
1440921841,116,116
1440929041,114,114
1440932642,112,112
1440939841,113,113
1440943442,110,110
1440950642,108,108
1440954242,106,106
1440957842,105,105
1440961441,104,104
1440965042,103,103
1440968641,102,102
1440972242,101,101
1440975842,100,100
1440979442,98,98
1440986642,97,97
1440990241,96,96
1440997442,95,95
1441001042,93,93
1441004641,92,92
1441008241,93,93
1441011841,92,92
1441015442,92,92
1441019041,93,93
1441026241,93,93
1441029841,92,92
1441033441,94,95
1441047841,93,94
1441051442,92,93
1441069441,91,92
1441080242,90,91
1441083842,93,94
1441087441,95,96
1441098242,91,92
1441105441,90,91
1441119842,89,90
1441123442,87,88
1441130641,86,87
1441134242,84,85
1441141442,85,86
1441145041,84,85
1441155841,85,86
1441163041,85,86
1441166641,84,85
1441170242,85,86
1441177441,85,86
1441199042,91,114
1441224243,92,115
1441227842,91,114
1441242242,89,112
1441245842,88,111
1441256642,88,111
1441263841,86,109
1441267441,85,108
1441271042,84,107
1441274641,83,106
1441281841,84,107
1441289041,83,106
1441292642,84,107
1441328641,85,108
1441343041,85,108
1441346642,86,109
1441350242,84,107
1441361042,83,106
1441368241,84,107
1441371841,83,106
1441379041,84,107
1441382644,83,106
1441386241,82,105
1441389842,81,104
1441411442,82,105
1441415041,83,106
1441422242,82,105
1441429441,81,104
1441433041,82,105
1441436642,81,104
1441443841,80,103
1441461841,80,103
1441476242,81,104
1441487041,80,103
1441494241,78,101
1441497841,76,99
1441501442,75,98
1441508641,74,97
1441515842,72,95
1441526642,71,94
1441537442,70,93
1441544642,71,94
1441548241,70,93
1441555442,68,91
1441569841,67,90
1441577042,66,89
1441584241,65,88
