DateTime,Entries,UniqueIPs
1440816048,22374,24040
1440886267,22373,24039
1440900668,22375,24041
1440918668,22507,24173
1440940267,22506,24172
1440943868,22505,24171
1440969068,22504,24170
1441012510,22503,24169
1441054208,22503,24168
1441134607,22504,24169
1441138508,22503,24168
1441227608,22502,24167
1441260006,22501,24166
1441326308,22502,24167
1441366508,22503,24168
1441405208,22508,24173
1441472107,22507,24172
1441529110,22508,24173
1441530008,22509,24174
1441569608,22510,24175
1441640707,22518,24183
1441823707,22517,24182
1441845907,22516,24181
1441926607,22517,24182
1441931707,22516,24181
1442100907,22515,24180
1442384407,22514,24179
1442413807,22513,24178
1442459408,22512,24177
