DateTime,AddedIPs,RemovedIPs
1440986160,1280,3584
1440990663,768,2816
1440993353,1792,1792
1440994601,1024,0
1440995017,0,1280
1440996070,2304,0
1440996955,0,1280
1440998196,768,0
1440999671,1280,1024
1441001831,512,1536
1441002413,0,1280
1441003266,1536,0
1441005454,768,1024
1441006924,512,1024
1441008994,1024,1024
1441010470,1792,1536
1441012631,512,1536
1441013188,0,512
1441014059,1280,0
1441014962,0,1280
1441016250,1280,0
1441016796,0,1024
1441017667,2816,0
1441019794,256,1280
1441020391,0,512
1441021254,768,0
1441022154,0,768
1441023062,1024,0
1441024870,1792,1024
1441026982,1024,256
1441027576,0,512
1441028457,512,0
1441029354,0,768
1441030155,1024,0
1441032057,768,768
1441034165,1024,1280
1441035711,1024,768
1441037741,1280,1280
1441040158,1536,2560
1441041350,768,0
1441042009,0,512
1441042875,1024,0
1441043755,0,256
1441044665,1024,2048
1441046327,256,1024
1441047350,0,1024
1441048584,512,0
1441049213,0,768
1441049960,1024,0
1441050961,256,0
1441052149,1024,1536
1441053665,1280,1024
1441054556,0,2048
1441055771,256,0
1441057133,1280,1024
1441058153,0,2816
1441059385,512,1536
1441060872,768,0
1441061752,0,1536
1441062660,512,0
1441064508,1024,768
1441066573,256,2048
1441068065,768,768
1441070147,512,0
1441071721,1536,0
1441073775,768,1792
1441074391,256,0
1441075263,768,0
1441077382,512,1024
1441078860,1792,0
1441080983,768,2048
1441081459,0,256
1441082459,2048,0
1441084618,1280,1280
1441086068,1024,768
1441086952,0,1792
1441088196,1280,0
1441089658,1280,256
1441091835,256,768
1441093255,1536,1280
1441095409,1024,1280
1441096898,2048,1024
1441097763,0,1792
1441098980,768,0
1441099602,0,768
1441100469,2048,0
1441102634,1280,1280
1441104073,1792,1536
1441104961,0,2304
1441106156,256,0
1441107671,768,1280
1441109891,1024,512
1441110387,0,1024
1441111274,2304,0
1441113388,1024,2304
1441114858,1280,768
1441115754,0,1792
1441116713,1536,0
1441118472,1024,512
1441120263,768,768
1441122092,1280,2304
1441122953,0,1536
1441123866,768,0
1441125691,1024,1536
1441127786,512,1280
1441129260,1792,768
1441130158,0,1024
1441131130,512,0
1441131983,0,512
1441132870,768,0
1441134971,1024,512
1441136460,1792,1280
1441137353,0,256
1441138577,256,1280
1441140056,256,1024
1441142179,512,768
1441143660,1280,1024
1441145759,512,1792
1441147270,256,768
1441149059,768,0
1441150872,1024,512
1441152987,768,768
1441154466,0,1024
1441156573,768,0
1441158068,1024,1280
1441160182,768,1280
1441161670,512,256
1441163768,768,768
1441165257,1792,768
1441167385,0,1536
1441168858,1536,768
1441171039,1024,1792
1441172492,2304,768
1441174596,768,768
1441176064,2048,768
1441177860,1536,1536
1441179673,1536,512
1441181828,1024,1280
1441182394,0,1024
1441183260,1536,0
1441185458,512,2048
1441186887,512,1280
