DateTime,Entries,UniqueIPs
1433737801,509,509
1433824201,509,509
1433910601,506,506
1433997001,505,505
1434083401,509,509
1434169801,505,505
1434169801,505,505
1434169801,505,505
1434169801,505,505
1434169801,505,505
1434169801,505,505
1434256201,504,504
1434256201,504,504
1434342601,504,504
1434429002,507,507
1434515401,463,463
1434515401,463,463
1434601801,507,507
1434688201,511,511
1434688201,511,511
1434947401,509,509
1435033801,513,513
1435120201,508,508
1435206601,497,497
1435293002,513,513
1435552201,504,504
1435638601,504,504
1435725001,496,496
1435811401,498,498
1435897801,495,495
1436157001,499,499
1436243401,499,499
1436329801,493,493
1436416201,499,499
1436502601,505,505
1436761802,495,495
1436848202,497,497
1436934601,498,498
1437021001,498,498
1437107401,494,494
1437366601,495,495
1437453001,491,491
1437539401,350,350
1437625801,476,476
1437712201,429,429
1437971401,497,497
1438057801,503,503
1438144202,471,471
1438230601,501,501
1438317001,502,502
1438489801,504,504
1438576201,502,502
1438662601,499,499
1438749001,497,497
1438921801,497,497
1438921801,497,497
1438921801,497,497
1438921801,497,497
1438921801,497,497
1439181001,496,496
1439267401,500,500
1439353801,493,493
1439440202,498,498
1439526601,501,501
1439526601,501,501
1439785801,488,488
1439872201,484,484
1439958601,162,162
1440045001,483,483
1440045001,483,483
1440131401,490,490
1440390601,488,488
1440477001,398,398
1440563401,492,492
1440563401,492,492
1440711630,495,495
1440995401,485,485
1441081801,494,494
1441168201,494,494
1441254601,464,464
1441341002,488,488
1441686602,487,487
1441773001,488,488
1441859401,489,489
1441945802,441,441
1442032201,456,456
1442205001,490,490
