DateTime,AddedIPs,RemovedIPs
1434947408,109,139
1435033807,49,48
1435120208,28,57
1435206607,31,33
1435293008,41,68
1435552207,106,196
1435638607,41,46
1435725007,25,56
1435811407,24,45
1435897808,35,59
1436157006,143,126
1436243407,39,39
1436329807,27,47
1436416207,34,69
1436502607,38,53
1436761806,103,130
1436848207,37,36
1436934607,59,36
1437021011,69,97
1437107407,43,56
1437366606,75,168
1437453007,59,65
1437539406,43,68
1437625808,38,74
1437712206,39,62
1437971407,106,165
1438057806,59,36
1438144207,43,42
1438230605,31,44
1438317006,49,38
1438489806,129,63
1438576208,62,56
1438662606,64,53
1438749006,37,49
1438921806,133,75
1439181009,189,114
1439267406,50,34
1439353809,61,31
1439440207,74,52
1439526607,47,47
1439785809,152,111
1439872208,63,35
1439958607,71,27
1440045006,58,39
1440131407,40,37
1440390606,116,130
1440477009,52,37
1440563406,54,45
1440649807,53,59
1440736206,42,47
1440995407,141,142
1441081807,36,65
1441168208,40,61
1441254607,39,47
1441341008,106,30
1441686619,199,233
1441773009,38,48
1441859407,51,37
1441945813,73,67
1442032207,44,55
1442205009,87,93
1442291419,33,51
