DateTime,Entries,UniqueIPs
1433478608,2016,2016
1433737807,1678,1678
1433824208,1718,1718
1433910607,1721,1721
1433997007,1704,1704
1434083408,1693,1693
1434169807,1691,1691
1434169807,1691,1691
1434169807,1691,1691
1434169807,1691,1691
1434169807,1691,1691
1434169807,1691,1691
1434256207,1678,1678
1434256207,1678,1678
1434342609,1658,1658
1434429008,1708,1708
1434515407,1721,1721
1434515407,1721,1721
1434601807,1702,1702
1434688208,1685,1685
1434688208,1685,1685
1434947408,1655,1655
1435033807,1656,1656
1435120208,1627,1627
1435206607,1625,1625
1435293008,1598,1598
1435552207,1508,1508
1435638607,1503,1503
1435725007,1472,1472
1435811407,1451,1451
1435897808,1427,1427
1436157006,1444,1444
1436243407,1444,1444
1436329807,1424,1424
1436416207,1389,1389
1436502607,1374,1374
1436761806,1347,1347
1436848207,1348,1348
1436934607,1371,1371
1437021011,1343,1343
1437107407,1330,1330
1437366606,1237,1237
1437453007,1231,1231
1437539406,1206,1206
1437625808,1170,1170
1437712206,1147,1147
1437971407,1088,1088
1438057806,1111,1111
1438144207,1112,1112
1438230605,1099,1099
1438317006,1110,1110
1438489806,1176,1176
1438576208,1182,1182
1438662606,1193,1193
1438749006,1181,1181
1438921806,1239,1239
1438921806,1239,1239
1438921806,1239,1239
1438921806,1239,1239
1438921806,1239,1239
1439181009,1314,1314
1439267406,1330,1330
1439353809,1360,1360
1439440207,1382,1382
1439526607,1382,1382
1439526607,1382,1382
1439785809,1423,1423
1439872208,1451,1451
1439958607,1495,1495
1440045006,1514,1514
1440045006,1514,1514
1440131407,1517,1517
1440390606,1503,1503
1440477009,1518,1518
1440563406,1527,1527
1440563406,1527,1527
1440649807,1521,1521
1440736206,1516,1516
1440995407,1515,1515
1441081807,1486,1486
1441168208,1465,1465
1441254607,1457,1457
1441341008,1533,1533
1441686619,1499,1499
1441773009,1489,1489
1441859407,1503,1503
1441945813,1509,1509
1442032207,1498,1498
1442205009,1492,1492
1442291419,1474,1474
1442377808,1477,1477
