DateTime,AddedIPs,RemovedIPs
1435321111,2,0
1435337667,1,0
1435559775,1,0
1435582464,1,0
1435681100,1,0
1435827266,3,0
1436177904,1,0
1436254034,1,0
1436427908,1,0
1436774957,4,0
1436974588,6,0
1436976557,1,0
1437023898,1,0
1437219936,0,144
1437308826,144,0
1437391625,1,0
1437459488,3,0
1437995358,1,0
1438604834,8,0
1438691232,3,0
1438693221,1,0
1438778182,0,1
1438792579,4,0
1438948494,6,0
1439202432,1,0
1439204422,1,0
1439284153,1,0
1439364428,1,0
1439395219,1,0
1439475507,1,0
1439535252,1,0
1439537228,1,0
1439649370,0,0
1439978950,2,0
1440059235,1,0
1440137351,1,0
1440160579,0,0
1440570979,1,0
1440668514,0,0
1440998302,1,0
1441000454,1,0
1441201523,1,0
1441265234,1,0
1441267224,1,0
1441620026,0,188
1441622176,188,0
