DateTime,Entries,UniqueIPs
1441364051,4902,685974796
1441365430,4902,685974796
1441366030,4904,685974798
1441366859,4903,686209039
1441368021,4896,686209032
1441369049,4895,686209031
1441370173,4900,686209036
1441370475,4882,686204173
1441372164,4881,686204172
1441374324,4881,686204172
1441376296,4891,686204182
1441377663,4910,686209301
1441378451,4899,686209290
1441378554,4899,686209290
1441379865,4899,686209035
1441380435,4909,686209045
1441381272,4909,686209045
1441382423,4899,686209035
1441383439,4899,686209035
1441384572,4901,686209037
1441385106,4902,686209038
1441386995,4902,686209038
1441387508,4901,686209037
1441388463,4901,686209037
1441389259,4901,686209037
1441390652,4901,686209037
1441391026,4902,686209038
1441392073,4902,686209038
1441392305,4901,686209037
1441394170,4902,686209293
1441395663,4900,686209036
1441398378,4900,686209036
1441399260,4900,686209036
1441400064,4899,686209035
1441401305,4901,686209292
1441401819,4902,686209293
1441403095,4901,686209037
1441404961,4901,686209037
1441406478,4903,686209039
1441408664,4902,686209038
1441409235,4903,686209039
1441410065,4904,686209040
1441411229,4903,686209039
1441412190,4903,686209039
1441413376,4904,686209040
1441413663,4917,686209053
1441417073,4915,686209051
1441417248,4915,686209051
1441418955,4919,686209055
1441419069,4907,686209043
1441420206,4908,686209044
1441421124,4906,686209042
1441421124,4908,686340114
1441423112,4910,686340116
1441424460,4911,686340117
1441425654,4910,686340116
1441427223,4908,686340114
1441428360,4908,686340114
1441428360,4906,686340112
1441430305,4908,686340369
1441431673,4908,686340114
1441435044,4906,686340112
1441435104,4906,686340112
1441437067,4907,686340113
1441437067,4907,686340113
1441439701,4908,686340114
1441441031,4907,686340113
1441442176,4905,686340111
1441442461,4905,686340111
1441443299,4906,686340112
1441444665,4905,686340112
1441445053,4904,686340111
1441446329,4905,686340111
1441446840,4907,686340113
1441448299,4907,686340113
1441449905,4906,686340112
1441450546,4906,686340111
1441451769,4906,686340111
1441452216,4905,686340110
1441453506,4905,686238733
1441453506,4905,686238733
1441455305,4907,686238735
1441456577,4909,686238737
1441456868,4908,686238736
1441458556,4909,686238481
1441458976,4910,686238482
1441459600,4910,686238482
1441460730,4907,686238479
1441462259,4907,686238479
1441464040,4906,686238478
1441464851,4905,686238477
1441466173,4906,686238478
1441466829,4908,686238480
1441467667,4908,686238480
1441468825,4904,686238476
1441468825,4905,686242572
1441469706,4906,686242573
1441470975,4907,686242574
1441471270,4907,686242574
1441472958,4905,686242572
