DateTime,AddedIPs,RemovedIPs
1434706510,768,81408
1434792909,5696,762368
1434879309,1024,0
1435052109,8448,346624
1435138508,1440,229376
1435224913,512,481536
1435311311,2048,97280
1435397715,2048,109312
1435484112,0,8192
1435570512,1024,0
1435656905,10752,45056
1435743308,0,50944
1435829712,4608,158208
1435916106,256,37632
1436002516,18432,48640
1436175306,3328,0
1436261707,23696,70144
1436348108,1536,41472
1436434514,4640,62720
1436520906,6400,44800
1436610905,1280,76544
1436697303,0,2048
1436870104,6656,63232
1436956506,2816,38400
1437042904,7168,67072
1437129303,0,43776
1437215703,0,52480
1437302110,0,2048
1437474903,3584,603136
1437561304,256,45568
1437658504,768,302848
1437744903,1536,30976
1438004103,2304,53760
1438090506,11264,42752
1438176911,768,2158336
1438263307,1024,43008
1438349704,256,25856
1438436104,6912,76032
1438522505,0,4096
1438608903,1024,0
1438695303,2048,51456
1438781705,1024,36608
1438947306,3584,84480
1439033707,82176,35584
1439120106,1024,5120
1439206504,1024,0
1439292905,96528,18688
1439379304,2560,52480
1439465707,512,34048
1439552107,0,39168
1439638508,0,35072
1439724902,0,3072
1439897703,12544,25088
1439984105,2304,38400
1440070509,544,38144
1440156904,0,35072
1440243307,0,25600
1440329703,0,3584
1440416105,1024,0
1440502506,6944,22528
1440588903,512,137728
1440675305,1024,50176
1440761704,0,23040
1440848106,0,19968
1440934504,1024,7168
1441020905,256,0
1441107303,3072,89344
1441193704,2816,27904
1441280103,263424,31232
1441366503,262144,27904
1441452907,0,101376
1441539319,0,12544
1441712103,271104,48128
1441798503,6400,20992
1441884902,2048,29696
1441971310,1088,165632
1442057704,0,48384
1442144104,0,2048
1442230508,2048,0
1442316903,5632,63744
1442403303,1536,43776
1442489701,1536,58624
