DateTime,AddedIPs,RemovedIPs
1439823602,2,0
1439996402,1,0
1440039603,2,0
1440061202,1,0
1440104402,1,0
1440147603,0,0
1440169202,1,0
1440234003,1,0
1440255603,1,0
1440363602,1,0
1440385203,1,0
1440450002,1,0
1440558003,1,0
1440666003,0,0
1440752403,1,0
1440817202,1,0
1440860402,1,0
1440882003,2,0
1440925203,1,0
1441033202,1,0
1441076402,1,0
1441119602,1,0
1441249202,1,0
1441292402,1,0
1441465204,1,0
1441486802,2,0
1441508403,3,0
1441659602,2,0
1441702802,1,0
1441767603,1,0
1441832402,2,0
1441854002,1,0
1441962002,1,0
1442026802,1,0
1442091603,1,0
1442178002,1,0
1442264402,1,0
1442415602,2,0
1442458802,1,0
