DateTime,Entries,UniqueIPs
1441380461,1842,1842
1441382459,1818,1818
1441384675,1851,1851
1441386599,1832,1832
1441388797,1786,1786
1441390750,1778,1778
1441392571,1761,1761
1441394954,1750,1750
1441396852,1739,1739
1441399319,1732,1732
1441401565,1712,1712
1441403725,1682,1682
1441405661,432,432
1441407654,429,429
1441409882,1147,1147
1441411785,1138,1138
1441413771,1158,1158
1441417204,1164,1164
1441419534,1173,1173
1441421715,1157,1157
1441423673,1154,1154
1441425872,1152,1152
1441428448,1191,1191
1441430403,1186,1186
1441432595,1192,1192
1441435252,1159,1159
1441437161,1137,1137
1441439898,1130,1130
1441442396,1114,1114
1441444250,1092,1092
1441446381,1062,1062
1441448389,1012,1012
1441450472,1008,1008
1441452517,1627,1627
1441454451,1625,1625
1441456673,1619,1619
1441458584,1612,1612
1441460814,1607,1607
1441462757,1598,1598
1441464938,1593,1593
1441466868,1601,1601
1441468856,1588,1588
1441471071,1596,1596
1441473032,1584,1584
1441475223,1577,1577
1441477269,1578,1578
1441479534,1563,1563
1441481402,1547,1547
1441483554,1536,1536
1441485790,1496,1496
1441487596,1478,1478
1441490024,1442,1442
1441492273,415,415
1441494171,411,411
1441496485,896,896
1441498370,898,898
1441500573,928,928
1441502494,939,939
1441504476,940,940
1441506641,935,935
1441508555,948,948
1441510610,943,943
1441512655,944,944
1441514777,945,945
1441516804,942,942
1441518911,934,934
1441520929,945,945
1441522916,943,943
1441525111,953,953
1441526992,952,952
1441529222,937,937
1441531132,956,956
1441533325,963,963
1441535262,957,957
1441537253,965,965
1441539582,1360,1360
1441541959,1361,1361
1441544130,1367,1367
1441546065,1369,1369
1441548055,1364,1364
1441550272,1363,1363
1441552193,1364,1364
1441554420,1367,1367
1441556329,1372,1372
1441558532,1373,1373
1441560644,1375,1375
1441562463,1365,1365
1441564689,1363,1363
1441566584,1364,1364
1441568827,1368,1368
1441570730,1378,1378
1441572867,1358,1358
1441574875,1351,1351
1441576873,1347,1347
1441579001,416,416
1441581007,939,939
1441583174,948,948
1441585137,950,950
1441587305,950,950
1441589322,957,957
1441591278,952,952
1441593601,970,970
1441595442,972,972
1441597810,978,978
1441599747,976,976
1441601771,983,983
1441603781,992,992
1441605669,998,998
1441607970,1001,1001
1441611944,1001,1001
1441613947,1009,1009
1441616072,1016,1016
1441618057,1014,1014
1441620043,1038,1038
1441622197,1064,1064
1441624180,1507,1507
1441626351,1522,1522
1441628420,1534,1534
1441630503,1527,1527
1441632463,1531,1531
1441634446,1528,1528
1441636602,1538,1538
1441638571,1545,1545
1441640743,1549,1549
1441642717,1553,1553
1441645807,1559,1559
1441648054,1606,1606
1441649943,1627,1627
1441652063,1630,1630
1441654045,1628,1628
1441656029,1629,1629
1441658194,1628,1628
1441660177,1629,1629
1441662346,1609,1609
1441664339,607,607
1441666269,589,589
1441668136,1209,1209
1441670055,1193,1193
1441672052,1191,1191
1441674031,1195,1195
1441676196,1209,1209
1441678235,1210,1210
1441680330,1214,1214
1441682312,1216,1216
1441684459,1225,1225
1441686445,1231,1231
1441688446,1258,1258
1441690589,1293,1293
1441692565,1318,1318
1441694733,1332,1332
1441696704,1332,1332
1441698861,1359,1359
1441700842,1361,1361
1441702820,1400,1400
1441704985,1429,1429
1441706981,1419,1419
1441709129,1417,1417
1441711121,1921,1921
1441713261,1933,1933
1441715246,1954,1954
1441717222,1967,1967
1441719400,2035,2035
1441723526,2043,2043
1441725738,2043,2043
1441728128,2062,2062
1441730003,2079,2079
1441732236,2135,2135
1441734535,2154,2154
1441736375,2162,2162
1441738497,2172,2172
1441740511,2175,2175
1441742451,2172,2172
1441744896,2158,2158
